Fuel,AnnualSum
No_fuel,0.0
new_england_coal,4.7262944757148065e7
new_england_naturalgas,4.310852550674033e8
new_england_uranium,1.2917490209350469e7
middle_atlantic_naturalgas,7.756633722083527e8
middle_atlantic_uranium,8.863845575648755e8
middle_atlantic_coal,0.0
east_north_central_coal,1.4677590536339319e9
east_north_central_naturalgas,9.087384576450413e8
east_north_central_uranium,2.0506421566068037e9
new_england_naturalgas_ccs100,1.9855017587861175
middle_atlantic_naturalgas_ccs100,17.22377243817269
east_north_central_naturalgas_ccs90,2.0363867875880413
east_north_central_naturalgas_ccs100,3.3888525832570022
None,0.0
