Constraint,CapRes_1,CapRes_2,CapRes_3
t1,3.3882378572455524e-10,5.176669378999604e-10,8.701191510782395e-11
t2,2.837485801631432e-10,4.6487008189065143e-10,8.574491631737033e-11
t3,2.856798735863355e-10,4.57837911574136e-10,8.822306098829671e-11
t4,2.7153147800365043e-10,4.5541107779765e-10,9.040243231543927e-11
t5,3.1117408792757915e-10,4.884076056028283e-10,9.939951672745248e-11
t6,3.2059148550082304e-10,5.596809828160998e-10,1.104704312574997e-10
t7,4.244393189497565e-10,5.803573633653496e-10,1.5945056174851931e-10
t8,5.144527797639585e-10,6.590348600177639e-10,1.9788456063318878e-10
t9,6.710531615860521e-10,2.5104588385596323e-9,2.2887358823532168e-10
t10,5.296359456711937e-10,7.943219472041708e-10,7.846370794824123e-11
t11,5.146379013465707e-10,5.127879186762532e-10,6.072472304621023e-11
t12,5.030502416276653e-10,4.965950437526522e-10,4.815867834683045e-11
t13,4.242915720525225e-10,4.718497272356078e-10,4.400755958720215e-11
t14,3.879298485508677e-10,4.591231870886552e-10,4.313534562430631e-11
t15,4.1032935109209453e-10,4.0125030711494547e-10,4.265979804306591e-11
t16,3.511984153715608e-10,4.264184062063128e-10,4.8704470610761516e-11
t17,4.12104248620337e-10,6.306332974164406e-10,6.600106731184371e-11
t18,7.983590592565388e-10,1.1183311984000139e-9,1.5253575507748202e-10
t19,8.875236991122559e-10,1.2963272525977603e-9,2.513427692799516e-10
t20,6.387489529411321e-10,1.3745118461435353e-9,1.7557614305274448e-10
t21,5.755294228817736e-10,3.34217658394612e-9,1.4968810655287122e-10
t22,5.056038816643361e-10,3.582840750562601e-9,2.0062773512012963e-10
t23,4.114160521085034e-10,7.017235046966881e-10,9.60394190777104e-11
t24,3.624391718479106e-10,6.432926590889026e-10,8.596576123140697e-11
t25,1.3354191951265036e-9,5.114984103197724e-10,7.814427954956636e-11
t26,3.02469991758409e-10,4.938286070663031e-10,6.713921345532766e-11
t27,3.1986902556462237e-10,5.232620371669398e-10,6.822692040231512e-11
t28,3.5859754286760795e-10,5.288584161632669e-10,6.863012922571647e-11
t29,3.899302966789631e-10,5.544058998059527e-10,7.142875579929856e-11
t30,5.151044039311188e-10,5.592253663956604e-10,7.826098744422921e-11
t31,5.089601788536559e-10,6.442200925084339e-10,9.861413566799964e-11
t32,4.928927388406439e-10,6.959073890679883e-10,1.1028436142876316e-10
t33,5.118426126993279e-10,6.63361890289221e-10,9.726680959665817e-11
t34,4.445170865081222e-10,4.951936839281737e-10,5.35306403936442e-11
t35,4.3519917886903594e-10,4.212635010521915e-10,4.054469428919976e-11
t36,4.032083628278525e-10,2.9794819398363017e-10,3.581027360573771e-11
t37,3.4560413759166407e-10,2.8284787321309e-10,3.382493093586706e-11
t38,3.2141996758101104e-10,3.27276886297837e-10,3.328899827323544e-11
t39,3.2756124612811576e-10,3.872806209011273e-10,3.401010965293692e-11
t40,3.1241999288880804e-10,3.988170734300786e-10,3.729067227930722e-11
t41,4.094423050542631e-9,4.431170730918792e-10,4.82509726059937e-11
t42,5.108526267353864e-10,5.48539766940764e-10,8.734235163979108e-11
t43,4.875535755175379e-10,6.169536414551328e-10,1.0954667260698048e-10
t44,3.873860908350292e-10,5.076899138073685e-10,8.877321740334598e-11
t45,3.7548089473640766e-10,4.701919685330777e-10,8.303242305226425e-11
t46,3.505613745726927e-10,4.340197975303046e-10,7.613963789874612e-11
t47,2.7881899108825073e-10,4.095086586170503e-10,6.710473333269638e-11
t48,2.6030120574001145e-10,3.6671163980855327e-10,6.196148425204431e-11
t49,2.7095943370823053e-10,3.6909331825672163e-10,6.010548525565199e-11
t50,2.764282652747701e-10,3.516398163611379e-10,5.399564879315835e-11
