Line,New_Trans_Capacity,Cost_Trans_Capacity
1,0.0,0.0
2,799.9999753201049,1.336399958772235e7
3,2.023416328638762e-6,0.04815326178894525
4,7.033172657687707e-7,0.017383189540740935
5,3.952736236331959e-6,0.020344733408400595
6,347.121556486105,8.3725719424448535e6
7,1003.3056552576363,8.996641810695225e6
8,1.049514143424574e-6,0.013435880064121395
9,1.0179436089296093e-5,0.0979872517955642
10,2149.9999306318823,2.5610799173686985e7
11,693.0812203349515,2.453091671253527e7
12,3474.999625566297,3.7043496008536726e7
13,2040.0701280553078,1.2697396477016237e7
14,1289.999812247761,9.92138855599753e6
15,174.99982763039768,803599.208478786
16,6.049767485242767,84563.6499087234
17,299.99999111090506,9.311699724091383e6
