model,line,line_name,planning_year,case,unit,value
GenX,1,BASN_to_CANO,2027,current_policies_52_week_low_gas,MW,0.0292039
GenX,2,BASN_to_CASO,2027,current_policies_52_week_low_gas,MW,0.717809
GenX,3,BASN_to_NWPP,2027,current_policies_52_week_low_gas,MW,0.1862
GenX,4,BASN_to_RMRG,2027,current_policies_52_week_low_gas,MW,0.013847
GenX,5,BASN_to_SRSG,2027,current_policies_52_week_low_gas,MW,2.64654
GenX,6,CANO_to_CASO,2027,current_policies_52_week_low_gas,MW,0.110059
GenX,7,CANO_to_NWPP,2027,current_policies_52_week_low_gas,MW,0.266109
GenX,8,CASO_to_NWPP,2027,current_policies_52_week_low_gas,MW,0.0795897
GenX,9,CASO_to_SRSG,2027,current_policies_52_week_low_gas,MW,0.055414
GenX,10,FRCC_to_SRSE,2027,current_policies_52_week_low_gas,MW,0.456502
GenX,11,ISNE_to_NYCW,2027,current_policies_52_week_low_gas,MW,0.021351
GenX,12,ISNE_to_NYUP,2027,current_policies_52_week_low_gas,MW,532.516
GenX,13,MISC_to_MISE,2027,current_policies_52_week_low_gas,MW,1.6043
GenX,14,MISC_to_MISS,2027,current_policies_52_week_low_gas,MW,0.0384172
GenX,15,MISC_to_MISW,2027,current_policies_52_week_low_gas,MW,0.0361898
GenX,16,MISC_to_PJMC,2027,current_policies_52_week_low_gas,MW,0.185977
GenX,17,MISC_to_PJMW,2027,current_policies_52_week_low_gas,MW,0.480854
GenX,18,MISC_to_SPPC,2027,current_policies_52_week_low_gas,MW,0.0629367
GenX,19,MISC_to_SPPN,2027,current_policies_52_week_low_gas,MW,2.25486
GenX,20,MISC_to_SPPS,2027,current_policies_52_week_low_gas,MW,0.299982
GenX,21,MISC_to_SRCE,2027,current_policies_52_week_low_gas,MW,0.168092
GenX,22,MISE_to_MISW,2027,current_policies_52_week_low_gas,MW,1.22399
GenX,23,MISE_to_PJMW,2027,current_policies_52_week_low_gas,MW,0.200391
GenX,24,MISS_to_SPPC,2027,current_policies_52_week_low_gas,MW,2.18934
GenX,25,MISS_to_SPPS,2027,current_policies_52_week_low_gas,MW,0.0496266
GenX,26,MISS_to_SRCE,2027,current_policies_52_week_low_gas,MW,0.200263
GenX,27,MISS_to_SRSE,2027,current_policies_52_week_low_gas,MW,0.0302285
GenX,28,MISW_to_NWPP,2027,current_policies_52_week_low_gas,MW,0.027138
GenX,29,MISW_to_PJMC,2027,current_policies_52_week_low_gas,MW,0.050407
GenX,30,MISW_to_SPPC,2027,current_policies_52_week_low_gas,MW,1.54685
GenX,31,MISW_to_SPPN,2027,current_policies_52_week_low_gas,MW,0.232949
GenX,32,NWPP_to_RMRG,2027,current_policies_52_week_low_gas,MW,0.0312113
GenX,33,NYCW_to_NYUP,2027,current_policies_52_week_low_gas,MW,3978.88
GenX,34,NYCW_to_PJME,2027,current_policies_52_week_low_gas,MW,188.85
GenX,35,NYUP_to_PJME,2027,current_policies_52_week_low_gas,MW,0.0246375
GenX,36,PJMC_to_PJMW,2027,current_policies_52_week_low_gas,MW,0.244919
GenX,37,PJMD_to_PJME,2027,current_policies_52_week_low_gas,MW,0.0814673
GenX,38,PJMD_to_PJMW,2027,current_policies_52_week_low_gas,MW,1.69979
GenX,39,PJMD_to_SRCA,2027,current_policies_52_week_low_gas,MW,0.128832
