Resource,Zone,New_Build,Can_Retire,Existing_Cap_MW,region,technology,cluster,Cap_Size,minimum_load_mw,Heat_Rate_MMBTU_per_MWh,Fixed_OM_Cost_per_MWyr,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,num_units,capacity_factor,unmodified_cap_size,unmodified_existing_cap_mw,Num_VRE_Bins,cost_case,tech_detail,basis_year,capex_mw,Inv_Cost_per_MWyr,Max_Cap_MW,regional_cost_multiplier,area,lcoe,interconnect_annuity,interconnect_capex_mw,m_popden,plant_inv_cost_mwyr,variable_CF,Unnamed: 21,MGA,Resource_Type
NENG_Rest_offshore_wind_turbine_1,1,0,1,29.3,NENG_Rest,Offshore Wind Turbine,1,29.3,0.1,8.84,111496,0.0,0.0,1.0,0.458,29.3,29.3,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1,Offshore_Wind_Turbine_1
NENG_Rest_onshore_wind_turbine_1,1,0,1,1369.2,NENG_Rest,Onshore Wind Turbine,1,20.74,0.308,8.84,43000,0.001,0.154,66.0,0.293,20.745,1369.17,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1990201668742494,-1.0,1,Onshore_Wind_Turbine_1
NENG_Rest_solar_photovoltaic_1,1,0,1,627.3,NENG_Rest,Solar Photovoltaic,1,2.42,0.0,8.84,22623,0.367,0.176,259.0,0.193,2.422,627.298,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1786188353492384,-1.0,1,Solar_Photovoltaic_1
NY_Z_A_onshore_wind_turbine_1,2,0,1,135.5,NY_Z_A,Onshore Wind Turbine,1,45.17,0.0,8.84,43000,0.367,0.196,3.0,0.232,45.167,135.501,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2259139344262295,-1.0,1,Onshore_Wind_Turbine_1
NY_Z_A_solar_photovoltaic_1,2,0,1,3.5,NY_Z_A,Solar Photovoltaic,1,1.75,1.0,8.84,22623,0.0,0.08,2.0,0.141,1.75,3.5,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1782340619307832,-1.0,1,Solar_Photovoltaic_1
NY_Z_B_onshore_wind_turbine_1,3,0,1,0.0,NY_Z_B,Onshore Wind Turbine,1,1.0,0.0,9.21,43000,0.0,0.0,0.0,0.032,0.0,0.0,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2024787795992714,-1.0,1,Onshore_Wind_Turbine_1
NY_Z_B_solar_photovoltaic_1,3,0,1,2.0,NY_Z_B,Solar Photovoltaic,1,2.0,0.0,8.84,22623,0.0,0.05,1.0,0.159,2.0,2.0,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1811545423497267,-1.0,1,Solar_Photovoltaic_1
NY_Z_C&E_onshore_wind_turbine_1,4,0,1,1011.1,NY_Z_C&E,Onshore Wind Turbine,1,53.22,0.205,8.84,43000,0.367,0.182,19.0,0.255,53.216,1011.104,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2201655396174863,-1.0,1,Onshore_Wind_Turbine_1
NY_Z_C&E_solar_photovoltaic_1,4,0,1,42.6,NY_Z_C&E,Solar Photovoltaic,1,1.85,0.0,8.84,22623,0.0,0.14,23.0,0.099,1.852,42.596,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1774873861566484,-1.0,1,Solar_Photovoltaic_1
NY_Z_D_onshore_wind_turbine_1,5,0,1,678.5,NY_Z_D,Onshore Wind Turbine,1,113.08,0.417,8.84,43000,0.0,0.0,6.0,0.236,113.083,678.498,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2272670765027322,-1.0,1,Onshore_Wind_Turbine_1
NY_Z_D_solar_photovoltaic_1,5,0,1,2.0,NY_Z_D,Solar Photovoltaic,1,2.0,0.0,8.84,22623,0.0,0.075,1.0,0.097,2.0,2.0,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1686461293260473,-1.0,1,Solar_Photovoltaic_1
NY_Z_F_solar_photovoltaic_1,6,0,1,9.1,NY_Z_F,Solar Photovoltaic,1,1.52,0.0,8.84,22623,0.0,0.097,6.0,0.117,1.517,9.102,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1818715163934426,-1.0,1,Solar_Photovoltaic_1
