tech_type,planning_year,model,value,resource_name,case
Battery,2040,GenX,0.0,BASN_batteries_1,full-base-200
Hydro,2040,GenX,4641165.66571801,BASN_conventional_hydroelectric_1,full-base-200
Coal,2040,GenX,11804.910460864554,BASN_conventional_steam_coal_1,full-base-200
Coal,2040,GenX,21669.666597269505,BASN_conventional_steam_coal_2,full-base-200
Geothermal,2040,GenX,2333170.740672037,BASN_geothermal_1,full-base-200
Natural Gas CC,2040,GenX,496627.078585092,BASN_natural_gas_fired_combined_cycle_1,full-base-200
Natural Gas CC,2040,GenX,8166051.77598978,BASN_natural_gas_fired_combined_cycle_2,full-base-200
Natural Gas CT,2040,GenX,102885.01002227695,BASN_natural_gas_fired_combustion_turbine_1,full-base-200
Natural Gas CT,2040,GenX,23532.896721535988,BASN_natural_gas_fired_combustion_turbine_2,full-base-200
Wind,2040,GenX,2134010.1757938843,BASN_onshore_wind_turbine_1,full-base-200
Hydro,2040,GenX,1416105.5999999738,BASN_small_hydroelectric_1,full-base-200
Solar,2040,GenX,18297019.85960864,BASN_solar_photovoltaic_1,full-base-200
Battery,2040,GenX,0.0,CANO_batteries_1,full-base-200
Hydro,2040,GenX,17206260.89499723,CANO_conventional_hydroelectric_1,full-base-200
Geothermal,2040,GenX,0.0,CANO_geothermal_1,full-base-200
Hydro,2040,GenX,6019685.84498584,CANO_hydroelectric_pumped_storage_1,full-base-200
Natural Gas CC,2040,GenX,521198.7417891548,CANO_natural_gas_fired_combined_cycle_1,full-base-200
Natural Gas CC,2040,GenX,7745502.171664183,CANO_natural_gas_fired_combined_cycle_2,full-base-200
Natural Gas CT,2040,GenX,9502.84506723896,CANO_natural_gas_fired_combustion_turbine_1,full-base-200
Natural Gas CT,2040,GenX,28696.303104569997,CANO_natural_gas_fired_combustion_turbine_2,full-base-200
Nuclear,2040,GenX,0.0,CANO_nuclear_1,full-base-200
Wind,2040,GenX,1090207.9584807183,CANO_onshore_wind_turbine_1,full-base-200
Hydro,2040,GenX,1862515.199999728,CANO_small_hydroelectric_1,full-base-200
Solar,2040,GenX,14991326.308605306,CANO_solar_photovoltaic_1,full-base-200
Battery,2040,GenX,145697.14572039415,CASO_batteries_1,full-base-200
Hydro,2040,GenX,2145067.39173388,CASO_conventional_hydroelectric_1,full-base-200
Coal,2040,GenX,0.0,CASO_conventional_steam_coal_1,full-base-200
Geothermal,2040,GenX,180666.23469417283,CASO_geothermal_1,full-base-200
Hydro,2040,GenX,4567535.819815574,CASO_hydroelectric_pumped_storage_1,full-base-200
Natural Gas CC,2040,GenX,445936.5243068144,CASO_natural_gas_fired_combined_cycle_1,full-base-200
Natural Gas CC,2040,GenX,8837865.072055014,CASO_natural_gas_fired_combined_cycle_2,full-base-200
Natural Gas CT,2040,GenX,44140.77672530517,CASO_natural_gas_fired_combustion_turbine_1,full-base-200
Natural Gas CT,2040,GenX,392258.2684218915,CASO_natural_gas_fired_combustion_turbine_2,full-base-200
Wind,2040,GenX,10059119.963807937,CASO_onshore_wind_turbine_1,full-base-200
Hydro,2040,GenX,588806.3999999758,CASO_small_hydroelectric_1,full-base-200
Solar,2040,GenX,31257909.29322752,CASO_solar_photovoltaic_1,full-base-200
Battery,2040,GenX,0.0,FRCC_batteries_1,full-base-200
Hydro,2040,GenX,106732.31875326192,FRCC_conventional_hydroelectric_1,full-base-200
Coal,2040,GenX,507.99939612635336,FRCC_conventional_steam_coal_1,full-base-200
Coal,2040,GenX,244.16590531794537,FRCC_conventional_steam_coal_2,full-base-200
Natural Gas CC,2040,GenX,19861748.28277989,FRCC_natural_gas_fired_combined_cycle_1,full-base-200
Natural Gas CC,2040,GenX,3124.003352455002,FRCC_natural_gas_fired_combined_cycle_2,full-base-200
Natural Gas CT,2040,GenX,38842.459266889375,FRCC_natural_gas_fired_combustion_turbine_1,full-base-200
