model,line_name,planning_year,case,unit,value,end_value,line,start_region,dest_region,km,end_cap,start_cap,scenario,configuration,child_scenario,cap
GenX,BASN_to_CANO,2023,full-base-200,MW,161338.0,161338.0,1.0,BASN,CANO,1613.3847128003597,100.0,100.0,base,base,carbon_price,
GenX,BASN_to_CASO,2023,full-base-200,MW,6232667.0,6233320.0,2.0,BASN,CASO,1052.8154002870249,5920.62,5920.0,base,base,carbon_price,
GenX,BASN_to_NWPP,2023,full-base-200,MW,7181335.0,7183350.0,3.0,BASN,NWPP,2143.6820330805017,3350.94,3350.0,base,base,carbon_price,
GenX,BASN_to_RMRG,2023,full-base-200,MW,5546133.0,5546251.0,4.0,BASN,RMRG,1478.968739910536,3750.08,3750.0,base,base,carbon_price,
GenX,BASN_to_SRSG,2023,full-base-200,MW,6445229.0,6445984.0,5.0,BASN,SRSG,1196.8856954277987,5385.63,5385.0,base,base,carbon_price,
GenX,CANO_to_CASO,2023,full-base-200,MW,2493475.0,2493495.0,6.0,CANO,CASO,678.496525078502,3675.03,3675.0,base,base,carbon_price,
GenX,CANO_to_NWPP,2023,full-base-200,MW,4787096.0,4787604.0,7.0,CANO,NWPP,1302.6110658309303,3675.39,3675.0,base,base,carbon_price,
GenX,CASO_to_NWPP,2023,full-base-200,MW,5313368.0,5313368.0,8.0,CASO,NWPP,1859.1210098249196,2858.0,2858.0,base,base,carbon_price,
GenX,CASO_to_SRSG,2023,full-base-200,MW,2919044.0,2919057.0,9.0,CASO,SRSG,670.4280089248628,4354.02,4354.0,base,base,carbon_price,
GenX,FRCC_to_SRSE,2023,full-base-200,MW,3350541.0,3350690.0,10.0,FRCC,SRSE,930.705776696937,3600.16,3600.0,base,base,carbon_price,
GenX,ISNE_to_NYCW,2023,full-base-200,MW,158660.0,158661.0,11.0,ISNE,NYCW,208.76319678780865,760.005,760.0,base,base,carbon_price,
GenX,ISNE_to_NYUP,2023,full-base-200,MW,591379.0,591624.0,12.0,ISNE,NYUP,422.4133412443229,1400.58,1400.0,base,base,carbon_price,
GenX,MISC_to_MISE,2023,full-base-200,MW,0.0,2011.0,13.0,MISC,MISE,993.3851724175372,2.02422,0.0,base,base,carbon_price,
GenX,MISC_to_MISS,2023,full-base-200,MW,1488088.0,1488131.0,14.0,MISC,MISS,1432.2313664952487,1039.03,1039.0,base,base,carbon_price,
GenX,MISC_to_MISW,2023,full-base-200,MW,2268174.0,2268188.0,15.0,MISC,MISW,1370.4981771620598,1655.01,1655.0,base,base,carbon_price,
GenX,MISC_to_PJMC,2023,full-base-200,MW,3283817.0,3283830.0,16.0,MISC,PJMC,626.2046711986147,5244.02,5244.0,base,base,carbon_price,
