model,line_name,planning_year,case,unit,value,end_value,line,start_region,dest_region,km,end_cap,start_cap,scenario,configuration,child_scenario,cap
GenX,MISC_to_PJMW,2023,full-base-200,MW,3464702.0,3464740.0,17.0,MISC,PJMW,636.7767278564246,5441.06,5441.0,base,base,carbon_price,
GenX,MISC_to_SPPC,2023,full-base-200,MW,995388.0,995499.0,18.0,MISC,SPPC,696.0754685319118,1430.16,1430.0,base,base,carbon_price,
GenX,MISC_to_SPPN,2023,full-base-200,MW,0.0,4233.0,19.0,MISC,SPPN,919.2234841721058,4.60542,0.0,base,base,carbon_price,
GenX,MISC_to_SPPS,2023,full-base-200,MW,1364560.0,1364607.0,20.0,MISC,SPPS,1164.3004320004338,1172.04,1172.0,base,base,carbon_price,
GenX,MISC_to_SRCE,2023,full-base-200,MW,3024383.0,3024431.0,21.0,MISC,SRCE,807.5788459671032,3745.06,3745.0,base,base,carbon_price,
GenX,MISE_to_MISW,2023,full-base-200,MW,0.0,2345.0,22.0,MISE,MISW,1338.0895372438338,1.75231,0.0,base,base,carbon_price,
GenX,MISE_to_PJMW,2023,full-base-200,MW,1789648.0,1789655.0,23.0,MISE,PJMW,672.2944948093907,2662.01,2662.0,base,base,carbon_price,
GenX,MISS_to_SPPC,2023,full-base-200,MW,0.0,5722.0,24.0,MISS,SPPC,1264.309793619994,4.52606,0.0,base,base,carbon_price,
GenX,MISS_to_SPPS,2023,full-base-200,MW,1838598.0,1840613.0,25.0,MISS,SPPS,1083.4402589451677,1698.86,1697.0,base,base,carbon_price,
GenX,MISS_to_SRCE,2023,full-base-200,MW,3726069.0,3726069.0,26.0,MISS,SRCE,910.5740119711644,4092.0,4092.0,base,base,carbon_price,
GenX,MISS_to_SRSE,2023,full-base-200,MW,735738.0,735749.0,27.0,MISS,SRSE,825.7437764420143,891.014,891.0,base,base,carbon_price,
GenX,MISW_to_NWPP,2023,full-base-200,MW,2808140.0,2808168.0,28.0,MISW,NWPP,14040.700523946523,200.002,200.0,base,base,carbon_price,
GenX,MISW_to_PJMC,2023,full-base-200,MW,1847606.0,1847664.0,29.0,MISW,PJMC,577.3769837220765,3200.1,3200.0,base,base,carbon_price,
GenX,MISW_to_SPPC,2023,full-base-200,MW,0.0,2083.0,30.0,MISW,SPPC,1195.0293103479462,1.74306,0.0,base,base,carbon_price,
GenX,MISW_to_SPPN,2023,full-base-200,MW,5589987.0,5590048.0,31.0,MISW,SPPN,1014.1486283848258,5512.06,5512.0,base,base,carbon_price,
GenX,NWPP_to_RMRG,2023,full-base-200,MW,102557.0,102580.0,32.0,NWPP,RMRG,256.39318164425606,400.089,400.0,base,base,carbon_price,
GenX,NYCW_to_NYUP,2023,full-base-200,MW,794072.0,794078.0,33.0,NYCW,NYUP,319.03239545042265,2489.02,2489.0,base,base,carbon_price,
GenX,NYCW_to_PJME,2023,full-base-200,MW,53474.0,381181.0,34.0,NYCW,PJME,81.02077938846139,4704.73,660.0,base,base,carbon_price,
GenX,NYUP_to_PJME,2023,full-base-200,MW,397354.0,397588.0,35.0,NYUP,PJME,316.61636032760543,1255.74,1255.0,base,base,carbon_price,
GenX,PJMC_to_PJMW,2023,full-base-200,MW,475254.0,475367.0,36.0,PJMC,PJMW,484.9526117173539,980.234,980.0,base,base,carbon_price,
GenX,PJMD_to_PJME,2023,full-base-200,MW,167117.0,167138.0,37.0,PJMD,PJME,139.26433395480618,1200.15,1200.0,base,base,carbon_price,
GenX,PJMD_to_PJMW,2023,full-base-200,MW,3421719.0,3421753.0,38.0,PJMD,PJMW,493.7545177764829,6930.07,6930.0,base,base,carbon_price,
GenX,PJMD_to_SRCA,2023,full-base-200,MW,525255.0,525265.0,39.0,PJMD,SRCA,525.2547915890101,1000.02,1000.0,base,base,carbon_price,
GenX,PJME_to_PJMW,2023,full-base-200,MW,1876405.0,1876419.0,40.0,PJME,PJMW,482.9870637110515,3885.03,3885.0,base,base,carbon_price,
GenX,PJMW_to_SRCA,2023,full-base-200,MW,1097455.0,1097482.0,41.0,PJMW,SRCA,900.2912298442393,1219.03,1219.0,base,base,carbon_price,
GenX,PJMW_to_SRCE,2023,full-base-200,MW,1809620.0,1809636.0,42.0,PJMW,SRCE,542.940224506259,3333.03,3333.0,base,base,carbon_price,
GenX,RMRG_to_SPPC,2023,full-base-200,MW,196692.0,197766.0,43.0,RMRG,SPPC,936.6269837220768,211.147,210.0,base,base,carbon_price,
GenX,RMRG_to_SPPN,2023,full-base-200,MW,320034.0,1482734.0,44.0,RMRG,SPPN,780.5713741841813,1899.55,410.0,base,base,carbon_price,
GenX,RMRG_to_SRSG,2023,full-base-200,MW,891491.0,896556.0,45.0,RMRG,SRSG,1451.9389962866967,617.489,614.0,base,base,carbon_price,
GenX,SPPC_to_SPPN,2023,full-base-200,MW,374290.0,781146.0,46.0,SPPC,SPPN,261.19343417595013,2990.68,1433.0,base,base,carbon_price,
GenX,SPPC_to_SPPS,2023,full-base-200,MW,1534354.0,1534376.0,47.0,SPPC,SPPS,455.0277413171593,3372.05,3372.0,base,base,carbon_price,
GenX,SPPN_to_SPPS,2023,full-base-200,MW,0.0,9518.0,48.0,SPPN,SPPS,679.4249275747745,14.0087,0.0,base,base,carbon_price,
GenX,SPPS_to_SRSG,2023,full-base-200,MW,1545958.0,1546233.0,49.0,SPPS,SRSG,1530.6511537017682,1010.18,1010.0,base,base,carbon_price,
GenX,SPPS_to_TRE,2023,full-base-200,MW,300783.0,301128.0,50.0,SPPS,TRE,501.3042951289656,600.69,600.0,base,base,carbon_price,
GenX,SPPS_to_TREW,2023,full-base-200,MW,130810.0,965378.0,51.0,SPPS,TREW,594.5912331781975,1623.6,220.0,base,base,carbon_price,
GenX,SRCA_to_SRCE,2023,full-base-200,MW,226220.0,226275.0,52.0,SRCA,SRCE,1047.313910703395,216.053,216.0,base,base,carbon_price,
GenX,SRCA_to_SRSE,2023,full-base-200,MW,1051339.0,1051384.0,53.0,SRCA,SRSE,750.9564568673488,1400.06,1400.0,base,base,carbon_price,
GenX,SRCE_to_SRSE,2023,full-base-200,MW,2585542.0,2585558.0,54.0,SRCE,SRSE,808.9930595294763,3196.02,3196.0,base,base,carbon_price,
GenX,TRE_to_TREW,2023,full-base-200,MW,11487357.0,11487357.0,55.0,TRE,TREW,694.9819646586291,16529.0,16529.0,base,base,carbon_price,
GenX,NWPP_to_SPPN,2023,full-base-200,MW,0.0,3884.0,56.0,NWPP,SPPN,2877.9361274282305,1.34952,0.0,base,base,carbon_price,
GenX,SRSG_to_TRE,2023,full-base-200,MW,0.0,3270.0,57.0,SRSG,TRE,1692.23667175099,1.93225,0.0,base,base,carbon_price,
GenX,BASN_to_CANO,2027,full-base-200,MW,0.0,,1.0,BASN,CANO,1613.3847128003597,,,base,base,carbon_price,3.75517e-05
GenX,CASO_to_BASN,2027,full-base-200,MW,655.0,,2.0,CASO,BASN,1052.8154002870249,,,base,base,carbon_price,0.621678
GenX,NWPP_to_BASN,2027,full-base-200,MW,2022.0,,3.0,NWPP,BASN,2143.6820330805017,,,base,base,carbon_price,0.943469
GenX,BASN_to_RMRG,2027,full-base-200,MW,122.0,,4.0,BASN,RMRG,1478.968739910536,,,base,base,carbon_price,0.0824565
GenX,SRSG_to_BASN,2027,full-base-200,MW,753.0,,5.0,SRSG,BASN,1196.8856954277987,,,base,base,carbon_price,0.629438
GenX,CASO_to_CANO,2027,full-base-200,MW,22.0,,6.0,CASO,CANO,678.496525078502,,,base,base,carbon_price,0.0320572
GenX,CANO_to_NWPP,2027,full-base-200,MW,509.0,,7.0,CANO,NWPP,1302.6110658309303,,,base,base,carbon_price,0.390766
GenX,NWPP_to_CASO,2027,full-base-200,MW,0.0,,8.0,NWPP,CASO,1859.1210098249196,,,base,base,carbon_price,3.52374e-05
GenX,CASO_to_SRSG,2027,full-base-200,MW,13.0,,9.0,CASO,SRSG,670.4280089248628,,,base,base,carbon_price,0.0189082
GenX,FRCC_to_SRSE,2027,full-base-200,MW,150.0,,10.0,FRCC,SRSE,930.705776696937,,,base,base,carbon_price,0.160708
GenX,ISNE_to_NYCW,2027,full-base-200,MW,1.0,,11.0,ISNE,NYCW,208.76319678780865,,,base,base,carbon_price,0.00452997
GenX,ISNE_to_NYUP,2027,full-base-200,MW,246.0,,12.0,ISNE,NYUP,422.4133412443229,,,base,base,carbon_price,0.581828
GenX,MISC_to_MISE,2027,full-base-200,MW,2011.0,,13.0,MISC,MISE,993.3851724175372,,,base,base,carbon_price,2.02422
GenX,MISC_to_MISS,2027,full-base-200,MW,44.0,,14.0,MISC,MISS,1432.2313664952487,,,base,base,carbon_price,0.0310198
GenX,MISW_to_MISC,2027,full-base-200,MW,8.0,,15.0,MISW,MISC,1370.4981771620598,,,base,base,carbon_price,0.00603979
GenX,MISC_to_PJMC,2027,full-base-200,MW,14.0,,16.0,MISC,PJMC,626.2046711986147,,,base,base,carbon_price,0.0228153
GenX,MISC_to_PJMW,2027,full-base-200,MW,36.0,,17.0,MISC,PJMW,636.7767278564246,,,base,base,carbon_price,0.0572945
GenX,MISC_to_SPPC,2027,full-base-200,MW,110.0,,18.0,MISC,SPPC,696.0754685319118,,,base,base,carbon_price,0.157832
GenX,MISC_to_SPPN,2027,full-base-200,MW,4233.0,,19.0,MISC,SPPN,919.2234841721058,,,base,base,carbon_price,4.60542
GenX,MISC_to_SPPS,2027,full-base-200,MW,45.0,,20.0,MISC,SPPS,1164.3004320004338,,,base,base,carbon_price,0.0388683
GenX,MISC_to_SRCE,2027,full-base-200,MW,46.0,,21.0,MISC,SRCE,807.5788459671032,,,base,base,carbon_price,0.0575762
GenX,MISE_to_MISW,2027,full-base-200,MW,2345.0,,22.0,MISE,MISW,1338.0895372438338,,,base,base,carbon_price,1.75231
GenX,PJMW_to_MISE,2027,full-base-200,MW,8.0,,23.0,PJMW,MISE,672.2944948093907,,,base,base,carbon_price,0.0122068
GenX,MISS_to_SPPC,2027,full-base-200,MW,5722.0,,24.0,MISS,SPPC,1264.309793619994,,,base,base,carbon_price,4.52606
GenX,MISS_to_SPPS,2027,full-base-200,MW,2017.0,,25.0,MISS,SPPS,1083.4402589451677,,,base,base,carbon_price,1.86196
GenX,MISS_to_SRCE,2027,full-base-200,MW,0.0,,26.0,MISS,SRCE,910.5740119711644,,,base,base,carbon_price,5.98354e-05
GenX,MISS_to_SRSE,2027,full-base-200,MW,11.0,,27.0,MISS,SRSE,825.7437764420143,,,base,base,carbon_price,0.01359
GenX,MISW_to_NWPP,2027,full-base-200,MW,30.0,,28.0,MISW,NWPP,14040.700523946523,,,base,base,carbon_price,0.00211085
GenX,MISW_to_PJMC,2027,full-base-200,MW,60.0,,29.0,MISW,PJMC,577.3769837220765,,,base,base,carbon_price,0.104408
GenX,MISW_to_SPPC,2027,full-base-200,MW,2083.0,,30.0,MISW,SPPC,1195.0293103479462,,,base,base,carbon_price,1.74306
GenX,MISW_to_SPPN,2027,full-base-200,MW,65.0,,31.0,MISW,SPPN,1014.1486283848258,,,base,base,carbon_price,0.0637194
GenX,NWPP_to_RMRG,2027,full-base-200,MW,23.0,,32.0,NWPP,RMRG,256.39318164425606,,,base,base,carbon_price,0.0893023
GenX,NYCW_to_NYUP,2027,full-base-200,MW,5.0,,33.0,NYCW,NYUP,319.03239545042265,,,base,base,carbon_price,0.0158653
GenX,NYCW_to_PJME,2027,full-base-200,MW,327707.0,,34.0,NYCW,PJME,81.02077938846139,,,base,base,carbon_price,4044.73
GenX,NYUP_to_PJME,2027,full-base-200,MW,235.0,,35.0,NYUP,PJME,316.61636032760543,,,base,base,carbon_price,0.741137
GenX,PJMC_to_PJMW,2027,full-base-200,MW,114.0,,36.0,PJMC,PJMW,484.9526117173539,,,base,base,carbon_price,0.234332
GenX,PJMD_to_PJME,2027,full-base-200,MW,21.0,,37.0,PJMD,PJME,139.26433395480618,,,base,base,carbon_price,0.150825
GenX,PJMD_to_PJMW,2027,full-base-200,MW,36.0,,38.0,PJMD,PJMW,493.7545177764829,,,base,base,carbon_price,0.0735478
GenX,PJMD_to_SRCA,2027,full-base-200,MW,9.0,,39.0,PJMD,SRCA,525.2547915890101,,,base,base,carbon_price,0.0177453
GenX,PJME_to_PJMW,2027,full-base-200,MW,16.0,,40.0,PJME,PJMW,482.9870637110515,,,base,base,carbon_price,0.0326978
GenX,PJMW_to_SRCA,2027,full-base-200,MW,26.0,,41.0,PJMW,SRCA,900.2912298442393,,,base,base,carbon_price,0.0283869
GenX,PJMW_to_SRCE,2027,full-base-200,MW,14.0,,42.0,PJMW,SRCE,542.940224506259,,,base,base,carbon_price,0.026102
GenX,RMRG_to_SPPC,2027,full-base-200,MW,1074.0,,43.0,RMRG,SPPC,936.6269837220768,,,base,base,carbon_price,1.14666
GenX,RMRG_to_SPPN,2027,full-base-200,MW,1162700.0,,44.0,RMRG,SPPN,780.5713741841813,,,base,base,carbon_price,1489.55
GenX,RMRG_to_SRSG,2027,full-base-200,MW,5066.0,,45.0,RMRG,SRSG,1451.9389962866967,,,base,base,carbon_price,3.48919
GenX,SPPC_to_SPPN,2027,full-base-200,MW,406856.0,,46.0,SPPC,SPPN,261.19343417595013,,,base,base,carbon_price,1557.68
GenX,SPPC_to_SPPS,2027,full-base-200,MW,23.0,,47.0,SPPC,SPPS,455.0277413171593,,,base,base,carbon_price,0.0502631
GenX,SPPN_to_SPPS,2027,full-base-200,MW,9518.0,,48.0,SPPN,SPPS,679.4249275747745,,,base,base,carbon_price,14.0087
GenX,SPPS_to_SRSG,2027,full-base-200,MW,281.0,,49.0,SPPS,SRSG,1530.6511537017682,,,base,base,carbon_price,0.183826
GenX,SPPS_to_TRE,2027,full-base-200,MW,346.0,,50.0,SPPS,TRE,501.3042951289656,,,base,base,carbon_price,0.689901
GenX,SPPS_to_TREW,2027,full-base-200,MW,834568.0,,51.0,SPPS,TREW,594.5912331781975,,,base,base,carbon_price,1403.6
GenX,SRCA_to_SRCE,2027,full-base-200,MW,56.0,,52.0,SRCA,SRCE,1047.313910703395,,,base,base,carbon_price,0.0534997
GenX,SRCA_to_SRSE,2027,full-base-200,MW,42.0,,53.0,SRCA,SRSE,750.9564568673488,,,base,base,carbon_price,0.0565067
GenX,SRCE_to_SRSE,2027,full-base-200,MW,14.0,,54.0,SRCE,SRSE,808.9930595294763,,,base,base,carbon_price,0.0172636
GenX,TREW_to_TRE,2027,full-base-200,MW,26.0,,55.0,TREW,TRE,694.9819646586291,,,base,base,carbon_price,0.0378473
GenX,NWPP_to_SPPN,2027,full-base-200,MW,3884.0,,56.0,NWPP,SPPN,2877.9361274282305,,,base,base,carbon_price,1.34952
GenX,SRSG_to_TRE,2027,full-base-200,MW,3270.0,,57.0,SRSG,TRE,1692.23667175099,,,base,base,carbon_price,1.93225
GenX,BASN_to_CANO,2030,full-base-200,MW,1092.0,,1.0,BASN,CANO,1613.3847128003597,,,base,base,carbon_price,0.677071
GenX,CASO_to_BASN,2030,full-base-200,MW,650.0,,2.0,CASO,BASN,1052.8154002870249,,,base,base,carbon_price,0.617823
GenX,NWPP_to_BASN,2030,full-base-200,MW,1807.0,,3.0,NWPP,BASN,2143.6820330805017,,,base,base,carbon_price,0.843076
GenX,BASN_to_RMRG,2030,full-base-200,MW,19309.0,,4.0,BASN,RMRG,1478.968739910536,,,base,base,carbon_price,13.0554
GenX,SRSG_to_BASN,2030,full-base-200,MW,318.0,,5.0,SRSG,BASN,1196.8856954277987,,,base,base,carbon_price,0.265784
GenX,CASO_to_CANO,2030,full-base-200,MW,3786.0,,6.0,CASO,CANO,678.496525078502,,,base,base,carbon_price,5.58008
GenX,CANO_to_NWPP,2030,full-base-200,MW,1454.0,,7.0,CANO,NWPP,1302.6110658309303,,,base,base,carbon_price,1.11647
GenX,NWPP_to_CASO,2030,full-base-200,MW,375.0,,8.0,NWPP,CASO,1859.1210098249196,,,base,base,carbon_price,0.201551
GenX,CASO_to_SRSG,2030,full-base-200,MW,1860947.0,,9.0,CASO,SRSG,670.4280089248628,,,base,base,carbon_price,2775.76
GenX,FRCC_to_SRSE,2030,full-base-200,MW,755.0,,10.0,FRCC,SRSE,930.705776696937,,,base,base,carbon_price,0.811008
GenX,ISNE_to_NYCW,2030,full-base-200,MW,45.0,,11.0,ISNE,NYCW,208.76319678780865,,,base,base,carbon_price,0.215626
GenX,ISNE_to_NYUP,2030,full-base-200,MW,2144626.0,,12.0,ISNE,NYUP,422.4133412443229,,,base,base,carbon_price,5077.08
GenX,MISC_to_MISE,2030,full-base-200,MW,1699513.0,,13.0,MISC,MISE,993.3851724175372,,,base,base,carbon_price,1710.83
GenX,MISC_to_MISS,2030,full-base-200,MW,1570.0,,14.0,MISC,MISS,1432.2313664952487,,,base,base,carbon_price,1.09651
GenX,MISW_to_MISC,2030,full-base-200,MW,25.0,,15.0,MISW,MISC,1370.4981771620598,,,base,base,carbon_price,0.0178974
GenX,MISC_to_PJMC,2030,full-base-200,MW,954.0,,16.0,MISC,PJMC,626.2046711986147,,,base,base,carbon_price,1.52283
GenX,MISC_to_PJMW,2030,full-base-200,MW,3354.0,,17.0,MISC,PJMW,636.7767278564246,,,base,base,carbon_price,5.26744
GenX,MISC_to_SPPC,2030,full-base-200,MW,3347343.0,,18.0,MISC,SPPC,696.0754685319118,,,base,base,carbon_price,4808.88
GenX,MISC_to_SPPN,2030,full-base-200,MW,1990496.0,,19.0,MISC,SPPN,919.2234841721058,,,base,base,carbon_price,2165.41
GenX,MISC_to_SPPS,2030,full-base-200,MW,4021750.0,,20.0,MISC,SPPS,1164.3004320004338,,,base,base,carbon_price,3454.22
GenX,MISC_to_SRCE,2030,full-base-200,MW,3693.0,,21.0,MISC,SRCE,807.5788459671032,,,base,base,carbon_price,4.57232
GenX,MISE_to_MISW,2030,full-base-200,MW,1450636.0,,22.0,MISE,MISW,1338.0895372438338,,,base,base,carbon_price,1084.11
GenX,PJMW_to_MISE,2030,full-base-200,MW,330.0,,23.0,PJMW,MISE,672.2944948093907,,,base,base,carbon_price,0.491548
GenX,MISS_to_SPPC,2030,full-base-200,MW,4029621.0,,24.0,MISS,SPPC,1264.309793619994,,,base,base,carbon_price,3187.21
GenX,MISS_to_SPPS,2030,full-base-200,MW,18381539.0,,25.0,MISS,SPPS,1083.4402589451677,,,base,base,carbon_price,16965.9
GenX,MISS_to_SRCE,2030,full-base-200,MW,474.0,,26.0,MISS,SRCE,910.5740119711644,,,base,base,carbon_price,0.52088
GenX,MISS_to_SRSE,2030,full-base-200,MW,6350102.0,,27.0,MISS,SRSE,825.7437764420143,,,base,base,carbon_price,7690.16
GenX,MISW_to_NWPP,2030,full-base-200,MW,37860.0,,28.0,MISW,NWPP,14040.700523946523,,,base,base,carbon_price,2.69643
GenX,MISW_to_PJMC,2030,full-base-200,MW,4183801.0,,29.0,MISW,PJMC,577.3769837220765,,,base,base,carbon_price,7246.22
GenX,MISW_to_SPPC,2030,full-base-200,MW,70946.0,,30.0,MISW,SPPC,1195.0293103479462,,,base,base,carbon_price,59.3676
GenX,MISW_to_SPPN,2030,full-base-200,MW,39.0,,31.0,MISW,SPPN,1014.1486283848258,,,base,base,carbon_price,0.038669
GenX,NWPP_to_RMRG,2030,full-base-200,MW,578546.0,,32.0,NWPP,RMRG,256.39318164425606,,,base,base,carbon_price,2256.48
GenX,NYCW_to_NYUP,2030,full-base-200,MW,589881.0,,33.0,NYCW,NYUP,319.03239545042265,,,base,base,carbon_price,1848.97
GenX,NYCW_to_PJME,2030,full-base-200,MW,16845.0,,34.0,NYCW,PJME,81.02077938846139,,,base,base,carbon_price,207.914
GenX,NYUP_to_PJME,2030,full-base-200,MW,1217586.0,,35.0,NYUP,PJME,316.61636032760543,,,base,base,carbon_price,3845.62
GenX,PJMC_to_PJMW,2030,full-base-200,MW,4528119.0,,36.0,PJMC,PJMW,484.9526117173539,,,base,base,carbon_price,9337.24
GenX,PJMD_to_PJME,2030,full-base-200,MW,383396.0,,37.0,PJMD,PJME,139.26433395480618,,,base,base,carbon_price,2753.01
GenX,PJMD_to_PJMW,2030,full-base-200,MW,540.0,,38.0,PJMD,PJMW,493.7545177764829,,,base,base,carbon_price,1.09429
GenX,PJMD_to_SRCA,2030,full-base-200,MW,9525.0,,39.0,PJMD,SRCA,525.2547915890101,,,base,base,carbon_price,18.1334
GenX,PJME_to_PJMW,2030,full-base-200,MW,1649560.0,,40.0,PJME,PJMW,482.9870637110515,,,base,base,carbon_price,3415.33
GenX,PJMW_to_SRCA,2030,full-base-200,MW,691.0,,41.0,PJMW,SRCA,900.2912298442393,,,base,base,carbon_price,0.767943
GenX,PJMW_to_SRCE,2030,full-base-200,MW,641.0,,42.0,PJMW,SRCE,542.940224506259,,,base,base,carbon_price,1.18133
GenX,RMRG_to_SPPC,2030,full-base-200,MW,5375265.0,,43.0,RMRG,SPPC,936.6269837220768,,,base,base,carbon_price,5738.96
GenX,RMRG_to_SPPN,2030,full-base-200,MW,1149626.0,,44.0,RMRG,SPPN,780.5713741841813,,,base,base,carbon_price,1472.8
GenX,RMRG_to_SRSG,2030,full-base-200,MW,741469.0,,45.0,RMRG,SRSG,1451.9389962866967,,,base,base,carbon_price,510.675
GenX,SPPC_to_SPPN,2030,full-base-200,MW,1237.0,,46.0,SPPC,SPPN,261.19343417595013,,,base,base,carbon_price,4.7349
GenX,SPPC_to_SPPS,2030,full-base-200,MW,1257.0,,47.0,SPPC,SPPS,455.0277413171593,,,base,base,carbon_price,2.7635
GenX,SPPN_to_SPPS,2030,full-base-200,MW,3490831.0,,48.0,SPPN,SPPS,679.4249275747745,,,base,base,carbon_price,5137.92
GenX,SPPS_to_SRSG,2030,full-base-200,MW,9963896.0,,49.0,SPPS,SRSG,1530.6511537017682,,,base,base,carbon_price,6509.58
GenX,SPPS_to_TRE,2030,full-base-200,MW,3628596.0,,50.0,SPPS,TRE,501.3042951289656,,,base,base,carbon_price,7238.31
GenX,SPPS_to_TREW,2030,full-base-200,MW,2856904.0,,51.0,SPPS,TREW,594.5912331781975,,,base,base,carbon_price,4804.82
GenX,SRCA_to_SRCE,2030,full-base-200,MW,2544.0,,52.0,SRCA,SRCE,1047.313910703395,,,base,base,carbon_price,2.42866
GenX,SRCA_to_SRSE,2030,full-base-200,MW,861.0,,53.0,SRCA,SRSE,750.9564568673488,,,base,base,carbon_price,1.14624
GenX,SRCE_to_SRSE,2030,full-base-200,MW,3352.0,,54.0,SRCE,SRSE,808.9930595294763,,,base,base,carbon_price,4.1437
GenX,TREW_to_TRE,2030,full-base-200,MW,716.0,,55.0,TREW,TRE,694.9819646586291,,,base,base,carbon_price,1.03085
GenX,NWPP_to_SPPN,2030,full-base-200,MW,3599320.0,,56.0,NWPP,SPPN,2877.9361274282305,,,base,base,carbon_price,1250.66
GenX,SRSG_to_TRE,2030,full-base-200,MW,4151683.0,,57.0,SRSG,TRE,1692.23667175099,,,base,base,carbon_price,2453.37
GenX,BASN_to_CANO,2035,full-base-200,MW,50.0,,1.0,BASN,CANO,1613.3847128003597,,,base,base,carbon_price,0.0308718
GenX,CASO_to_BASN,2035,full-base-200,MW,84.0,,2.0,CASO,BASN,1052.8154002870249,,,base,base,carbon_price,0.0799308
GenX,NWPP_to_BASN,2035,full-base-200,MW,22.0,,3.0,NWPP,BASN,2143.6820330805017,,,base,base,carbon_price,0.0103099
GenX,BASN_to_RMRG,2035,full-base-200,MW,142.0,,4.0,BASN,RMRG,1478.968739910536,,,base,base,carbon_price,0.0957716
GenX,SRSG_to_BASN,2035,full-base-200,MW,37.0,,5.0,SRSG,BASN,1196.8856954277987,,,base,base,carbon_price,0.030893
GenX,CASO_to_CANO,2035,full-base-200,MW,15.0,,6.0,CASO,CANO,678.496525078502,,,base,base,carbon_price,0.0220114
GenX,CANO_to_NWPP,2035,full-base-200,MW,49.0,,7.0,CANO,NWPP,1302.6110658309303,,,base,base,carbon_price,0.0374503
GenX,NWPP_to_CASO,2035,full-base-200,MW,111.0,,8.0,NWPP,CASO,1859.1210098249196,,,base,base,carbon_price,0.0598204
GenX,CASO_to_SRSG,2035,full-base-200,MW,1042911.0,,9.0,CASO,SRSG,670.4280089248628,,,base,base,carbon_price,1555.59
GenX,FRCC_to_SRSE,2035,full-base-200,MW,0.0,,10.0,FRCC,SRSE,930.705776696937,,,base,base,carbon_price,0.000471063
GenX,ISNE_to_NYCW,2035,full-base-200,MW,2.0,,11.0,ISNE,NYCW,208.76319678780865,,,base,base,carbon_price,0.0115648
GenX,ISNE_to_NYUP,2035,full-base-200,MW,1267067.0,,12.0,ISNE,NYUP,422.4133412443229,,,base,base,carbon_price,2999.59
GenX,MISC_to_MISE,2035,full-base-200,MW,22740.0,,13.0,MISC,MISE,993.3851724175372,,,base,base,carbon_price,22.8917
GenX,MISC_to_MISS,2035,full-base-200,MW,74.0,,14.0,MISC,MISS,1432.2313664952487,,,base,base,carbon_price,0.0514026
GenX,MISW_to_MISC,2035,full-base-200,MW,26.0,,15.0,MISW,MISC,1370.4981771620598,,,base,base,carbon_price,0.0191187
GenX,MISC_to_PJMC,2035,full-base-200,MW,76.0,,16.0,MISC,PJMC,626.2046711986147,,,base,base,carbon_price,0.120615
