Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26,planning_year,model,percent_total,case
cFix,63860054320.70004,2.35613629091e9,9.060959046999999e8,8.3636814155e8,1.7452409120000002e9,1.8482270839e9,4.1362965247499995e9,1.4257561250999997e9,2.39601569484e9,3.5097799093e9,2.3933685503799996e9,8.630190120600001e8,1.38848812856e9,2.4908107419e9,1.2132972329000003e9,4.0518072920799994e9,4.424984023999998e9,2.10686248953e9,1.28293825734e9,1.5138069438600004e9,2.2568023604e9,4.33234965278e9,4.2731519042799993e9,3.0849679160999994e9,2.62038772659e9,5.323078753690001e9,1.0800167472e9,2027,SWITCH,0.214,full-base-200-tx-0
cVar,50968666524.630196,1.2766085608316398e9,1.6890224740723608e9,1.7278068213601341e9,6.27849959777777e9,2.0305926902959502e9,1.6141576545482929e9,1.7244515122754095e9,3.667106111927451e9,2.1645121064747386e9,1.0403529194548548e9,1.201936700367992e9,1.0689357110545839e9,1.7597100100154157e9,1.730344791255331e9,5.13780751066535e9,5.196970072396551e9,4.3892250483648837e8,6.571437763822862e8,3.101899099716855e8,1.2795094639609663e9,3.372906680772785e9,2.8576552530138683e9,4.648476963561996e9,1.7774015214680407e9,4.566804199618415e9,4.8325181849992436e8,2027,SWITCH,0.171,full-base-200-tx-0
cNSE,100390757.33843753,28023.276148070552,28012.322686643816,28030.85371040367,28427.662967431967,8.768174977975267e7,28042.182863290116,28116.351413583092,28277.248236625426,28229.23790479216,28051.56885789817,1.2034531107708924e7,27982.28501939489,28059.279363894697,28059.528755225954,28173.782779207108,28077.983718099906,27989.84801304819,28062.569018854596,27990.620272159864,28054.728115872695,28046.654616657204,28091.684453569127,28141.4565229231,28269.08331114335,28287.19258858413,27979.049639876124,2027,SWITCH,0.0,full-base-200-tx-0
cStart,673948934.8852934,5.462239876632198e6,2.1626036548863575e6,3.681880263438641e6,6.701282704469162e6,7.7808595271143885e6,5.029975379202905e7,9.995503931972906e6,1.0557383937726395e7,1.1007020780492623e8,1.1062520033574612e6,4.0713544245997546e6,877211.8419295861,1.715720863563671e7,2.58927754252993e6,1.8852046664654266e7,3.78103179229337e7,1.16782437055824e7,3.1996081514731932e7,2.1088137037902147e7,5.1374178248616464e7,1.9480127266749285e7,1.013234676527652e7,8.87772746486336e6,6.700284042925251e6,2.038014776302379e8,1.964494667953163e7,2027,SWITCH,0.002,full-base-200-tx-0
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2027,SWITCH,0.0,full-base-200-tx-0
cNetworkExp,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2027,SWITCH,0.0,full-base-200-tx-0
cVOM,8732410812.23481,,,,,,,,,,,,,,,,,,,,,,,,,,,2027,SWITCH,0.029,full-base-200-tx-0
cCO2,174024997451.71533,,,,,,,,,,,,,,,,,,,,,,,,,,,2027,SWITCH,0.583,full-base-200-tx-0
cFix,132092768901.49992,4.09616680765e9,2.5829055857799997e9,3.2626853089200006e9,7.913245281909999e9,5.205542749940001e9,7.89570157357e9,3.71422349235e9,5.68069133407e9,7.104184883849998e9,5.0088047028e9,1.1152797523200002e9,2.6930001752200007e9,2.8108165569e9,2.95600198107e9,7.19615053171e9,1.114493727559e10,3.13330758228e9,2.63984988099e9,2.1738413676200004e9,3.8967588410199995e9,7.328722695339999e9,7.59416817378e9,8.1251647314400015e9,4.512097202650001e9,1.083635726127e10,1.47216317146e9,2030,SWITCH,0.604,full-base-200-tx-0
cVar,34291881757.7549,3.0858806326178974e8,1.3556571140033696e9,1.6798474837530723e9,4.673863269863248e9,1.1335415822396266e9,1.798761079565066e9,1.2536931910105345e9,2.554207206808004e9,1.9958063235098336e9,2.394083886350432e8,1.1916508875548203e9,4.730066421310468e8,1.1583189158035204e9,7.534157972406808e8,3.025115284477077e9,5.596136029862714e9,4.126250393338244e8,6.099979583242459e8,1.3240976795371364e8,6.720093753846955e8,2.8611549371194196e9,1.4151750389893076e9,3.722679178071412e9,6.686707763838543e8,3.6647937579457355e9,2.4447618939849535e8,2030,SWITCH,0.157,full-base-200-tx-0
