model,zone,planning_year,case,unit,value,agg_zone
TEMOA,BASN,2027,full-base-200-tx-0,tons,24836400.0,WECC
TEMOA,BASN,2030,full-base-200-tx-0,tons,3262990.0,WECC
TEMOA,BASN,2035,full-base-200-tx-0,tons,2781110.0,WECC
TEMOA,BASN,2040,full-base-200-tx-0,tons,2937800.0,WECC
TEMOA,BASN,2045,full-base-200-tx-0,tons,2619010.0,WECC
TEMOA,BASN,2050,full-base-200-tx-0,tons,2342880.0,WECC
TEMOA,CANO,2027,full-base-200-tx-0,tons,21603200.0,CA
TEMOA,CANO,2030,full-base-200-tx-0,tons,3786440.0,CA
TEMOA,CANO,2035,full-base-200-tx-0,tons,2273030.0,CA
TEMOA,CANO,2040,full-base-200-tx-0,tons,3839070.0,CA
TEMOA,CANO,2045,full-base-200-tx-0,tons,3728450.0,CA
TEMOA,CANO,2050,full-base-200-tx-0,tons,3401720.0,CA
TEMOA,CASO,2027,full-base-200-tx-0,tons,20245100.0,CA
TEMOA,CASO,2030,full-base-200-tx-0,tons,6815730.0,CA
TEMOA,CASO,2035,full-base-200-tx-0,tons,4029620.0,CA
TEMOA,CASO,2040,full-base-200-tx-0,tons,4969580.0,CA
TEMOA,CASO,2045,full-base-200-tx-0,tons,5111420.0,CA
TEMOA,CASO,2050,full-base-200-tx-0,tons,4653390.0,CA
TEMOA,FRCC,2027,full-base-200-tx-0,tons,75182200.0,SOU
TEMOA,FRCC,2030,full-base-200-tx-0,tons,9529850.0,SOU
TEMOA,FRCC,2035,full-base-200-tx-0,tons,7721770.0,SOU
TEMOA,FRCC,2040,full-base-200-tx-0,tons,8848050.0,SOU
TEMOA,FRCC,2045,full-base-200-tx-0,tons,9922470.0,SOU
TEMOA,FRCC,2050,full-base-200-tx-0,tons,9496620.0,SOU
TEMOA,ISNE,2027,full-base-200-tx-0,tons,28013000.0,NE
TEMOA,ISNE,2030,full-base-200-tx-0,tons,11902600.0,NE
TEMOA,ISNE,2035,full-base-200-tx-0,tons,13538300.0,NE
TEMOA,ISNE,2040,full-base-200-tx-0,tons,15276500.0,NE
TEMOA,ISNE,2045,full-base-200-tx-0,tons,15654200.0,NE
TEMOA,ISNE,2050,full-base-200-tx-0,tons,15212700.0,NE
TEMOA,MISC,2027,full-base-200-tx-0,tons,37051100.0,MISO
TEMOA,MISC,2030,full-base-200-tx-0,tons,3661090.0,MISO
TEMOA,MISC,2035,full-base-200-tx-0,tons,2960670.0,MISO
TEMOA,MISC,2040,full-base-200-tx-0,tons,3100730.0,MISO
TEMOA,MISC,2045,full-base-200-tx-0,tons,3338920.0,MISO
TEMOA,MISC,2050,full-base-200-tx-0,tons,2892850.0,MISO
TEMOA,MISE,2027,full-base-200-tx-0,tons,32613100.0,MISO
TEMOA,MISE,2030,full-base-200-tx-0,tons,2417440.0,MISO
TEMOA,MISE,2035,full-base-200-tx-0,tons,1804740.0,MISO
TEMOA,MISE,2040,full-base-200-tx-0,tons,2067570.0,MISO
TEMOA,MISE,2045,full-base-200-tx-0,tons,2313710.0,MISO
TEMOA,MISE,2050,full-base-200-tx-0,tons,1877950.0,MISO
TEMOA,MISS,2027,full-base-200-tx-0,tons,52367800.0,MISO
TEMOA,MISS,2030,full-base-200-tx-0,tons,8472930.0,MISO
TEMOA,MISS,2035,full-base-200-tx-0,tons,5422410.0,MISO
TEMOA,MISS,2040,full-base-200-tx-0,tons,5819360.0,MISO
TEMOA,MISS,2045,full-base-200-tx-0,tons,6478140.0,MISO
TEMOA,MISS,2050,full-base-200-tx-0,tons,5889320.0,MISO
TEMOA,MISW,2027,full-base-200-tx-0,tons,45133500.0,MISO
TEMOA,MISW,2030,full-base-200-tx-0,tons,7649300.0,MISO
TEMOA,MISW,2035,full-base-200-tx-0,tons,5490670.0,MISO
TEMOA,MISW,2040,full-base-200-tx-0,tons,5582280.0,MISO
TEMOA,MISW,2045,full-base-200-tx-0,tons,4959590.0,MISO
TEMOA,MISW,2050,full-base-200-tx-0,tons,4048770.0,MISO
TEMOA,NWPP,2027,full-base-200-tx-0,tons,17729000.0,WECC
TEMOA,NWPP,2030,full-base-200-tx-0,tons,1617070.0,WECC
TEMOA,NWPP,2035,full-base-200-tx-0,tons,1952940.0,WECC
TEMOA,NWPP,2040,full-base-200-tx-0,tons,2219980.0,WECC
TEMOA,NWPP,2045,full-base-200-tx-0,tons,2098980.0,WECC
TEMOA,NWPP,2050,full-base-200-tx-0,tons,2107600.0,WECC
TEMOA,NYCW,2027,full-base-200-tx-0,tons,18500600.0,NE
TEMOA,NYCW,2030,full-base-200-tx-0,tons,17604800.0,NE
TEMOA,NYCW,2035,full-base-200-tx-0,tons,23037500.0,NE
TEMOA,NYCW,2040,full-base-200-tx-0,tons,26202300.0,NE
TEMOA,NYCW,2045,full-base-200-tx-0,tons,29726600.0,NE
TEMOA,NYCW,2050,full-base-200-tx-0,tons,31073700.0,NE
TEMOA,NYUP,2027,full-base-200-tx-0,tons,14524000.0,NE
