Fuel,AnnualSum
No_fuel,0.0
new_england_coal,4.591426338193516e7
new_england_naturalgas,2.5562045504804677e8
new_england_uranium,34.5784490902485
middle_atlantic_naturalgas,6.150400483501425e8
middle_atlantic_uranium,8.519656341769493e8
middle_atlantic_coal,0.0
east_north_central_coal,1.984523000529896e9
east_north_central_naturalgas,3.781584501741592e8
east_north_central_uranium,2.257441986548052e8
new_england_naturalgas_ccs100,0.4850892629515496
middle_atlantic_naturalgas_ccs100,4.194859042833512
east_north_central_naturalgas_ccs90,0.4852913670379739
east_north_central_naturalgas_ccs100,0.5516699771469955
None,0.0
