Period_Index,Rep_Period_Index,Month,Rep_Period
1,4,1,1
2,2,1,2
3,2,1,2
4,2,1,2
5,2,1,2
6,2,1,2
7,2,1,2
8,2,2,2
9,1,2,36
10,1,2,36
11,2,2,2
12,1,2,36
13,2,2,2
14,2,2,2
15,2,3,2
16,2,3,2
17,2,3,2
18,2,3,2
19,1,3,36
20,1,3,36
21,1,3,36
22,2,3,2
23,1,4,36
24,1,4,36
25,2,4,2
26,1,4,36
27,2,4,2
28,3,4,54
29,1,4,36
30,1,4,36
31,1,5,36
32,1,5,36
33,2,5,2
34,2,5,2
35,1,5,36
36,1,5,36
37,1,5,36
38,1,6,36
39,1,6,36
40,3,6,54
41,3,6,54
42,1,6,36
43,3,6,54
44,1,6,36
45,1,6,36
46,1,7,36
47,1,7,36
48,3,7,54
49,3,7,54
50,3,7,54
51,1,7,36
52,2,7,2
53,3,7,54
54,3,8,54
55,1,8,36
56,3,8,54
57,3,8,54
58,3,8,54
59,3,8,54
60,3,8,54
61,3,9,54
62,3,9,54
63,3,9,54
64,1,9,36
65,3,9,54
66,1,9,36
67,1,9,36
68,3,9,54
69,3,10,54
70,3,10,54
71,3,10,54
72,2,10,2
73,1,10,36
74,3,10,54
75,3,10,54
76,2,10,2
77,2,11,2
78,2,11,2
79,1,11,36
80,1,11,36
81,2,11,2
82,1,11,36
83,1,11,36
84,1,12,36
85,3,12,54
86,3,12,54
87,1,12,36
88,3,12,54
89,2,12,2
90,2,12,2
91,2,12,2
