region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,CO2SequestrationCost,EnergyRevenue,SubsidyRevenue,OperatingReserveRevenue,OperatingRegulationRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
NY_Z_B,NY_Z_B_natural_gas_fired_combined_cycle_1,3,1,18,0.0,0.0,0.0,2.2210958917746544e6,0.0,0.0,10.34343883870031,59.96824573469543,0.0,14.885315460386618,0.0,0.0,0.7134316916967047,0.0,0.0,0.0,20272.345385539975,0.0,2.2473609900226537e-13,0.0,0.7134316916967047,2.2211810887746885e6,-2.221180375342997e6
NY_Z_B,NY_Z_B_natural_gas_fired_combustion_turbine_1,3,1,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_Z_B,NY_Z_B_natural_gas_steam_turbine_1,3,1,20,0.0,0.0,0.0,6.938235010339002e6,0.0,0.0,0.4353911031932189,31.022238089807175,0.0,4.044472896962089,0.0,0.0,0.1045861312676956,0.0,0.0,0.0,20357.451308247284,0.0,1.1927697671023635e-13,0.0,0.1045861312676956,6.938270512441092e6,-6.938270407854961e6
NY_Z_B,NY_Z_B_nuclear_1,3,1,21,0.0,0.0,0.0,80.11227151557043,0.0,0.0,0.0,9.29985338759624,0.0,2.3196781511040814,0.0,0.0,0.3201776214301602,0.0,0.0,0.0,0.03505946811906321,6.041799097445039e-12,0.0,0.1798402953677557,0.3201776214301602,91.73180305427076,-91.4116254328406
NY_Z_C&E,NY_Z_C&E_natural_gas_fired_combined_cycle_1,4,1,22,0.0,0.0,0.0,2.741770919565508e7,0.0,0.0,338359.4623421522,2.106910542090119e6,0.0,1.8346383998498353e6,0.0,0.0,50007.91531780026,0.0,0.0,0.0,300970.2874708441,0.0,8.190551048096678e-9,0.0,50007.91531780026,3.1697617599937193e7,-3.1647609684619393e7
NY_Z_C&E,NY_Z_C&E_natural_gas_steam_turbine_1,4,1,23,0.0,0.0,0.0,6.166675533004389e6,0.0,0.0,1.919840019799187,64.48113435238473,0.0,6.834857503209627,0.0,0.0,0.5560824012544718,0.0,0.0,0.0,18093.62131865334,0.0,2.460771727575781e-13,0.0,0.5560824012544718,6.1667487688362645e6,-6.166748212753863e6
NY_Z_C&E,NY_Z_C&E_nuclear_1,4,1,24,0.0,0.0,0.0,7.318104287816062e8,0.0,0.0,0.0,1.6239536007433343e8,0.0,4.348422200045361,0.0,0.0,6.091163790802383e6,0.0,0.0,0.0,459574.41190633754,0.00010550275354179249,0.0,2.357423041901721e6,6.091163790802383e6,8.942057932043618e8,-8.881146294135594e8
NY_Z_D,NY_Z_D_natural_gas_fired_combined_cycle_1,5,1,25,0.0,0.0,0.0,5.221719978646555e6,0.0,0.0,11.581680329217182,70.63340746644373,0.0,11.079311576811374,0.0,0.0,0.8054996324021477,0.0,0.0,0.0,47659.58611049345,0.0,2.6325466802316864e-13,0.0,0.8054996324021477,5.221813273045927e6,-5.221812467546294e6
NY_Z_D,NY_Z_D_natural_gas_fired_combined_cycle_2,5,2,26,0.0,0.0,0.0,1.6970589842863875e6,0.0,0.0,12.291057393628012,67.47981438148668,0.0,16.911858380952754,0.0,0.0,0.8423832633676125,0.0,0.0,0.0,15489.36540583082,0.0,2.5292274666890037e-13,0.0,0.8423832633676125,1.6971556670165437e6,-1.6971548246332803e6
NY_Z_F,NY_Z_F_natural_gas_fired_combined_cycle_1,6,1,27,0.0,0.0,0.0,4.220058839771846e7,0.0,0.0,2.416633010655607e7,1.490401862490316e8,0.0,3.705373311808764e7,0.0,0.0,2.5111627448471705e6,0.0,0.0,0.0,595710.7862235244,0.0,5.585540219175818e-7,0.0,2.5111627448471705e6,2.5246083787139437e8,-2.499496751265472e8
NY_Z_F,NY_Z_F_natural_gas_fired_combined_cycle_2,6,2,28,0.0,0.0,0.0,5.469751697424918e6,0.0,0.0,12.302542320329039,70.19950090138204,0.0,16.509822763722376,0.0,0.0,0.8768962877802116,0.0,0.0,0.0,49923.41663139301,0.0,2.6287297971300747e-13,0.0,0.8768962877802116,5.469850709290904e6,-5.469849832394617e6
NY_Z_F,NY_Z_F_natural_gas_fired_combustion_turbine_1,6,1,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combined_cycle_1,7,1,30,0.0,0.0,0.0,8.261515481501207e6,0.0,0.0,1.6926852175277688e7,9.689004862417951e7,0.0,8.96721781678655e6,0.0,0.0,1.5936097037775654e6,0.0,0.0,0.0,127063.86106181961,0.0,3.5971464740162655e-7,0.0,1.5936097037775654e6,1.3104563409774533e8,-1.2945202439396776e8
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combined_cycle_2,7,2,31,0.0,0.0,0.0,404683.25722991576,0.0,0.0,4.283462895892857,38.84909546290151,0.0,6.787916015369951,0.0,0.0,0.29803990384126405,0.0,0.0,0.0,3693.6175482974177,0.0,1.4494873557511167e-13,0.0,0.29803990384126405,404733.1777042899,-404732.87966438604
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combustion_turbine_1,7,1,32,0.0,0.0,0.0,1.3214420959817504e6,0.0,0.0,2.0212785510847913,26.779029077327543,0.0,6.69266483830766,0.0,0.0,0.1233382706626171,0.0,0.0,0.0,14263.832207182715,0.0,1.0084841114228684e-13,0.0,0.1233382706626171,1.3214775889542173e6,-1.3214774656159466e6
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combustion_turbine_2,7,2,33,0.0,0.0,0.0,391071.11022127257,0.0,0.0,146210.95845021258,1.0316811766692136e6,0.0,7.521608680741136,0.0,0.0,14457.322814614068,0.0,0.0,0.0,4221.276675107468,0.0,3.8087741949991725e-9,0.0,14457.322814614068,1.5689707669493833e6,-1.5545134441347693e6
NY_Z_J,NY_Z_J_natural_gas_fired_combined_cycle_1,8,1,34,0.0,0.0,0.0,1.410983339579185e7,0.0,0.0,8.842352820550239e6,4.513205558077349e7,0.0,83804.790995928,0.0,0.0,678514.8272577018,0.0,0.0,0.0,128783.01067108513,0.0,1.6663785189402133e-7,0.0,678514.8272577018,6.816804658811167e7,-6.748953176085396e7
NY_Z_J,NY_Z_J_natural_gas_fired_combined_cycle_2,8,2,35,0.0,0.0,0.0,3.130190278425706e7,0.0,0.0,2.505640335837994e7,1.6929408059292063e8,0.0,4.566436005999224e6,0.0,0.0,2.5354883057762343e6,0.0,0.0,0.0,481429.906565605,0.0,6.260278154532643e-7,0.0,2.5354883057762343e6,2.3021882274155748e8,-2.2768333443578124e8
NY_Z_J,NY_Z_J_natural_gas_fired_combustion_turbine_1,8,1,36,0.0,0.0,0.0,8.372590950562584e6,0.0,0.0,3.1442468457090857,30.865391192627936,0.0,6.769520075577882,0.0,0.0,0.18139768968024494,0.0,0.0,0.0,128748.95816116649,0.0,1.1595728608724026e-13,0.0,0.18139768968024494,8.372631729720699e6,-8.372631548323009e6
NY_Z_J,NY_Z_J_natural_gas_fired_combustion_turbine_2,8,2,37,0.0,0.0,0.0,2.070827313392142e7,0.0,0.0,11.773199737624383,67.85405772399639,0.0,8.882651847996595,0.0,0.0,0.749962221474562,0.0,0.0,0.0,275914.93728312035,0.0,2.531392880209627e-13,0.0,0.749962221474562,2.0708361643830728e7,-2.0708360893868506e7
NY_Z_K,NY_Z_K_natural_gas_fired_combined_cycle_1,9,1,38,0.0,0.0,0.0,4.104644875210911e6,0.0,0.0,841780.9408370312,4.91895918672693e6,0.0,658098.5819121684,0.0,0.0,80659.24109470028,0.0,0.0,0.0,37463.83886594686,0.0,1.8307739808622382e-8,0.0,80659.24109470028,1.052348358468706e7,-1.0442824343592359e7
