Constraint,CapRes_1,CapRes_2,CapRes_3
t1,1.696739854924329e-11,2.1234264875211847e-11,2.985999615572491e-12
t2,1.5435188331638044e-11,1.819038530472073e-11,2.9206893293378763e-12
t3,1.5443589207703227e-11,1.6988442440148077e-11,2.9293075265594216e-12
t4,1.2942486440337366e-11,1.655145304307066e-11,2.916354624009287e-12
t5,1.3764424077801754e-11,1.914129374289162e-11,3.085840185374207e-12
t6,1.6005575276133736e-11,2.016358114063026e-11,3.755091346627569e-12
t7,2.1725482010755466e-11,2.139438616695708e-11,4.7001584919001755e-12
t8,2.6717054980136478e-11,2.4029501979308297e-11,6.00467688787698e-12
t9,3.8958473233174115e-11,3.379476398213561e-11,6.545156751632827e-12
t10,2.168807348723262e-11,3.073472962727645e-11,4.342275999954905e-12
t11,2.3374729287800177e-11,2.0530862190770282e-11,3.771921240822059e-12
t12,2.4100975701978678e-11,2.1973498500485167e-11,3.300052138718353e-12
t13,1.9374970052310537e-11,2.2466125881610997e-11,2.910528388161963e-12
t14,1.719740517743048e-11,2.111630294389168e-11,2.7281817304601917e-12
t15,1.7708925702026644e-11,1.9674006976975077e-11,2.6540199408084405e-12
t16,1.5777676256471868e-11,1.9525951772688114e-11,3.0271733593611806e-12
t17,2.5893900475466272e-11,3.340994888338815e-11,3.6136421906531345e-12
t18,6.173121185684103e-11,3.792203797708578e-11,1.0405550429087596e-11
t19,5.303805505282083e-11,4.387345668284454e-11,1.0522187282906132e-11
t20,4.25468814140004e-11,3.5229140800699154e-11,6.528306647013887e-12
t21,3.2562432074749924e-11,3.348410810930705e-11,5.735299414502623e-12
t22,3.053133680422919e-11,2.8804400047102957e-11,6.904923813861781e-12
t23,2.4583836267091965e-11,2.328867956686804e-11,3.6441560026594186e-12
t24,1.6905218451725664e-11,2.1325284630049363e-11,3.3711861732997837e-12
t25,2.0903646236963895e-11,1.6795521351396824e-11,2.772276421060493e-12
t26,1.5733684105795018e-11,1.6750054296936643e-11,2.6329175265123356e-12
t27,1.606295462525867e-11,1.69494464996837e-11,3.053483041789663e-12
t28,1.6250904670812002e-11,1.7295401977371996e-11,3.1838277001320012e-12
t29,1.83853401703739e-11,1.7485556699097394e-11,2.822159181553211e-12
t30,2.308699045741703e-11,1.8012551626964557e-11,3.069783326695264e-12
t31,2.5774905603189524e-11,2.0257185191228557e-11,4.307434402895993e-12
t32,2.4850235141644835e-11,2.523559536174179e-11,4.9998067487155675e-12
t33,2.6816084439062922e-11,2.580639302488818e-11,4.287545211228786e-12
t34,1.8551747508057493e-11,1.863547964227018e-11,2.566669587640733e-12
t35,1.6530074679870613e-11,1.9567639830140763e-11,2.3081616293493943e-12
t36,1.589400256888157e-11,1.96683979664128e-11,2.131370980548963e-12
t37,1.4940228366606953e-11,1.7614688570246837e-11,2.0238154539542105e-12
t38,1.3181418321338665e-11,1.886550171866036e-11,1.96689105102537e-12
t39,1.3381723602729544e-11,1.7051215404775406e-11,2.013450861445841e-12
