Zone,value,zone,planning_year,model,agg_zone,case,scenario,configuration,child_scenario
1.0,25748249.985059746,BASN,2027.0,GenX,WECC,20-week-foresight,base,foresight,none
2.0,17835854.276437145,CANO,2027.0,GenX,CA,20-week-foresight,base,foresight,none
3.0,16954052.67058689,CASO,2027.0,GenX,CA,20-week-foresight,base,foresight,none
4.0,73636187.35557632,FRCC,2027.0,GenX,SOU,20-week-foresight,base,foresight,none
5.0,25960313.030511875,ISNE,2027.0,GenX,NE,20-week-foresight,base,foresight,none
6.0,45240427.30649686,MISC,2027.0,GenX,MISO,20-week-foresight,base,foresight,none
7.0,38701615.16711041,MISE,2027.0,GenX,MISO,20-week-foresight,base,foresight,none
8.0,50802121.01704438,MISS,2027.0,GenX,MISO,20-week-foresight,base,foresight,none
9.0,40873648.772701435,MISW,2027.0,GenX,MISO,20-week-foresight,base,foresight,none
10.0,14180200.769777369,NWPP,2027.0,GenX,WECC,20-week-foresight,base,foresight,none
11.0,10733537.922211966,NYCW,2027.0,GenX,NE,20-week-foresight,base,foresight,none
12.0,15228340.161214732,NYUP,2027.0,GenX,NE,20-week-foresight,base,foresight,none
13.0,12530183.117705217,PJMC,2027.0,GenX,PJM,20-week-foresight,base,foresight,none
14.0,13062650.654072026,PJMD,2027.0,GenX,PJM,20-week-foresight,base,foresight,none
15.0,78508422.26490736,PJME,2027.0,GenX,PJM,20-week-foresight,base,foresight,none
16.0,114433266.76747954,PJMW,2027.0,GenX,PJM,20-week-foresight,base,foresight,none
17.0,14729602.799004989,RMRG,2027.0,GenX,WECC,20-week-foresight,base,foresight,none
18.0,20165958.84558089,SPPC,2027.0,GenX,SPP,20-week-foresight,base,foresight,none
19.0,12335615.892340625,SPPN,2027.0,GenX,SPP,20-week-foresight,base,foresight,none
20.0,14225519.622944975,SPPS,2027.0,GenX,SPP,20-week-foresight,base,foresight,none
21.0,38911135.12716284,SRCA,2027.0,GenX,SOU,20-week-foresight,base,foresight,none
22.0,35946206.72663498,SRCE,2027.0,GenX,MISO,20-week-foresight,base,foresight,none
23.0,40148671.08465502,SRSE,2027.0,GenX,SOU,20-week-foresight,base,foresight,none
24.0,35282002.5833081,SRSG,2027.0,GenX,WECC,20-week-foresight,base,foresight,none
25.0,60812782.5906444,TRE,2027.0,GenX,TRE,20-week-foresight,base,foresight,none
26.0,5961002.036982698,TREW,2027.0,GenX,TRE,20-week-foresight,base,foresight,none
1.0,2571149.5466781007,BASN,2030.0,GenX,WECC,20-week-foresight,base,foresight,none
2.0,6146498.197744881,CANO,2030.0,GenX,CA,20-week-foresight,base,foresight,none
3.0,6407134.489552965,CASO,2030.0,GenX,CA,20-week-foresight,base,foresight,none
4.0,13832429.739890518,FRCC,2030.0,GenX,SOU,20-week-foresight,base,foresight,none
5.0,7880955.501766334,ISNE,2030.0,GenX,NE,20-week-foresight,base,foresight,none
6.0,3475385.868962539,MISC,2030.0,GenX,MISO,20-week-foresight,base,foresight,none
