case,tech_type,planning_year,agg_zone,value,min,max
20-week-foresight,CCS,2045,CA,159036559.66666666,121432558.0,182485736.0
20-week-foresight,CCS,2045,MISO,345858529.3333333,326453083.0,371300524.0
20-week-foresight,CCS,2045,PJM,410250825.3333333,383472944.0,447866805.0
20-week-foresight,CCS,2045,SOU,349655955.0,322677299.0,374777545.0
20-week-foresight,CCS,2045,SPP,428221.5,8.0,856435.0
20-week-foresight,CCS,2045,TRE,105093293.33333333,88565157.0,131899209.0
20-week-foresight,CCS,2045,WECC,20824608.333333332,9466854.0,28928579.0
20-week-foresight,CCS,2050,CA,163054603.33333334,125494894.0,187319968.0
20-week-foresight,CCS,2050,MISO,382637470.6666667,364455375.0,416246127.0
20-week-foresight,CCS,2050,PJM,428375376.0,409737858.0,437813561.0
20-week-foresight,CCS,2050,SOU,364480252.6666667,340459468.0,378573205.0
20-week-foresight,CCS,2050,SPP,405438.5,9.0,810868.0
20-week-foresight,CCS,2050,TRE,119167403.33333333,92633202.0,157855422.0
20-week-foresight,CCS,2050,WECC,28741792.666666668,19138002.0,34210879.0
20-week-foresight,Coal,2027,CA,0.0,0.0,0.0
20-week-foresight,Coal,2027,MISO,113787756.33333333,81357326.0,158003385.0
20-week-foresight,Coal,2027,NE,2872211.0,2853187.0,2882880.0
20-week-foresight,Coal,2027,PJM,67231479.33333333,47142584.0,87275484.0
20-week-foresight,Coal,2027,SOU,32839266.0,16317595.0,55592523.0
20-week-foresight,Coal,2027,SPP,43206307.333333336,14684593.0,75752595.0
20-week-foresight,Coal,2027,TRE,13017211.666666666,0.0,30203636.0
20-week-foresight,Coal,2027,WECC,59651205.333333336,10128079.0,99547915.0
20-week-foresight,Coal,2030,CA,0.0,0.0,0.0
20-week-foresight,Coal,2030,MISO,82282.33333333333,0.0,227272.0
20-week-foresight,Coal,2030,NE,12692.666666666666,9900.0,15808.0
20-week-foresight,Coal,2030,PJM,4923.333333333333,0.0,14386.0
20-week-foresight,Coal,2030,SOU,4416.333333333333,0.0,12528.0
20-week-foresight,Coal,2030,SPP,5382.666666666667,0.0,12824.0
20-week-foresight,Coal,2030,TRE,1801.0,0.0,3602.0
20-week-foresight,Coal,2030,WECC,11944.5,0.0,23889.0
20-week-foresight,Coal,2035,CA,0.0,0.0,0.0
20-week-foresight,Coal,2035,MISO,28073.333333333332,5305.0,68578.0
20-week-foresight,Coal,2035,NE,0.0,0.0,0.0
20-week-foresight,Coal,2035,PJM,36903.666666666664,13134.0,75306.0
20-week-foresight,Coal,2035,SOU,14720.666666666666,1194.0,41249.0
20-week-foresight,Coal,2035,SPP,21206.0,0.0,42412.0
20-week-foresight,Coal,2035,TRE,6054.5,0.0,12109.0
20-week-foresight,Coal,2035,WECC,45814.0,0.0,91628.0
20-week-foresight,Coal,2040,CA,0.0,0.0,0.0
20-week-foresight,Coal,2040,MISO,88174.0,36889.0,135187.0
20-week-foresight,Coal,2040,NE,0.0,0.0,0.0
20-week-foresight,Coal,2040,PJM,20618.0,7955.0,31472.0
20-week-foresight,Coal,2040,SOU,12320.0,2779.0,21861.0
20-week-foresight,Coal,2040,SPP,16881.333333333332,0.0,34305.0
20-week-foresight,Coal,2040,TRE,3445.0,0.0,6890.0
20-week-foresight,Coal,2040,WECC,71746.0,19577.0,119961.0
20-week-foresight,Coal,2045,CA,0.0,0.0,0.0
20-week-foresight,Coal,2045,MISO,188453.66666666666,102544.0,352792.0
20-week-foresight,Coal,2045,NE,0.0,0.0,0.0
20-week-foresight,Coal,2045,PJM,34198.333333333336,28902.0,44151.0
20-week-foresight,Coal,2045,SOU,2351.6666666666665,353.0,5504.0
20-week-foresight,Coal,2045,SPP,67865.33333333333,9480.0,139379.0
20-week-foresight,Coal,2045,TRE,22210.666666666668,0.0,66157.0
20-week-foresight,Coal,2045,WECC,116437.33333333333,88151.0,158793.0
20-week-foresight,Coal,2050,CA,0.0,0.0,0.0
20-week-foresight,Coal,2050,MISO,191326.66666666666,68146.0,340895.0
20-week-foresight,Coal,2050,NE,0.0,0.0,0.0
20-week-foresight,Coal,2050,PJM,77957.0,22831.0,146710.0
20-week-foresight,Coal,2050,SOU,52735.333333333336,15128.0,104240.0
20-week-foresight,Coal,2050,SPP,73808.33333333333,15871.0,128706.0
20-week-foresight,Coal,2050,TRE,46511.333333333336,0.0,92648.0
20-week-foresight,Coal,2050,WECC,72953.66666666667,38028.0,122493.0
20-week-foresight,Distributed Solar,2027,CA,27507318.666666668,25688201.0,31140412.0
20-week-foresight,Distributed Solar,2027,MISO,11546413.666666666,8845460.0,16849973.0
20-week-foresight,Distributed Solar,2027,NE,10997786.333333334,10001424.0,12983127.0
20-week-foresight,Distributed Solar,2027,PJM,20504742.333333332,16833530.0,27836501.0
20-week-foresight,Distributed Solar,2027,SOU,13749363.333333334,10794521.0,19649159.0
20-week-foresight,Distributed Solar,2027,SPP,3080471.3333333335,2335757.0,4455613.0
20-week-foresight,Distributed Solar,2027,TRE,8378559.333333333,6275547.0,12357417.0
20-week-foresight,Distributed Solar,2027,WECC,13359597.0,11626720.0,16717261.0
20-week-foresight,Distributed Solar,2030,CA,33378804.0,31563973.0,36815413.0
20-week-foresight,Distributed Solar,2030,MISO,20134336.666666668,16287165.0,27208010.0
20-week-foresight,Distributed Solar,2030,NE,13391312.0,12502441.0,15069327.0
20-week-foresight,Distributed Solar,2030,PJM,29781318.666666668,27234051.0,34817639.0
20-week-foresight,Distributed Solar,2030,SOU,22488796.333333332,19847671.0,27726703.0
20-week-foresight,Distributed Solar,2030,SPP,5115853.0,4060916.0,6677388.0
20-week-foresight,Distributed Solar,2030,TRE,13882621.0,11724285.0,17358149.0
20-week-foresight,Distributed Solar,2030,WECC,17758912.666666668,15760203.0,20716758.0
20-week-foresight,Distributed Solar,2035,CA,37939319.666666664,37362379.0,38686392.0
20-week-foresight,Distributed Solar,2035,MISO,27910819.666666668,26015065.0,30340166.0
20-week-foresight,Distributed Solar,2035,NE,15077594.0,14852608.0,15322804.0
20-week-foresight,Distributed Solar,2035,PJM,34423523.333333336,33138859.0,36744450.0
20-week-foresight,Distributed Solar,2035,SOU,26238270.0,24819685.0,28652117.0
20-week-foresight,Distributed Solar,2035,SPP,7204377.666666667,6184164.0,8108536.0
20-week-foresight,Distributed Solar,2035,TRE,17272803.666666668,16485481.0,17732875.0
20-week-foresight,Distributed Solar,2035,WECC,20900947.666666668,19966786.0,21778857.0
20-week-foresight,Distributed Solar,2040,CA,38402185.666666664,38183995.0,38775677.0
20-week-foresight,Distributed Solar,2040,MISO,31140709.0,29362164.0,33328449.0
20-week-foresight,Distributed Solar,2040,NE,15540116.666666666,15083459.0,16226250.0
20-week-foresight,Distributed Solar,2040,PJM,36496257.666666664,34942028.0,39302066.0
20-week-foresight,Distributed Solar,2040,SOU,28744102.333333332,27609217.0,30360149.0
20-week-foresight,Distributed Solar,2040,SPP,8891101.333333334,7767092.0,9786167.0
20-week-foresight,Distributed Solar,2040,TRE,17772435.333333332,17120038.0,18482266.0
20-week-foresight,Distributed Solar,2040,WECC,20891486.333333332,20013569.0,22099208.0
20-week-foresight,Distributed Solar,2045,CA,35796983.333333336,35019758.0,36955019.0
20-week-foresight,Distributed Solar,2045,MISO,35532583.333333336,33638368.0,38448593.0
20-week-foresight,Distributed Solar,2045,NE,16483629.333333334,16092582.0,17110443.0
20-week-foresight,Distributed Solar,2045,PJM,38001760.0,36662583.0,40504259.0
20-week-foresight,Distributed Solar,2045,SOU,30507002.0,29058914.0,32975807.0
20-week-foresight,Distributed Solar,2045,SPP,10298351.0,9223853.0,11177397.0
20-week-foresight,Distributed Solar,2045,TRE,19479616.333333332,18323937.0,20721715.0
20-week-foresight,Distributed Solar,2045,WECC,21038235.666666668,20289325.0,21914671.0
20-week-foresight,Distributed Solar,2050,CA,36687357.333333336,36365176.0,37236099.0
20-week-foresight,Distributed Solar,2050,MISO,38307759.333333336,37889997.0,38922714.0
20-week-foresight,Distributed Solar,2050,NE,16805359.333333332,16420040.0,17146754.0
20-week-foresight,Distributed Solar,2050,PJM,39091983.0,38352896.0,40245903.0
20-week-foresight,Distributed Solar,2050,SOU,32676222.333333332,32002707.0,33243082.0
20-week-foresight,Distributed Solar,2050,SPP,11389564.0,10907356.0,12350908.0
20-week-foresight,Distributed Solar,2050,TRE,20171562.333333332,19360839.0,21214805.0
20-week-foresight,Distributed Solar,2050,WECC,21364559.333333332,20567772.0,22611780.0
20-week-foresight,Geothermal,2027,CA,205630.33333333334,200488.0,209664.0
20-week-foresight,Geothermal,2027,WECC,5680979.666666667,5654773.0,5695872.0
20-week-foresight,Geothermal,2030,CA,192646.33333333334,170773.0,209664.0
20-week-foresight,Geothermal,2030,WECC,4971753.0,4618131.0,5215392.0
20-week-foresight,Geothermal,2035,CA,181321.0,144638.0,209664.0
20-week-foresight,Geothermal,2035,WECC,4581943.0,4147168.0,4953312.0
20-week-foresight,Geothermal,2040,CA,180555.33333333334,153168.0,209664.0
20-week-foresight,Geothermal,2040,WECC,2928886.6666666665,2604045.0,3267264.0
20-week-foresight,Geothermal,2045,CA,188936.0,174238.0,209664.0
20-week-foresight,Geothermal,2045,WECC,1606796.6666666667,1404955.0,1729387.0
20-week-foresight,Geothermal,2050,CA,187542.0,173926.0,209664.0
20-week-foresight,Geothermal,2050,WECC,634343.0,531869.0,707224.0
20-week-foresight,Hydro,2027,CA,25222569.333333332,24967333.0,25648862.0
20-week-foresight,Hydro,2027,MISO,24135872.0,23886514.0,24324599.0
20-week-foresight,Hydro,2027,NE,27906736.333333332,27721305.0,28069310.0
20-week-foresight,Hydro,2027,PJM,11492382.0,10522836.0,13267910.0
20-week-foresight,Hydro,2027,SOU,8565757.333333334,7836198.0,9804029.0
20-week-foresight,Hydro,2027,SPP,14042855.0,13849826.0,14238362.0
20-week-foresight,Hydro,2027,TRE,520001.3333333333,493900.0,551106.0
20-week-foresight,Hydro,2027,WECC,171893296.66666666,170084513.0,172960331.0
20-week-foresight,Hydro,2030,CA,28566287.666666668,28063480.0,29296625.0
20-week-foresight,Hydro,2030,MISO,28562567.333333332,27771672.0,29188827.0
20-week-foresight,Hydro,2030,NE,29675565.0,29379234.0,30137009.0
20-week-foresight,Hydro,2030,PJM,15084181.333333334,13532030.0,16124623.0
20-week-foresight,Hydro,2030,SOU,14371367.333333334,13230624.0,15261516.0
20-week-foresight,Hydro,2030,SPP,13857482.0,13681577.0,14159141.0
20-week-foresight,Hydro,2030,TRE,491191.3333333333,484437.0,502194.0
20-week-foresight,Hydro,2030,WECC,168012344.33333334,167279550.0,169125980.0
20-week-foresight,Hydro,2035,CA,31660860.666666668,30629620.0,32922125.0
20-week-foresight,Hydro,2035,MISO,29322843.0,27928726.0,30283363.0
20-week-foresight,Hydro,2035,NE,31632681.333333332,30775356.0,32156499.0
20-week-foresight,Hydro,2035,PJM,17757646.666666668,16194261.0,18548037.0
20-week-foresight,Hydro,2035,SOU,16753968.666666666,15020442.0,18021018.0
20-week-foresight,Hydro,2035,SPP,13638980.666666666,12975675.0,14224236.0
20-week-foresight,Hydro,2035,TRE,412090.3333333333,363277.0,457245.0
20-week-foresight,Hydro,2035,WECC,171643186.66666666,168666378.0,173167462.0
20-week-foresight,Hydro,2040,CA,33185697.333333332,32931589.0,33646733.0
20-week-foresight,Hydro,2040,MISO,27991521.333333332,26600295.0,28723981.0
20-week-foresight,Hydro,2040,NE,31584696.666666668,29828282.0,32506910.0
20-week-foresight,Hydro,2040,PJM,18040842.666666668,16189407.0,19165535.0
20-week-foresight,Hydro,2040,SOU,17948149.666666668,16428406.0,18869571.0
20-week-foresight,Hydro,2040,SPP,13482113.333333334,13080630.0,13904270.0
20-week-foresight,Hydro,2040,TRE,311094.3333333333,259238.0,386329.0
20-week-foresight,Hydro,2040,WECC,166634729.33333334,163662515.0,168290322.0
20-week-foresight,Hydro,2045,CA,31766471.666666668,31437878.0,32113592.0
20-week-foresight,Hydro,2045,MISO,23955315.0,23074940.0,24489909.0
20-week-foresight,Hydro,2045,NE,31482006.333333332,30050655.0,32304943.0
20-week-foresight,Hydro,2045,PJM,17676484.333333332,16149099.0,18444906.0
20-week-foresight,Hydro,2045,SOU,17329541.666666668,16275126.0,18063174.0
20-week-foresight,Hydro,2045,SPP,13060484.333333334,12908849.0,13335748.0
20-week-foresight,Hydro,2045,TRE,203134.0,186314.0,224451.0
20-week-foresight,Hydro,2045,WECC,158491146.0,155352188.0,160376282.0
20-week-foresight,Hydro,2050,CA,29153393.0,28884380.0,29392600.0
20-week-foresight,Hydro,2050,MISO,21529782.333333332,20706472.0,22468233.0
20-week-foresight,Hydro,2050,NE,31225046.0,29913112.0,32006761.0
20-week-foresight,Hydro,2050,PJM,17974696.666666668,16669104.0,18985472.0
20-week-foresight,Hydro,2050,SOU,17330378.333333332,16657131.0,17904305.0
20-week-foresight,Hydro,2050,SPP,12859768.666666666,12646780.0,13134739.0
20-week-foresight,Hydro,2050,TRE,170677.33333333334,157348.0,188000.0
20-week-foresight,Hydro,2050,WECC,150839865.0,146326813.0,153200897.0
20-week-foresight,Hydrogen,2027,CA,1315.5,0.0,2631.0
20-week-foresight,Hydrogen,2027,MISO,3282.0,0.0,6564.0
20-week-foresight,Hydrogen,2027,NE,2150.5,0.0,4301.0
20-week-foresight,Hydrogen,2027,PJM,2538.0,0.0,5076.0
20-week-foresight,Hydrogen,2027,SOU,1991.5,0.0,3983.0
20-week-foresight,Hydrogen,2027,SPP,1910.5,0.0,3821.0
20-week-foresight,Hydrogen,2027,TRE,1241.5,0.0,2483.0
20-week-foresight,Hydrogen,2027,WECC,2694.5,0.0,5389.0
20-week-foresight,Hydrogen,2030,CA,1692.0,0.0,3384.0
20-week-foresight,Hydrogen,2030,MISO,4033.5,0.0,8067.0
20-week-foresight,Hydrogen,2030,NE,3177.0,0.0,6354.0
20-week-foresight,Hydrogen,2030,PJM,3443.0,0.0,6886.0
20-week-foresight,Hydrogen,2030,SOU,2547.0,0.0,5094.0
20-week-foresight,Hydrogen,2030,SPP,2328.5,0.0,4657.0
20-week-foresight,Hydrogen,2030,TRE,1529.5,0.0,3059.0
20-week-foresight,Hydrogen,2030,WECC,3223.5,0.0,6447.0
20-week-foresight,Hydrogen,2035,CA,12855.5,0.0,25711.0
20-week-foresight,Hydrogen,2035,MISO,32145.5,0.0,64291.0
20-week-foresight,Hydrogen,2035,NE,18899.0,0.0,37798.0
20-week-foresight,Hydrogen,2035,PJM,26069.5,0.0,52139.0
20-week-foresight,Hydrogen,2035,SOU,19584.0,0.0,39168.0
20-week-foresight,Hydrogen,2035,SPP,18895.0,0.0,37790.0
20-week-foresight,Hydrogen,2035,TRE,12297.5,0.0,24595.0
20-week-foresight,Hydrogen,2035,WECC,25994.5,0.0,51989.0
20-week-foresight,Hydrogen,2040,CA,11697.5,0.0,23395.0
20-week-foresight,Hydrogen,2040,MISO,31088.5,0.0,62177.0
20-week-foresight,Hydrogen,2040,NE,30791.0,0.0,61582.0
20-week-foresight,Hydrogen,2040,PJM,24911.5,0.0,49823.0
20-week-foresight,Hydrogen,2040,SOU,21256.0,0.0,42512.0
20-week-foresight,Hydrogen,2040,SPP,18931.5,0.0,37863.0
20-week-foresight,Hydrogen,2040,TRE,12242.5,0.0,24485.0
20-week-foresight,Hydrogen,2040,WECC,28354.5,0.0,56709.0
20-week-foresight,Hydrogen,2045,CA,10172.0,0.0,20344.0
20-week-foresight,Hydrogen,2045,MISO,26175.0,0.0,52350.0
20-week-foresight,Hydrogen,2045,NE,28045.5,0.0,56091.0
20-week-foresight,Hydrogen,2045,PJM,19694.0,0.0,39388.0
20-week-foresight,Hydrogen,2045,SOU,18130.0,0.0,36260.0
20-week-foresight,Hydrogen,2045,SPP,15948.0,0.0,31896.0
20-week-foresight,Hydrogen,2045,TRE,10311.5,0.0,20623.0
20-week-foresight,Hydrogen,2045,WECC,25349.5,0.0,50699.0
20-week-foresight,Hydrogen,2050,CA,9498.5,0.0,18997.0
20-week-foresight,Hydrogen,2050,MISO,24091.5,0.0,48183.0
20-week-foresight,Hydrogen,2050,NE,28209.0,0.0,56418.0
20-week-foresight,Hydrogen,2050,PJM,17861.5,0.0,35723.0
20-week-foresight,Hydrogen,2050,SOU,17618.0,0.0,35236.0
20-week-foresight,Hydrogen,2050,SPP,14573.5,0.0,29147.0
20-week-foresight,Hydrogen,2050,TRE,10231.5,0.0,20463.0
20-week-foresight,Hydrogen,2050,WECC,23899.0,0.0,47798.0
20-week-foresight,Natural Gas CC,2027,CA,90342584.33333333,77996567.0,103850396.0
20-week-foresight,Natural Gas CC,2027,MISO,312576364.3333333,276320094.0,361578726.0
20-week-foresight,Natural Gas CC,2027,NE,124365124.66666667,114321970.0,134038489.0
20-week-foresight,Natural Gas CC,2027,PJM,421228077.3333333,409507490.0,443913729.0
20-week-foresight,Natural Gas CC,2027,SOU,351616018.6666667,321488074.0,400109631.0
20-week-foresight,Natural Gas CC,2027,SPP,43830747.0,33342995.0,51696374.0
20-week-foresight,Natural Gas CC,2027,TRE,143039706.0,123795528.0,155476094.0
20-week-foresight,Natural Gas CC,2027,WECC,79893239.0,42947129.0,132318371.0
20-week-foresight,Natural Gas CC,2030,CA,32474923.0,25346271.0,43344478.0
20-week-foresight,Natural Gas CC,2030,MISO,107030957.0,79290287.0,162021887.0
20-week-foresight,Natural Gas CC,2030,NE,51453104.333333336,43371934.0,59525664.0
20-week-foresight,Natural Gas CC,2030,PJM,176747756.33333334,140802732.0,240074491.0
20-week-foresight,Natural Gas CC,2030,SOU,106877132.33333333,62531294.0,173026816.0
20-week-foresight,Natural Gas CC,2030,SPP,18685847.666666668,13428494.0,28789934.0
20-week-foresight,Natural Gas CC,2030,TRE,56604886.333333336,41680659.0,82918505.0
20-week-foresight,Natural Gas CC,2030,WECC,31228064.333333332,21061262.0,47108118.0
20-week-foresight,Natural Gas CC,2035,CA,19421101.0,15032692.0,24280189.0
20-week-foresight,Natural Gas CC,2035,MISO,71500110.66666667,46796507.0,119797467.0
20-week-foresight,Natural Gas CC,2035,NE,46451146.333333336,40230859.0,57076790.0
20-week-foresight,Natural Gas CC,2035,PJM,112903517.33333333,92069409.0,146014498.0
20-week-foresight,Natural Gas CC,2035,SOU,64195561.666666664,38661937.0,100291251.0
20-week-foresight,Natural Gas CC,2035,SPP,13665058.333333334,8441719.0,22945275.0
20-week-foresight,Natural Gas CC,2035,TRE,34072764.0,15742222.0,67187518.0
20-week-foresight,Natural Gas CC,2035,WECC,23556841.666666668,16484190.0,33280473.0
20-week-foresight,Natural Gas CC,2040,CA,16805362.0,13915826.0,19529653.0
20-week-foresight,Natural Gas CC,2040,MISO,55253334.0,32747098.0,86921523.0
20-week-foresight,Natural Gas CC,2040,NE,43280310.333333336,33090103.0,53924006.0
20-week-foresight,Natural Gas CC,2040,PJM,84744492.66666667,61360032.0,108109151.0
20-week-foresight,Natural Gas CC,2040,SOU,51776189.0,34601513.0,75128185.0
20-week-foresight,Natural Gas CC,2040,SPP,11351836.0,6272851.0,18762237.0
20-week-foresight,Natural Gas CC,2040,TRE,27412709.333333332,13149257.0,49676500.0
20-week-foresight,Natural Gas CC,2040,WECC,26080100.333333332,18511202.0,33431829.0
20-week-foresight,Natural Gas CC,2045,CA,16195106.666666666,12848445.0,18234638.0
20-week-foresight,Natural Gas CC,2045,MISO,49617944.666666664,34095923.0,71030771.0
20-week-foresight,Natural Gas CC,2045,NE,43814990.0,35990386.0,52057233.0
20-week-foresight,Natural Gas CC,2045,PJM,78594353.0,59110885.0,98975847.0
20-week-foresight,Natural Gas CC,2045,SOU,52604582.333333336,36799889.0,72619126.0
20-week-foresight,Natural Gas CC,2045,SPP,10391644.666666666,6360524.0,16479344.0
20-week-foresight,Natural Gas CC,2045,TRE,26464670.0,14472259.0,45271060.0
20-week-foresight,Natural Gas CC,2045,WECC,25036340.0,19464366.0,30864031.0
20-week-foresight,Natural Gas CC,2050,CA,13648627.333333334,11277084.0,15895530.0
20-week-foresight,Natural Gas CC,2050,MISO,40679528.333333336,30799831.0,53419364.0
20-week-foresight,Natural Gas CC,2050,NE,40672416.666666664,35545736.0,47531753.0
20-week-foresight,Natural Gas CC,2050,PJM,63609927.333333336,48520511.0,79627726.0
20-week-foresight,Natural Gas CC,2050,SOU,45549291.666666664,34856242.0,65791524.0
20-week-foresight,Natural Gas CC,2050,SPP,8281355.0,5202190.0,12343613.0
20-week-foresight,Natural Gas CC,2050,TRE,21621849.666666668,13918634.0,32703816.0
20-week-foresight,Natural Gas CC,2050,WECC,20079974.666666668,15696358.0,26043707.0
20-week-foresight,Natural Gas CT,2027,CA,57871.5,0.0,115743.0
20-week-foresight,Natural Gas CT,2027,MISO,1828253.3333333333,825028.0,2368040.0
20-week-foresight,Natural Gas CT,2027,NE,2471052.0,1553059.0,4029035.0
20-week-foresight,Natural Gas CT,2027,PJM,1128505.0,528078.0,1526616.0
20-week-foresight,Natural Gas CT,2027,SOU,40125.0,0.0,115236.0
20-week-foresight,Natural Gas CT,2027,SPP,51756.0,0.0,129398.0
20-week-foresight,Natural Gas CT,2027,TRE,108615.33333333333,0.0,169937.0
20-week-foresight,Natural Gas CT,2027,WECC,71027.5,0.0,142055.0
20-week-foresight,Natural Gas CT,2030,CA,9915.0,0.0,19830.0
20-week-foresight,Natural Gas CT,2030,MISO,2501988.3333333335,32655.0,7403069.0
20-week-foresight,Natural Gas CT,2030,NE,978464.3333333334,400597.0,1855917.0
20-week-foresight,Natural Gas CT,2030,PJM,1297567.6666666667,4194.0,3752314.0
20-week-foresight,Natural Gas CT,2030,SOU,83482.0,14330.0,193000.0
20-week-foresight,Natural Gas CT,2030,SPP,291789.6666666667,0.0,845014.0
20-week-foresight,Natural Gas CT,2030,TRE,1010271.6666666666,0.0,3013320.0
20-week-foresight,Natural Gas CT,2030,WECC,16450.0,0.0,32900.0
20-week-foresight,Natural Gas CT,2035,CA,99787.0,0.0,153655.0
20-week-foresight,Natural Gas CT,2035,MISO,788866.3333333334,245696.0,1435011.0
20-week-foresight,Natural Gas CT,2035,NE,701842.6666666666,544872.0,811537.0
20-week-foresight,Natural Gas CT,2035,PJM,1056037.3333333333,303752.0,1546538.0
