model,line,line_name,planning_year,case,unit,value,end_value,start_region,dest_region,km,cap
GenX,43.0,RMRG_to_SPPC,2023,20-week-foresight,MW,210.0,1372411.0,RMRG,SPPC,936.6269837220768,1465.27
GenX,44.0,RMRG_to_SPPN,2023,20-week-foresight,MW,410.0,1939829.0,RMRG,SPPN,780.5713741841813,2485.14
GenX,45.0,RMRG_to_SRSG,2023,20-week-foresight,MW,614.0,967115.0,RMRG,SRSG,1451.9389962866967,666.085
GenX,46.0,SPPC_to_SPPN,2023,20-week-foresight,MW,1433.0,836532.0,SPPC,SPPN,261.19343417595013,3202.73
GenX,47.0,SPPC_to_SPPS,2023,20-week-foresight,MW,3372.0,1537138.0,SPPC,SPPS,455.0277413171593,3378.12
GenX,48.0,SPPN_to_SPPS,2023,20-week-foresight,MW,0.0,648288.0,SPPN,SPPS,679.4249275747745,954.171
GenX,49.0,SPPS_to_SRSG,2023,20-week-foresight,MW,1010.0,1781402.0,SPPS,SRSG,1530.6511537017682,1163.82
GenX,50.0,SPPS_to_TRE,2023,20-week-foresight,MW,600.0,1898023.0,SPPS,TRE,501.3042951289656,3786.17
GenX,51.0,SPPS_to_TREW,2023,20-week-foresight,MW,220.0,2402696.0,SPPS,TREW,594.5912331781975,4040.92
GenX,52.0,SRCA_to_SRCE,2023,20-week-foresight,MW,216.0,229137.0,SRCA,SRCE,1047.313910703395,218.785
GenX,53.0,SRCA_to_SRSE,2023,20-week-foresight,MW,1400.0,1051827.0,SRCA,SRSE,750.9564568673488,1400.65
GenX,54.0,SRCE_to_SRSE,2023,20-week-foresight,MW,3196.0,2586189.0,SRCE,SRSE,808.9930595294763,3196.8
GenX,55.0,TRE_to_TREW,2023,20-week-foresight,MW,16529.0,11487426.0,TRE,TREW,694.9819646586291,16529.1
GenX,56.0,NWPP_to_SPPN,2023,20-week-foresight,MW,0.0,203284.0,NWPP,SPPN,2877.9361274282305,70.6354
GenX,57.0,SRSG_to_TRE,2023,20-week-foresight,MW,0.0,365533.0,SRSG,TRE,1692.23667175099,216.006
GenX,1.0,BASN_to_CANO,2027,20-week-foresight,MW,1791.0,,BASN,CANO,1613.3847128003597,1.11005
GenX,2.0,BASN_to_CASO,2027,20-week-foresight,MW,61.0,,BASN,CASO,1052.8154002870249,0.0581046
GenX,3.0,BASN_to_NWPP,2027,20-week-foresight,MW,458.0,,BASN,NWPP,2143.6820330805017,0.213535
GenX,4.0,BASN_to_RMRG,2027,20-week-foresight,MW,2577.0,,BASN,RMRG,1478.968739910536,1.7427
GenX,5.0,BASN_to_SRSG,2027,20-week-foresight,MW,6.0,,BASN,SRSG,1196.8856954277987,0.00540948
GenX,6.0,CANO_to_CASO,2027,20-week-foresight,MW,2304.0,,CANO,CASO,678.496525078502,3.39515
GenX,7.0,CANO_to_NWPP,2027,20-week-foresight,MW,32.0,,CANO,NWPP,1302.6110658309303,0.0244201
GenX,8.0,CASO_to_NWPP,2027,20-week-foresight,MW,377.0,,CASO,NWPP,1859.1210098249192,0.202637
