case,planning_year,tech_type,agg_zone,end_value
20-week-foresight,2030,Coal,CA,0.0
20-week-foresight,2030,Coal,MISO,47465.0
20-week-foresight,2030,Coal,NE,330.0
20-week-foresight,2030,Coal,PJM,28436.0
20-week-foresight,2030,Coal,SOU,26869.3
20-week-foresight,2030,Coal,SPP,18876.3
20-week-foresight,2030,Coal,TRE,10731.0
20-week-foresight,2030,Coal,WECC,16455.7
20-week-foresight,2030,Distributed Solar,CA,13595.0
20-week-foresight,2030,Distributed Solar,MISO,9888.3
20-week-foresight,2030,Distributed Solar,NE,7437.7
20-week-foresight,2030,Distributed Solar,PJM,15903.0
20-week-foresight,2030,Distributed Solar,SOU,9721.7
20-week-foresight,2030,Distributed Solar,SPP,2341.0
20-week-foresight,2030,Distributed Solar,TRE,5818.7
20-week-foresight,2030,Distributed Solar,WECC,7745.3
20-week-foresight,2030,Geothermal,CA,24.0
20-week-foresight,2030,Geothermal,MISO,
20-week-foresight,2030,Geothermal,NE,
20-week-foresight,2030,Geothermal,PJM,
20-week-foresight,2030,Geothermal,SOU,
20-week-foresight,2030,Geothermal,SPP,
20-week-foresight,2030,Geothermal,TRE,
20-week-foresight,2030,Geothermal,WECC,596.7
20-week-foresight,2030,Hydro,CA,12169.0
20-week-foresight,2030,Hydro,MISO,10377.7
20-week-foresight,2030,Hydro,NE,7877.0
20-week-foresight,2030,Hydro,PJM,7735.3
20-week-foresight,2030,Hydro,SOU,9496.0
20-week-foresight,2030,Hydro,SPP,5152.0
20-week-foresight,2030,Hydro,TRE,499.0
20-week-foresight,2030,Hydro,WECC,39400.7
20-week-foresight,2030,Hydrogen,CA,8.5
20-week-foresight,2030,Hydrogen,MISO,23.5
20-week-foresight,2030,Hydrogen,NE,18.0
20-week-foresight,2030,Hydrogen,PJM,18.0
20-week-foresight,2030,Hydrogen,SOU,15.0
20-week-foresight,2030,Hydrogen,SPP,15.0
20-week-foresight,2030,Hydrogen,TRE,10.0
20-week-foresight,2030,Hydrogen,WECC,20.0
20-week-foresight,2030,Natural Gas CC,CA,21026.0
20-week-foresight,2030,Natural Gas CC,MISO,57748.3
20-week-foresight,2030,Natural Gas CC,NE,27937.0
20-week-foresight,2030,Natural Gas CC,PJM,59245.0
20-week-foresight,2030,Natural Gas CC,SOU,63396.7
20-week-foresight,2030,Natural Gas CC,SPP,11510.7
20-week-foresight,2030,Natural Gas CC,TRE,41551.7
20-week-foresight,2030,Natural Gas CC,WECC,30816.3
20-week-foresight,2030,Natural Gas CT,CA,13232.0
20-week-foresight,2030,Natural Gas CT,MISO,35562.7
20-week-foresight,2030,Natural Gas CT,NE,4050.0
20-week-foresight,2030,Natural Gas CT,PJM,31692.7
20-week-foresight,2030,Natural Gas CT,SOU,31968.0
20-week-foresight,2030,Natural Gas CT,SPP,11112.7
20-week-foresight,2030,Natural Gas CT,TRE,12727.3
20-week-foresight,2030,Natural Gas CT,WECC,10124.3
20-week-foresight,2030,Nuclear,CA,3.0
20-week-foresight,2030,Nuclear,MISO,20324.0
20-week-foresight,2030,Nuclear,NE,6717.0
20-week-foresight,2030,Nuclear,PJM,33765.7
20-week-foresight,2030,Nuclear,SOU,23928.0
20-week-foresight,2030,Nuclear,SPP,2028.0
20-week-foresight,2030,Nuclear,TRE,5122.0
20-week-foresight,2030,Nuclear,WECC,5179.3
20-week-foresight,2030,Solar,CA,33432.0
20-week-foresight,2030,Solar,MISO,46780.7
20-week-foresight,2030,Solar,NE,9294.7
20-week-foresight,2030,Solar,PJM,55985.7
20-week-foresight,2030,Solar,SOU,58299.7
20-week-foresight,2030,Solar,SPP,6388.0
20-week-foresight,2030,Solar,TRE,22679.0
20-week-foresight,2030,Solar,WECC,26528.7
20-week-foresight,2030,Wind,CA,6686.0
20-week-foresight,2030,Wind,MISO,125830.7
20-week-foresight,2030,Wind,NE,33373.7
20-week-foresight,2030,Wind,PJM,42496.7
20-week-foresight,2030,Wind,SOU,25697.3
20-week-foresight,2030,Wind,SPP,105527.7
20-week-foresight,2030,Wind,TRE,96361.3
20-week-foresight,2030,Wind,WECC,108548.0
20-week-foresight,2035,Battery,CA,11152.7
20-week-foresight,2035,Battery,MISO,328.0
