Zone,1,2,3,4,5,6,7,8,9,10,11
t1,-2.8410157392047057e-12,-3.1947399036630144e-11,-4.217211445701709e-11,-2.132299740167992e-11,-1.8622242750947343e-10,-3.4435616665362515e-11,-1.943648194502686e-11,-5.076829079327654e-12,-1.6407950257652858e-11,-2.249250870183441e-12,-5.621459334885521e-13
t2,-3.099278806437695e-12,-3.39239209385095e-11,-4.479244807302396e-11,-2.2623156724297676e-11,-1.9838316191181598e-10,-3.6547719966303636e-11,-2.0649365039185733e-11,-5.380922075016439e-12,-1.7449483050301846e-11,-2.3926694482360315e-12,-5.968120877720271e-13
t3,-3.2857307902097944e-12,-3.536843010054264e-11,-4.670189042269537e-11,-2.3595531454541692e-11,-2.0585182737138692e-10,-3.8123852092434616e-11,-2.152341548535062e-11,-5.605595141908294e-12,-1.8188700117581627e-11,-2.484660769938663e-12,-6.234168760734462e-13
t4,-3.4162246421916965e-12,-3.620957406160418e-11,-4.784427498626951e-11,-2.4156357160876617e-11,-2.1224462750367836e-10,-3.904749199192128e-11,-2.2077311967152007e-11,-5.744200338519392e-12,-1.8658123650406383e-11,-2.5471744430826517e-12,-6.404271848682001e-13
t5,-3.4830264101319034e-12,-3.659649346175584e-11,-4.835133276062324e-11,-2.4414373749219758e-11,-2.13906438121631e-10,-3.944101628092983e-11,-2.2292473423467024e-11,-5.8032939516675536e-12,-1.8850152206359858e-11,-2.573042714466808e-12,-6.504269380348429e-13
t6,-3.4893565909783042e-12,-3.698470579600218e-11,-4.8814357552542586e-11,-2.471242533556262e-11,-2.15505838527071e-10,-3.980754884933109e-11,-2.256352873249932e-11,-5.881070616774963e-12,-1.9079593488231283e-11,-2.5862907965454372e-12,-6.498427009238512e-13
t7,-3.495362790707485e-12,-3.65501733119772e-11,-4.826842937795816e-11,-2.4393951134828946e-11,-2.1391717593063064e-10,-3.9386138890145393e-11,-2.2239449667219357e-11,-5.802534955334648e-12,-1.8774280581590995e-11,-2.5784228265581512e-12,-6.506916375194693e-13
t8,-3.3612912080178984e-12,-3.4137845291882397e-11,-4.509024124058745e-11,-2.2812669776818037e-11,-1.9984633716514853e-10,-3.6844698209454316e-11,-2.0744282777849022e-11,-5.438545607908701e-12,-1.7495415107052985e-11,-2.4159578870110734e-12,-6.154976135463886e-13
t9,-3.057077169611215e-12,-3.1510018867976715e-11,-4.159919587910252e-11,-2.1014785736372247e-11,-1.8373465082386613e-10,-3.396878049344992e-11,-1.911348999261628e-11,-5.013982591455015e-12,-1.6120986899132907e-11,-2.241141408604394e-12,-5.636206951310983e-13
t10,-2.7482227953731e-12,-2.9258074254959907e-11,-3.86103150584832e-11,-1.9521408221760776e-11,-1.7109024008140658e-10,-3.1582391362099334e-11,-1.7755105059652783e-11,-4.6628363011694725e-12,-1.4963159326539716e-11,-2.0914564970101347e-12,-5.181441722444063e-13
t11,-2.5466308791548193e-12,-2.772092768194329e-11,-3.659979962800521e-11,-1.84964711422443e-11,-1.619700583545254e-10,-2.9895692629633955e-11,-1.6831089968612888e-11,-4.419654094432549e-12,-1.419118970617324e-11,-1.987453580290083e-12,-4.872396131691582e-13
t12,-2.4325729271877296e-12,-2.667006280986743e-11,-3.5235825222774376e-11,-1.7801642718740072e-11,-1.5552323503424412e-10,-2.879736095000663e-11,-1.6196623981673464e-11,-4.254899755892207e-12,-1.3648855987491733e-11,-1.9116609384780923e-12,-4.624727206913655e-13
t13,-2.3587869048008906e-12,-2.6036585545054187e-11,-3.435173836734284e-11,-1.7373548921507113e-11,-1.5205884445489251e-10,-2.808875805180012e-11,-1.5786905148711517e-11,-4.151448104097014e-12,-1.3305228551542557e-11,-1.8580790955524296e-12,-4.4383844061306133e-13
t14,-2.3276680430718046e-12,-2.5832759091518774e-11,-3.4109144714549893e-11,-1.7265104101345952e-11,-1.503545471826461e-10,-2.7867530831803223e-11,-1.5690259918659428e-11,-4.134641665818488e-12,-1.3221165516608736e-11,-1.828146590901428e-12,-4.318392081707488e-13
