Zone,1,2,3,4,5,6,7,8,9,10,11,Total
CO2_Price_1,-1.6686705216017696e-13,-1.6686705216017696e-13,-1.6686705216017696e-13,-1.6686705216017696e-13,-1.6686705216017696e-13,-1.6686705216017696e-13,-1.6686705216017696e-13,-1.6686705216017696e-13,-1.6686705216017696e-13,-1.6686705216017696e-13,-1.6686705216017696e-13,0.0
AnnualSum,1.0675646121190248e7,0.7477269881660492,0.5683618119564748,1.4175808004618657,0.5565101909993887,2.6940256825784678e6,1.2288132543024955e7,405888.7234525782,495259.81090602,3.815985867786097e7,1.2326289172668985e8,1.8798170657588288e8
t1,523.8088215082594,5.4277056788364994e-5,3.823957673506602e-5,0.00010472908749052567,4.108821256937547e-5,9.798843589031857e-5,1258.3282103094793,0.00010964639858807047,0.00010222860235168323,2189.641706939154,12063.514448817607,16035.29373577187
t2,523.8088102797601,4.981235476145569e-5,3.6346148278091303e-5,8.959411099410411e-5,3.829413450485251e-5,8.572473138825613e-5,881.6965337985259,0.00010101339567467566,9.189956571096349e-5,1806.7935749113374,11053.414005573883,14265.713417247947
t3,523.8087988894808,4.7989952898953046e-5,3.5135687772514804e-5,8.453508481483605e-5,3.669118711200978e-5,7.800760505930228e-5,630.5437262214075,9.437108147096597e-5,8.457426156563243e-5,1621.7814646065797,9571.498725132982,12347.633176155312
t4,523.8087946774098,4.598748287043058e-5,3.3643061052416794e-5,7.884650578788426e-5,3.4761817793862524e-5,6.942458752082209e-5,314.41828412438065,8.665684918040372e-5,7.73508077410561e-5,1439.233521699323,8157.795728325459,10435.256755497685
t5,523.8087816844412,4.2508131814613586e-5,3.148236764370014e-5,6.8805454409875e-5,3.1979980650105784e-5,5.9675096014146985e-5,302.09519250474835,7.664734333037543e-5,6.961893331705456e-5,987.2809426911466,7887.838770294169,9701.024067891813
t6,239.3806857495493,3.133291656202706e-5,2.5359698016610196e-5,4.965489791883949e-5,2.4137924238129114e-5,3.774380069282691e-5,302.0951417593764,5.542082156661847e-5,5.406120537786044e-5,1003.0981108832074,9767.44684120634,11312.021057309737
t7,239.38067925253776,2.8877734110703018e-5,2.3409588664438557e-5,4.709935488657883e-5,2.1871563707243754e-5,3.3938209978835825e-5,302.0951382152189,5.0448113695026364e-5,5.166762868300202e-5,822.1802058282805,5664.357738561555,7028.0140191697865
t8,239.38067921751912,2.8359283798978164e-5,2.279052830559648e-5,4.661008483330286e-5,2.099042526666266e-5,3.288612789742514e-5,302.0951373919722,4.908167709966272e-5,5.0267155957408797e-5,822.557722148723,5664.357740974955,7028.3915307184525
