Zone,1,2,3,4,5,6,7,8,9,10,11
t1,0.4508849636943562,0.44590824574618626,0.44832267162573103,0.45260206464775626,0.44653239363445796,0.45719654232881113,0.46234598064474763,0.4654075687571585,0.4661062115201941,0.4593044410930554,0.4333764110020126
t2,0.4018613204347115,0.385101310409676,0.38718648915329573,0.3908823154820064,0.37124941479816537,0.3948502600759474,0.399297487246293,0.40194157656870066,0.4025449529079065,0.3966707168931046,0.37306886080194857
t3,0.40185251339002825,0.3850928825724187,0.38717801499660554,0.3908737582178094,0.3856322642208349,0.39484161411421886,0.39928874409165915,0.40193277567875235,0.4025361399989789,0.3966620375844102,0.37306884129507206
t4,0.3904046105096794,0.3826667242712519,0.3847387194416375,0.3830567614204658,0.37792014322703577,0.38359343751846575,0.3879138783052813,0.39048258618778947,0.39106875933969254,0.3853619827547498,0.3730688384577192
t5,0.3904046138735688,0.38266669947355075,0.3847386938690486,0.3830567583704256,0.37792013706622657,0.38359343489856046,0.38791387562320123,0.39048258401054575,0.39106875383123135,0.3853619477785627,0.3730688382531583
t6,0.39467705383276436,0.3826666961918854,0.38473869058329685,0.38724877124653384,0.38205593892921114,0.3877913243211005,0.3921590455473749,0.3947558650972652,0.39534844716161355,0.38533922219670574,0.3730688485780841
t7,0.46528354798182076,0.45614722390129825,0.4586170858059514,0.4612449803431062,0.4550598983222284,0.46189119999889133,0.4670935151208616,0.4701865406463156,0.4708923565142816,0.4640207208844229,0.47877638324677196
t8,0.4759992722468997,0.4561472452295135,0.4586171113349683,0.46299477744290307,0.45678623923278755,0.46769475506999103,0.4729624359240784,0.47609432805995344,0.4768090115354642,0.46985105175388364,0.9590918699305976
t9,0.4653146854450663,0.4459082795854437,0.44832270762263393,0.45260210679477264,0.44653293097474467,0.45719658652939255,0.46234602583940926,0.46540761595133506,0.46610625788036797,0.37116307288337846,0.4333764242076062
t10,0.3489422255428557,0.3112509445863218,0.3129362615636674,0.3159233807214125,0.31168700192736887,0.319130404462757,0.32272479553945477,0.3248618332626206,0.3253495090243581,0.1034872364912953,0.30435517744014434
t11,0.3489422021137032,0.0992700160463153,0.09980752913181684,0.1007602291420364,0.0994090861661358,0.10178307454896411,0.1029294684520624,0.10361105518726774,0.103766602124295,0.09803306121341801,0.10458998633673616
t12,0.3489422006316093,0.09732005029376717,0.09784718685136626,0.1007601399131861,0.09940899773303444,0.10178298631683479,0.10292941687754448,0.1036110439740386,0.1037665558541748,0.09803305625239307,0.09487911814207584
t13,0.34894219569096485,0.09732003249647554,0.09784713715541898,0.10076013577446065,0.099408994619579,0.10178298348861621,0.10292940572113934,0.10361102056073046,0.10376654804730462,0.09803305609952849,0.09487910062928068
t14,0.34894219452995634,0.09732002991592219,0.09784712122821958,0.10076013438257578,0.09940899205652559,0.10178298230340717,0.1029293835553815,0.10361097245428988,0.10376653492256978,0.09803305699241878,0.09487909973469928
t15,0.3489421966694814,0.09732003155600613,0.0978471322273371,0.1007601343198077,0.0994089920401717,0.10178297996368157,0.10292937308789671,0.10361095805016707,0.10376654567193917,0.0980331018820797,0.0948790997789472
t16,0.34894219834931967,0.09732006419396581,0.0978471841932953,0.10076014299155538,0.09940900125574202,0.10178298822654791,0.10292937928861573,0.10361096323999074,0.10376660084393068,0.09803326398495993,0.09487913429010056
t17,0.4018613141595064,0.3344118044496051,0.3362225665944282,0.3553319669402792,0.35056714006846373,0.35893903613203537,0.36298179459402335,0.36538540758129856,0.376659577421418,0.37116307101415047,0.3043551749757287
t18,0.465283581909801,0.4568469181511453,0.4593205751363819,0.463704952359079,0.45748689030508305,0.4684119261943511,0.47368768448161375,0.47682437526738464,0.47754016065624993,0.45930506378175423,0.4249614626418308
t19,0.4652835904910083,0.4568469636673703,0.45932062233450816,0.46370500226348926,0.4574869435286132,0.4684119779834818,0.4736877368512694,0.4768244279294604,0.47754021319963946,0.4593050637524027,0.42496192761292556
t20,0.4652841098066857,0.4568469706863019,0.45932062907716825,0.46370500825244876,0.4574869510607828,0.46841200390273263,0.4736877630477245,0.47682445446197025,0.47754023870622886,0.45930506324089215,0.4249618949010481
t21,0.46528358307936185,0.45684695925714325,0.4593206186908202,0.46370499983849556,0.4574869422482222,0.4684121316000608,0.4736878922364244,0.4768245860225179,0.47754036266116184,0.45930506392879455,0.4249617597190028
t22,0.46528375062961624,0.4568471232794395,0.45932077854798814,0.46370515534268125,0.4574870960243751,0.46841199067075256,0.473687749669696,0.47682444109308086,0.47754022431984566,0.4593050612024794,0.8099599573974466
