Derating_factor_3,Derating_factor_2,Derating_factor_1,Resource
0.0,0.93,0.0,NY_Z_A_naturalgas_ctavgcf_moderate_0
0.0,0.95,0.0,NY_Z_A_battery_moderate_0
0.0,0.93,0.0,NY_Z_A_nuclear_nuclear_moderate_0
0.0,0.93,0.0,NY_Z_A_naturalgas_ccs100_moderate_0
0.0,0.8,0.0,NY_Z_A_landbasedwind_class1_moderate_1
0.0,0.8,0.0,NY_Z_A_landbasedwind_class1_moderate_2
0.0,0.8,0.0,NY_Z_A_landbasedwind_class1_moderate_3
0.0,0.8,0.0,NY_Z_A_landbasedwind_class1_moderate_4
0.0,0.8,0.0,NY_Z_A_landbasedwind_class1_moderate_5
0.0,0.8,0.0,NY_Z_A_landbasedwind_class1_moderate_6
0.0,0.8,0.0,NY_Z_A_utilitypv_class1_moderate_1
0.0,0.8,0.0,NY_Z_A_utilitypv_class1_moderate_2
0.0,0.8,0.0,NY_Z_A_utilitypv_class1_moderate_3
0.0,0.8,0.0,NY_Z_A_utilitypv_class1_moderate_4
0.0,0.8,0.0,NY_Z_A_utilitypv_class1_moderate_5
0.0,0.8,0.0,NY_Z_A_utilitypv_class1_moderate_6
0.0,0.93,0.0,NY_Z_B_naturalgas_ccavgcf_moderate_0
0.0,0.93,0.0,NY_Z_B_naturalgas_ctavgcf_moderate_0
0.0,0.95,0.0,NY_Z_B_battery_moderate_0
0.0,0.93,0.0,NY_Z_B_nuclear_nuclear_moderate_0
0.0,0.93,0.0,NY_Z_B_naturalgas_ccs100_moderate_0
0.0,0.8,0.0,NY_Z_B_landbasedwind_class1_moderate_1
0.0,0.8,0.0,NY_Z_B_landbasedwind_class1_moderate_2
0.0,0.8,0.0,NY_Z_B_landbasedwind_class1_moderate_3
0.0,0.8,0.0,NY_Z_B_landbasedwind_class1_moderate_4
0.0,0.8,0.0,NY_Z_B_landbasedwind_class1_moderate_5
0.0,0.8,0.0,NY_Z_B_landbasedwind_class1_moderate_6
0.0,0.8,0.0,NY_Z_B_utilitypv_class1_moderate_1
0.0,0.8,0.0,NY_Z_B_utilitypv_class1_moderate_2
0.0,0.8,0.0,NY_Z_B_utilitypv_class1_moderate_3
0.0,0.8,0.0,NY_Z_B_utilitypv_class1_moderate_4
0.0,0.8,0.0,NY_Z_B_utilitypv_class1_moderate_5
0.0,0.8,0.0,NY_Z_B_utilitypv_class1_moderate_6
0.0,0.93,0.0,NY_Z_C&E_naturalgas_ccavgcf_moderate_0
0.0,0.93,0.0,NY_Z_C&E_naturalgas_ctavgcf_moderate_0
0.0,0.95,0.0,NY_Z_C&E_battery_moderate_0
0.0,0.93,0.0,NY_Z_C&E_nuclear_nuclear_moderate_0
0.0,0.93,0.0,NY_Z_C&E_naturalgas_ccs100_moderate_0
0.0,0.8,0.0,NY_Z_C&E_landbasedwind_class1_moderate_1
0.0,0.8,0.0,NY_Z_C&E_landbasedwind_class1_moderate_2
0.0,0.8,0.0,NY_Z_C&E_landbasedwind_class1_moderate_3
0.0,0.8,0.0,NY_Z_C&E_landbasedwind_class1_moderate_4
0.0,0.8,0.0,NY_Z_C&E_landbasedwind_class1_moderate_5
0.0,0.8,0.0,NY_Z_C&E_landbasedwind_class1_moderate_6
0.0,0.8,0.0,NY_Z_C&E_utilitypv_class1_moderate_1
0.0,0.8,0.0,NY_Z_C&E_utilitypv_class1_moderate_2
0.0,0.8,0.0,NY_Z_C&E_utilitypv_class1_moderate_3
0.0,0.8,0.0,NY_Z_C&E_utilitypv_class1_moderate_4
0.0,0.8,0.0,NY_Z_C&E_utilitypv_class1_moderate_5
0.0,0.8,0.0,NY_Z_C&E_utilitypv_class1_moderate_6
0.0,0.93,0.0,NY_Z_D_naturalgas_ccavgcf_moderate_0
0.0,0.93,0.0,NY_Z_D_naturalgas_ctavgcf_moderate_0
0.0,0.95,0.0,NY_Z_D_battery_moderate_0
0.0,0.93,0.0,NY_Z_D_nuclear_nuclear_moderate_0
0.0,0.93,0.0,NY_Z_D_naturalgas_ccs100_moderate_0
0.0,0.8,0.0,NY_Z_D_landbasedwind_class1_moderate_1
0.0,0.8,0.0,NY_Z_D_landbasedwind_class1_moderate_2
0.0,0.8,0.0,NY_Z_D_landbasedwind_class1_moderate_3
0.0,0.8,0.0,NY_Z_D_landbasedwind_class1_moderate_4
0.0,0.8,0.0,NY_Z_D_landbasedwind_class1_moderate_5
0.0,0.8,0.0,NY_Z_D_landbasedwind_class1_moderate_6
0.0,0.8,0.0,NY_Z_D_utilitypv_class1_moderate_1
0.0,0.8,0.0,NY_Z_D_utilitypv_class1_moderate_2
0.0,0.8,0.0,NY_Z_D_utilitypv_class1_moderate_3
0.0,0.8,0.0,NY_Z_D_utilitypv_class1_moderate_4
0.0,0.8,0.0,NY_Z_D_utilitypv_class1_moderate_5
0.0,0.8,0.0,NY_Z_D_utilitypv_class1_moderate_6
0.0,0.93,0.0,NY_Z_F_naturalgas_ccavgcf_moderate_0
0.0,0.93,0.0,NY_Z_F_naturalgas_ctavgcf_moderate_0
0.0,0.95,0.0,NY_Z_F_battery_moderate_0
0.0,0.93,0.0,NY_Z_F_nuclear_nuclear_moderate_0
0.0,0.93,0.0,NY_Z_F_naturalgas_ccs100_moderate_0
0.0,0.8,0.0,NY_Z_F_landbasedwind_class1_moderate_1
0.0,0.8,0.0,NY_Z_F_landbasedwind_class1_moderate_2
0.0,0.8,0.0,NY_Z_F_landbasedwind_class1_moderate_3
0.0,0.8,0.0,NY_Z_F_landbasedwind_class1_moderate_4
0.0,0.8,0.0,NY_Z_F_landbasedwind_class1_moderate_5
0.0,0.8,0.0,NY_Z_F_landbasedwind_class1_moderate_6
0.0,0.8,0.0,NY_Z_F_utilitypv_class1_moderate_1
0.0,0.8,0.0,NY_Z_F_utilitypv_class1_moderate_2
0.0,0.8,0.0,NY_Z_F_utilitypv_class1_moderate_3
0.0,0.8,0.0,NY_Z_F_utilitypv_class1_moderate_4
0.0,0.8,0.0,NY_Z_F_utilitypv_class1_moderate_5
0.0,0.8,0.0,NY_Z_F_utilitypv_class1_moderate_6
0.0,0.93,0.0,NY_Z_G-I_naturalgas_ccavgcf_moderate_0
0.0,0.93,0.0,NY_Z_G-I_naturalgas_ctavgcf_moderate_0
0.0,0.95,0.0,NY_Z_G-I_battery_moderate_0
0.0,0.93,0.0,NY_Z_G-I_nuclear_nuclear_moderate_0
0.0,0.93,0.0,NY_Z_G-I_naturalgas_ccs100_moderate_0
0.0,0.8,0.0,NY_Z_G-I_landbasedwind_class1_moderate_1
0.0,0.8,0.0,NY_Z_G-I_landbasedwind_class1_moderate_2
0.0,0.8,0.0,NY_Z_G-I_landbasedwind_class1_moderate_3
0.0,0.8,0.0,NY_Z_G-I_landbasedwind_class1_moderate_4
0.0,0.8,0.0,NY_Z_G-I_landbasedwind_class1_moderate_5
0.0,0.8,0.0,NY_Z_G-I_landbasedwind_class1_moderate_6
0.0,0.8,0.0,NY_Z_G-I_utilitypv_class1_moderate_1
0.0,0.8,0.0,NY_Z_G-I_utilitypv_class1_moderate_2
0.0,0.8,0.0,NY_Z_G-I_utilitypv_class1_moderate_3
0.0,0.8,0.0,NY_Z_G-I_utilitypv_class1_moderate_4
0.0,0.8,0.0,NY_Z_G-I_utilitypv_class1_moderate_5
0.0,0.8,0.0,NY_Z_G-I_utilitypv_class1_moderate_6
0.0,0.93,0.0,NY_Z_J_naturalgas_ccavgcf_moderate_0
0.0,0.93,0.0,NY_Z_J_naturalgas_ctavgcf_moderate_0
0.0,0.95,0.0,NY_Z_J_battery_moderate_0
0.0,0.93,0.0,NY_Z_J_nuclear_nuclear_moderate_0
0.0,0.93,0.0,NY_Z_J_naturalgas_ccs100_moderate_0
0.0,0.8,0.0,NY_Z_J_offshorewind_class3_moderate_fixed_1_0
0.0,0.8,0.0,NY_Z_J_offshorewind_class3_moderate_fixed_1_1
0.0,0.8,0.0,NY_Z_J_offshorewind_class3_moderate_fixed_1_2
0.0,0.8,0.0,NY_Z_J_offshorewind_class3_moderate_fixed_1_3
0.0,0.8,0.0,NY_Z_J_offshorewind_class3_moderate_fixed_1_4
0.0,0.8,0.0,NY_Z_J_offshorewind_class3_moderate_fixed_1_5
0.0,0.8,0.0,NY_Z_J_offshorewind_class3_moderate_fixed_0_0
0.0,0.8,0.0,NY_Z_J_offshorewind_class3_moderate_fixed_0_1
0.0,0.8,0.0,NY_Z_J_offshorewind_class3_moderate_fixed_0_2
0.0,0.8,0.0,NY_Z_J_offshorewind_class3_moderate_fixed_0_3
0.0,0.8,0.0,NY_Z_J_offshorewind_class3_moderate_fixed_0_4
0.0,0.8,0.0,NY_Z_J_offshorewind_class3_moderate_fixed_0_5
0.0,0.8,0.0,NY_Z_J_offshorewind_class12_moderate_floating_0_0
0.0,0.8,0.0,NY_Z_J_offshorewind_class12_moderate_floating_0_1
0.0,0.8,0.0,NY_Z_J_offshorewind_class12_moderate_floating_0_2
0.0,0.8,0.0,NY_Z_J_offshorewind_class12_moderate_floating_0_3
0.0,0.8,0.0,NY_Z_J_offshorewind_class12_moderate_floating_0_4
0.0,0.8,0.0,NY_Z_J_offshorewind_class12_moderate_floating_0_5
0.0,0.8,0.0,NY_Z_J_offshorewind_class12_moderate_floating_1_0
0.0,0.8,0.0,NY_Z_J_offshorewind_class12_moderate_floating_1_1
0.0,0.8,0.0,NY_Z_J_offshorewind_class12_moderate_floating_1_2
0.0,0.8,0.0,NY_Z_J_offshorewind_class12_moderate_floating_1_3
0.0,0.8,0.0,NY_Z_J_offshorewind_class12_moderate_floating_1_4
0.0,0.8,0.0,NY_Z_J_offshorewind_class12_moderate_floating_1_5
0.0,0.93,0.0,NY_Z_K_naturalgas_ccavgcf_moderate_0
0.0,0.93,0.0,NY_Z_K_naturalgas_ctavgcf_moderate_0
0.0,0.95,0.0,NY_Z_K_battery_moderate_0
0.0,0.93,0.0,NY_Z_K_nuclear_nuclear_moderate_0
0.0,0.93,0.0,NY_Z_K_naturalgas_ccs100_moderate_0
0.0,0.8,0.0,NY_Z_K_utilitypv_class1_moderate_1
0.93,0.0,0.0,PJM_EMAC_naturalgas_ccavgcf_moderate_0
0.93,0.0,0.0,PJM_EMAC_naturalgas_ctavgcf_moderate_0
0.95,0.0,0.0,PJM_EMAC_battery_moderate_0
0.93,0.0,0.0,PJM_EMAC_nuclear_nuclear_moderate_0
0.93,0.0,0.0,PJM_EMAC_naturalgas_ccs100_moderate_0
0.8,0.0,0.0,PJM_EMAC_offshorewind_class3_moderate_fixed_1_0
0.8,0.0,0.0,PJM_EMAC_offshorewind_class3_moderate_fixed_1_1
0.8,0.0,0.0,PJM_EMAC_offshorewind_class3_moderate_fixed_1_2
0.8,0.0,0.0,PJM_EMAC_offshorewind_class3_moderate_fixed_1_3
0.8,0.0,0.0,PJM_EMAC_offshorewind_class3_moderate_fixed_1_4
0.8,0.0,0.0,PJM_EMAC_offshorewind_class3_moderate_fixed_1_5
0.8,0.0,0.0,PJM_EMAC_offshorewind_class3_moderate_fixed_0_0
0.8,0.0,0.0,PJM_EMAC_offshorewind_class3_moderate_fixed_0_1
0.8,0.0,0.0,PJM_EMAC_offshorewind_class3_moderate_fixed_0_2
0.8,0.0,0.0,PJM_EMAC_offshorewind_class3_moderate_fixed_0_3
0.8,0.0,0.0,PJM_EMAC_offshorewind_class3_moderate_fixed_0_4
0.8,0.0,0.0,PJM_EMAC_offshorewind_class3_moderate_fixed_0_5
0.8,0.0,0.0,PJM_EMAC_offshorewind_class12_moderate_floating_0_0
0.8,0.0,0.0,PJM_EMAC_offshorewind_class12_moderate_floating_0_1
0.8,0.0,0.0,PJM_EMAC_offshorewind_class12_moderate_floating_0_2
0.8,0.0,0.0,PJM_EMAC_offshorewind_class12_moderate_floating_0_3
0.8,0.0,0.0,PJM_EMAC_offshorewind_class12_moderate_floating_0_4
0.8,0.0,0.0,PJM_EMAC_offshorewind_class12_moderate_floating_0_5
0.8,0.0,0.0,PJM_EMAC_offshorewind_class12_moderate_floating_1_0
0.8,0.0,0.0,PJM_EMAC_offshorewind_class12_moderate_floating_1_1
0.8,0.0,0.0,PJM_EMAC_offshorewind_class12_moderate_floating_1_2
0.8,0.0,0.0,PJM_EMAC_offshorewind_class12_moderate_floating_1_3
0.8,0.0,0.0,PJM_EMAC_offshorewind_class12_moderate_floating_1_4
0.8,0.0,0.0,PJM_EMAC_offshorewind_class12_moderate_floating_1_5
0.8,0.0,0.0,PJM_EMAC_landbasedwind_class1_moderate_1
0.8,0.0,0.0,PJM_EMAC_landbasedwind_class1_moderate_2
0.8,0.0,0.0,PJM_EMAC_landbasedwind_class1_moderate_3
0.8,0.0,0.0,PJM_EMAC_landbasedwind_class1_moderate_4
0.8,0.0,0.0,PJM_EMAC_landbasedwind_class1_moderate_5
0.8,0.0,0.0,PJM_EMAC_landbasedwind_class1_moderate_6
0.8,0.0,0.0,PJM_EMAC_utilitypv_class1_moderate_1
0.8,0.0,0.0,PJM_EMAC_utilitypv_class1_moderate_2
0.8,0.0,0.0,PJM_EMAC_utilitypv_class1_moderate_3
0.8,0.0,0.0,PJM_EMAC_utilitypv_class1_moderate_4
0.8,0.0,0.0,PJM_EMAC_utilitypv_class1_moderate_5
0.8,0.0,0.0,PJM_EMAC_utilitypv_class1_moderate_6
0.93,0.0,0.0,PJM_Rest_naturalgas_ccccsavgcf_moderate_0
0.93,0.0,0.0,PJM_Rest_naturalgas_ccavgcf_moderate_0
0.93,0.0,0.0,PJM_Rest_naturalgas_ctavgcf_moderate_0
0.95,0.0,0.0,PJM_Rest_battery_moderate_0
0.93,0.0,0.0,PJM_Rest_nuclear_nuclear_moderate_0
0.93,0.0,0.0,PJM_Rest_naturalgas_ccs100_moderate_0
0.8,0.0,0.0,PJM_Rest_offshorewind_class3_moderate_fixed_1_0
0.8,0.0,0.0,PJM_Rest_offshorewind_class3_moderate_fixed_1_1
0.8,0.0,0.0,PJM_Rest_offshorewind_class3_moderate_fixed_1_2
0.8,0.0,0.0,PJM_Rest_offshorewind_class3_moderate_fixed_1_3
0.8,0.0,0.0,PJM_Rest_offshorewind_class3_moderate_fixed_1_4
0.8,0.0,0.0,PJM_Rest_offshorewind_class3_moderate_fixed_1_5
0.8,0.0,0.0,PJM_Rest_offshorewind_class3_moderate_fixed_0_0
0.8,0.0,0.0,PJM_Rest_offshorewind_class3_moderate_fixed_0_1
0.8,0.0,0.0,PJM_Rest_offshorewind_class3_moderate_fixed_0_2
0.8,0.0,0.0,PJM_Rest_offshorewind_class3_moderate_fixed_0_3
0.8,0.0,0.0,PJM_Rest_offshorewind_class3_moderate_fixed_0_4
0.8,0.0,0.0,PJM_Rest_offshorewind_class3_moderate_fixed_0_5
0.8,0.0,0.0,PJM_Rest_offshorewind_class12_moderate_floating_0_0
0.8,0.0,0.0,PJM_Rest_offshorewind_class12_moderate_floating_0_1
0.8,0.0,0.0,PJM_Rest_offshorewind_class12_moderate_floating_0_2
0.8,0.0,0.0,PJM_Rest_offshorewind_class12_moderate_floating_0_3
0.8,0.0,0.0,PJM_Rest_offshorewind_class12_moderate_floating_0_4
0.8,0.0,0.0,PJM_Rest_offshorewind_class12_moderate_floating_0_5
0.8,0.0,0.0,PJM_Rest_landbasedwind_class1_moderate_1
0.8,0.0,0.0,PJM_Rest_landbasedwind_class1_moderate_2
0.8,0.0,0.0,PJM_Rest_landbasedwind_class1_moderate_3
0.8,0.0,0.0,PJM_Rest_landbasedwind_class1_moderate_4
0.8,0.0,0.0,PJM_Rest_landbasedwind_class1_moderate_5
0.8,0.0,0.0,PJM_Rest_landbasedwind_class1_moderate_6
0.8,0.0,0.0,PJM_Rest_utilitypv_class1_moderate_1
0.8,0.0,0.0,PJM_Rest_utilitypv_class1_moderate_2
0.8,0.0,0.0,PJM_Rest_utilitypv_class1_moderate_3
0.8,0.0,0.0,PJM_Rest_utilitypv_class1_moderate_4
0.8,0.0,0.0,PJM_Rest_utilitypv_class1_moderate_5
0.8,0.0,0.0,PJM_Rest_utilitypv_class1_moderate_6
