Region,Resource,Zone,Cluster,CapRes_1,CapRes_2,CapRes_3,AnnualSum
PJM_EMAC,PJM_EMAC_natural_gas_fired_combined_cycle_3,10,3,0.0,0.0,574312.2657958585,574312.2657958585
PJM_EMAC,PJM_EMAC_natural_gas_fired_combustion_turbine_1,10,1,0.0,0.0,408979.9468419479,408979.9468419479
PJM_EMAC,PJM_EMAC_natural_gas_fired_combustion_turbine_2,10,2,0.0,0.0,2.1807057697086856e6,2.1807057697086856e6
PJM_EMAC,PJM_EMAC_natural_gas_steam_turbine_1,10,1,0.0,0.0,0.10026535632058865,0.10026535632058865
PJM_EMAC,PJM_EMAC_nuclear_1,10,1,0.0,0.0,5.464742594912409e6,5.464742594912409e6
PJM_EMAC,PJM_EMAC_nuclear_2,10,2,0.0,0.0,0.09185463364315381,0.09185463364315381
PJM_Rest,PJM_Rest_conventional_steam_coal_1,11,1,0.0,0.0,2.2017237241588883e7,2.2017237241588883e7
PJM_Rest,PJM_Rest_natural_gas_fired_combined_cycle_1,11,1,0.0,0.0,1.5870563903031661e6,1.5870563903031661e6
PJM_Rest,PJM_Rest_natural_gas_fired_combined_cycle_2,11,2,0.0,0.0,1.8033196909269832e7,1.8033196909269832e7
PJM_Rest,PJM_Rest_natural_gas_fired_combustion_turbine_1,11,1,0.0,0.0,457248.35658125865,457248.35658125865
PJM_Rest,PJM_Rest_natural_gas_fired_combustion_turbine_2,11,2,0.0,0.0,1.809343945525698e7,1.809343945525698e7
PJM_Rest,PJM_Rest_natural_gas_fired_combustion_turbine_3,11,3,0.0,0.0,620646.9644269205,620646.9644269205
PJM_Rest,PJM_Rest_natural_gas_fired_combustion_turbine_4,11,4,0.0,0.0,269157.74271405005,269157.74271405005
PJM_Rest,PJM_Rest_nuclear_1,11,1,0.0,0.0,2.205174611667342e6,2.205174611667342e6
NENG_Rest,NENG_Rest_naturalgas_ccavgcf_moderate_0,1,0,3.8375076243480723e6,0.0,0.0,3.8375076243480723e6
NENG_Rest,NENG_Rest_naturalgas_ctavgcf_moderate_0,1,0,0.12678132464711328,0.0,0.0,0.12678132464711328
NENG_Rest,NENG_Rest_nuclear_nuclear_moderate_0,1,0,0.029804577330661133,0.0,0.0,0.029804577330661133
NENG_Rest,NENG_Rest_naturalgas_ccs100_moderate_0,1,0,0.07221541484337136,0.0,0.0,0.07221541484337136
NY_Z_A,NY_Z_A_naturalgas_ccavgcf_moderate_0,2,0,0.0,0.07722633385221146,0.0,0.07722633385221146
NY_Z_A,NY_Z_A_naturalgas_ctavgcf_moderate_0,2,0,0.0,0.46105875499871085,0.0,0.46105875499871085
NY_Z_A,NY_Z_A_nuclear_nuclear_moderate_0,2,0,0.0,0.036254605600124334,0.0,0.036254605600124334
NY_Z_A,NY_Z_A_naturalgas_ccs100_moderate_0,2,0,0.0,0.03664553018444577,0.0,0.03664553018444577
NY_Z_B,NY_Z_B_naturalgas_ccavgcf_moderate_0,3,0,0.0,0.11070468911923484,0.0,0.11070468911923484
NY_Z_B,NY_Z_B_naturalgas_ctavgcf_moderate_0,3,0,0.0,0.12505587995199555,0.0,0.12505587995199555
NY_Z_B,NY_Z_B_nuclear_nuclear_moderate_0,3,0,0.0,0.029237288462842966,0.0,0.029237288462842966
NY_Z_B,NY_Z_B_naturalgas_ccs100_moderate_0,3,0,0.0,0.048676170646127344,0.0,0.048676170646127344
