Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Total
AnnualSum,0.0,160235.46885397568,81155.47606286904,104198.97766215021,51279.70223607641,164532.5832735416,128339.6723910559,142704.26613662665,268160.7052734726,373026.3139268104,338095.6168372994,262073.33932162685,306135.9604085175,117123.3322964737,5320.035506338197,130730.64352250697,148599.9569776968,2.7817120506870383e6
t1,0.0,2.613320169773012,1.825001572112601e-5,1.756178092421798e-5,5.42992437792217,6.199002993178391,3.1120893902658675e-5,18.73328823689997,1.8195885879800192e-5,39.71738827856336,0.7148226824865705,25.08225704224324,35.348784685522176,8.25448600387662,1.7629787297664413e-5,19.40399490235717,1.8815079277875475e-5,161.49739094626568
t2,0.0,3.670418866166766e-5,0.00012119320882293438,20.347486515227217,1.6705973650775996,0.5877662182468731,6.426665385903383,19.263611458144815,2.0799873498901813e-5,30.56757214089252,5.2921722667747316e-5,26.89358396772048,26.597995980649237,15.518279584509962,1.9840927522642878e-5,7.578100883682925,2.1058145252752667e-5,155.45193201812148
t3,0.0,3.32301743082899e-5,9.381050854358354e-5,20.347495375119337,1.140137029495398,1.1814248839973536,6.5084166606628004,17.820533394393795,2.0721240248498823e-5,29.707420223118735,5.639021367906534e-5,27.915242663453036,27.77638190353515,15.562395699179723,1.9821829782964554e-5,10.371387449368774,2.0310146115471875e-5,158.33107956643678
t4,0.0,2.1688963747972707,2.2460404814634757e-5,1.9787798693529403e-5,2.9401114619618065,25.39998130519642,13.709942721108026,16.122990621430123,2.1104212936528453e-5,1.0904066345207244,56.322967467470505,26.79128125582133,16.43575954082524,10.224617451978848,2.0354297946929314e-5,10.285044736007125,19.61997771515368,201.1120609929855
t5,0.0,2.559987125369271,2.253415525610119e-5,1.9764259519654643e-5,1.42374584861857,25.399981660493577,10.482309789963528,16.170732657772458,2.1185578574174242e-5,6.3926849303413045,56.3229667202951,27.65125217660311,22.674491964385535,7.205508372051386,2.033436796057603e-5,13.485960545956758,19.619978526652325,209.38968413686425
t6,0.0,8.071792153228483,2.182226071522402e-5,2.0615650364972673e-5,0.14163907871553208,25.399995025995583,7.948237348341814,14.651913385018151,2.1068517062003266e-5,7.935631222778052,56.322985611973316,24.73194123398777,25.863152197357362,3.355688470791966,2.041298793464783e-5,19.177378326119214,19.619994491870315,213.22043246559366
t7,0.0,6.815482965743797,1.8596574458415434e-5,1.7418190973659756e-5,2.0659842143719436,25.3999942681499,4.792845653383023,13.598509900083442,1.7681648293289462e-5,23.00400432544969,56.32297686856787,38.42842232004025,34.99603634511389,11.178859871092504,1.7379330145716325e-5,6.175133679476264,19.619984388366255,242.3983058755827
t8,0.0,24.219936328608984,15.05999971633315,20.34759189379586,1.8477069609524306,25.399993078034093,22.645971222825867,12.708384278726939,0.543150333256195,54.179975470813694,56.322969487477586,28.455837818453052,44.06213160451183,15.382659567343227,1.72794400885652e-5,13.62345293985174,19.619957414809203,354.419735395234
t9,0.0,20.806015473652266,2.393628352928861e-5,2.206961634496309e-5,0.27300052686323373,25.399994489080072,14.64305088324044,11.846041093562153,2.0017526733641352e-5,35.00441395991061,56.32297777363297,30.740139235609796,41.43141541224843,7.242854250353698,1.792725284879011e-5,19.403999212308822,19.619998460567317,282.73398472170925
t10,0.0,24.21992517660131,15.059947719617194,14.690851680492864,0.9669605353171766,13.302282640061506,13.2965279520266,16.490276994361267,31.210240149513492,54.179964550866345,4.008060662515756e-5,24.047169384429328,36.09181551149745,14.210786937179549,2.590289693394249e-5,19.403991234894207,19.619903654744512,296.79071010510637
t11,0.0,22.98204695586288,1.1517813409559525,20.34759040951253,6.129387659715855,25.3999982974805,16.597647262962507,19.113233534162507,56.32804312008532,54.17998223907705,56.32299106285655,54.38946875917089,43.58660399642875,20.89799952535987,1.6799997273008038,15.014073478352929,19.619998768377464,433.7408461376624
t12,0.0,22.338281322787385,6.000339140812197,20.34759050644899,5.941316524823096,25.399998454798006,13.795977382988653,20.67125892240698,54.99111473562455,54.17998603298292,56.32299137042873,54.38947270623708,48.73798743080646,20.897999534063466,1.6799997387676737,15.57276161677773,19.619999077423053,440.88707449817696
t13,0.0,21.764454364587582,7.287697160071319,20.347590581868673,5.624822028196318,25.399998654091355,14.850838925700858,17.75331960926923,55.57931823835261,54.179985911322326,56.32299113175673,54.38947274263493,48.10498340166692,20.8979995393311,1.6799997422552733,15.340863030893354,19.619999078290853,439.14433414028946
t14,0.0,21.77319983623033,2.200470800359443,20.347590577609378,5.584419982732327,25.399998171873197,12.342341186860452,21.19458363483869,56.30660088158829,54.17998555284491,56.32299105960219,54.389472209870945,42.736022356854086,20.897999533888044,1.679999741267324,15.653907827881838,19.61999907847602,430.6295824327775
t15,0.0,21.79804164369227,0.6234292839515847,20.347590553103984,5.352495226662198,25.399998442519653,18.088944539614687,18.313883056548832,57.34545699846055,54.17998619495351,56.32299119935122,54.38947320503635,37.80936662185397,20.89799953371869,1.6799997419996935,13.768696405601304,19.619999077971176,425.93835172503964
t16,0.0,24.219919217353997,2.591255117127829,20.347590421492814,5.383657480277673,25.399998476344635,23.754398855534916,16.64765195348442,61.06351591242067,54.179984902108785,56.322991833418044,54.3894726241321,33.90314712506432,20.89799958875636,1.6799997730531164,14.108555014718512,19.619999104805682,434.51013740009387
t17,0.0,24.21992647716294,15.05995391362564,9.491261065180227,6.4893173320513915,25.399992818798044,17.4538830162506,14.027308572526389,31.799178289473645,54.179969891610305,56.32298558624171,26.329623857548782,30.207630945236875,20.019264028078297,2.2854443992506787e-5,10.862901735836004,19.619994019087105,361.48321440315203
t18,0.0,22.081086061509716,2.0452476024548135e-5,1.77126772799667e-5,6.831788938302383,10.361405987508636,5.081877567139311,11.186971158623578,2.003482245224412e-5,46.90005429048929,56.322830371905816,24.942968197401086,31.930094989163244,16.00624075009812,1.760577044670999e-5,8.55868922764863,19.619968302085848,259.82405164762184
