Resource,region,technology,cluster,R_ID,Zone,Num_VRE_Bins,THERM,VRE,MUST_RUN,STOR,FLEX,HYDRO,LDS,CapRes_1,CapRes_2,Min_Share,Max_Share,Existing_Cap_MWh,Existing_Cap_MW,Existing_Charge_Cap_MW,num_units,unmodified_existing_cap_mw,New_Build,Cap_Size,Min_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Min_Cap_MWh,Max_Charge_Cap_MW,Min_Charge_Cap_MW,Min_Share_percent,Max_Share_percent,capex_mw,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,capex_mwh,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_Charge_per_MWyr,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Fuel,Min_Power,Self_Disch,Eff_Up,Eff_Down,Hydro_Energy_to_Power_Ratio,Min_Duration,Max_Duration,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,Max_Flexible_Demand_Delay,Max_Flexible_Demand_Advance,Flexible_Demand_Energy_Eff,CO2_Capture_Rate,CO2_Capture_Cost_per_Metric_Ton,co2_pipeline_annuity_mw,co2_pipeline_capex_mw,storage_cost_tonne,tonne_co2_captured_mwh,co2_cost_mwh,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,spur_miles,spur_capex,offshore_spur_miles,offshore_spur_capex,tx_miles,tx_capex,interconnect_annuity,interconnect_capex_mw,regional_cost_multiplier,variable_CF,RETRO,Num_RETRO_Sources,Retro1_Source,Retro1_Efficiency,Retro1_Inv_Cost_per_MWyr,Retro2_Source,Retro2_Efficiency,Retro2_Inv_Cost_per_MWyr,MinCapTag_1,MinCapTag_2,ESR_12,Retro3_Efficiency,CapRes_7,CapRes_9,ESR_2,ESR_14,ESR_10,MinCapTag_3,ESR_8,ESR_1,ESR_6,gen_is_variable,ESR_16,ESR_13,Retro3_Source,CapRes_6,ESR_5,CapRes_4,CapRes_8,ESR_15,CapRes_5,MinCapTag_5,ESR_3,CapRes_3,MinCapTag_4,ESR_4,ESR_7,ESR_9,CapRes_10,ESR_11,Min_Retired_Cap_MW,Min_Retired_Energy_Cap_MW,Min_Retired_Charge_Cap_MW,Capital_Recovery_Period,WACC,Lifetime,old_Inv_Cost_per_MWyr,old_Inv_Cost_per_MWhyr,original_Fixed_OM_Cost_per_MWyr,original_Fixed_OM_Cost_per_MWhyr
SRSG_landbasedwind_class3_moderate_6_anyQual_0,SRSG,LandbasedWind_Class3_Moderate_,6_anyQual_0,1535,24,1,0,1,0,0,0,0,0,0.0,0.8,0,0,0.0,5676.73,0.0,0.0,0.0,-1,1.0,0,6009.2,-1.0,0,0,0,0.0,0.0,957798.301,85762,110702.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.0,0.0,0,0,0,0,20645.591,403673.074,0.955,0.2981269657611847,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,1,0.0,0,0.0,0.0,0.0,30.0,0.05,30.0,80164,0,23491,0
SRSG_landbasedwind_class3_moderate_7_anyQual_1,SRSG,LandbasedWind_Class3_Moderate_,7_anyQual_1,1536,24,1,0,1,0,0,0,0,0,0.0,0.8,0,0,0.0,15.57,0.0,0.0,0.0,-1,1.0,0,5236.9,-1.0,0,0,0,0.0,0.0,957798.301,117358,149269.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.0,0.0,0,0,0,0,45486.589,889380.928,0.955,0.3503560721874237,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,1,0.0,0,0.0,0.0,0.0,30.0,0.05,30.0,105005,0,23491,0
SRSG_landbasedwind_class3_moderate_8_anyQual_1,SRSG,LandbasedWind_Class3_Moderate_,8_anyQual_1,1537,24,1,0,1,0,0,0,0,0,0.0,0.8,0,0,0.0,70.06,0.0,0.0,0.0,-1,1.0,0,5476.4,-1.0,0,0,0,0.0,0.0,957798.301,94355,122531.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.0,0.0,0,0,0,0,27401.259,535763.612,0.955,0.3129967153072357,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,1,0.0,0,0.0,0.0,0.0,30.0,0.05,30.0,86920,0,23491,0
SRSG_landbasedwind_class3_moderate_9_anyQual_0,SRSG,LandbasedWind_Class3_Moderate_,9_anyQual_0,1538,24,1,0,1,0,0,0,0,0,0.0,0.8,0,0,0.0,103.0,0.0,0.0,0.0,-1,1.0,0,5161.6,-1.0,0,0,0,0.0,0.0,957798.301,86456,114189.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.0,0.0,0,0,0,0,21190.963,414336.694,0.955,0.2855267822742462,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,1,0.0,0,0.0,0.0,0.0,30.0,0.05,30.0,80709,0,23491,0
SRSG_landbasedwind_class3_moderate_11_anyQual_1,SRSG,LandbasedWind_Class3_Moderate_,11_anyQual_1,1540,24,1,0,1,0,0,0,0,0,0.0,0.8,0,0,0.0,89.06,0.0,0.0,0.0,-1,1.0,0,3014.8,-1.0,0,0,0,0.0,0.0,957798.301,88124,116015.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.0,0.0,0,0,0,0,22502.865,439988.585,0.955,0.2871465682983398,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,1,0.0,0,0.0,0.0,0.0,30.0,0.05,30.0,82021,0,23491,0
SRSG_landbasedwind_class3_moderate_12_anyQual_0,SRSG,LandbasedWind_Class3_Moderate_,12_anyQual_0,1541,24,1,0,1,0,0,0,0,0,0.0,0.8,0,0,0.0,68.68,0.0,0.0,0.0,-1,1.0,0,4786.4,-1.0,0,0,0,0.0,0.0,957798.301,84429,112407.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.0,0.0,0,0,0,0,19597.287,383176.502,0.955,0.2711445689201355,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,1,0.0,0,0.0,0.0,0.0,30.0,0.05,30.0,79116,0,23491,0
SRSG_landbasedwind_class3_moderate_14_anyQual_1,SRSG,LandbasedWind_Class3_Moderate_,14_anyQual_1,1543,24,1,0,1,0,0,0,0,0,0.0,0.8,0,0,0.0,46.71,0.0,0.0,0.0,-1,1.0,0,2948.1,-1.0,0,0,0,0.0,0.0,957798.301,92940,121232.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.0,0.0,0,0,0,0,26289.293,514021.736,0.955,0.2837740778923034,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,1,0.0,0,0.0,0.0,0.0,30.0,0.05,30.0,85808,0,23491,0
SRSG_landbasedwind_class3_moderate_15_anyQual_0,SRSG,LandbasedWind_Class3_Moderate_,15_anyQual_0,1544,24,1,0,1,0,0,0,0,0,0.0,0.8,0,0,0.0,47.62,0.0,0.0,0.0,-1,1.0,0,4649.5,-1.0,0,0,0,0.0,0.0,957798.301,86838,115035.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.0,0.0,0,0,0,0,21491.732,420217.589,0.955,0.2635390162467956,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,1,0.0,0,0.0,0.0,0.0,30.0,0.05,30.0,81010,0,23491,0
SRSG_landbasedwind_class3_moderate_17_anyQual_1,SRSG,LandbasedWind_Class3_Moderate_,17_anyQual_1,1546,24,1,0,1,0,0,0,0,0,0.0,0.8,0,0,0.0,52.75,0.0,0.0,0.0,-1,1.0,0,2720.3,-1.0,0,0,0,0.0,0.0,957798.301,90641,118914.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.0,0.0,0,0,0,0,24481.94,478682.938,0.955,0.2694975435733795,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,1,0.0,0,0.0,0.0,0.0,30.0,0.05,30.0,84000,0,23491,0
SRSG_utilitypv_class1_moderate_0_anyQual_0,SRSG,UtilityPV_Class1_Moderate_,0_anyQual_0,1547,24,1,0,1,0,0,0,0,0,0.0,0.8,0,0,0.0,16703.1,0.0,0.0,0.0,-1,1.0,0,17640.9,-1.0,0,0,0,0.0,0.0,691780.955,46696,61649.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.0,0.0,0,0,0,0,2570.381,50257.175,0.965,0.2928292453289032,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,1,0.0,0,0.0,0.0,0.0,30.0,0.05,30.0,46016,0,13792,0
