Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17,Load_MW_z18,Load_MW_z19,Load_MW_z20,Load_MW_z21,Load_MW_z22,Load_MW_z23,Load_MW_z24,Load_MW_z25,Load_MW_z26
5000.0,1.0,1.0,1.0,5000.0,52.0,168.0,168.0,1,13549,12309,18995,20447,16921,20695,10062,17134,23810,27916,8797,7789,12498,11304,29614,32054,11865,8935,5577,13493,21748,21561,23350,14381,39375,1841
,,,,,,,168.0,2,13108,11724,18093,19184,16254,19694,9681,16206,22937,26468,8455,7497,11864,11071,28445,31080,11452,7757,4816,11614,21521,21002,22721,13842,37732,1765
,,,,,,,168.0,3,12639,11135,17184,18473,15781,19289,9358,15779,22125,25226,8222,7259,11581,10980,27776,30417,11072,7618,4689,11302,21790,20619,22364,13415,37042,1735
,,,,,,,168.0,4,12253,10540,16264,18231,15351,19055,9171,15490,21815,24262,7960,6992,11245,11020,27611,30176,10800,7609,4648,11144,22279,20378,22239,13343,36511,1718
,,,,,,,168.0,5,12014,10035,15483,18421,15175,19112,9077,15227,21666,23447,7771,6808,11008,11152,27811,30245,11082,7662,4657,11039,23046,20316,22348,13145,36261,1714
,,,,,,,168.0,6,11990,9816,15145,19139,15375,19241,9116,15195,21729,23119,7725,6757,11003,11556,28435,30606,11021,7775,4702,11075,24132,20503,22678,13145,36405,1728
,,,,,,,168.0,7,11963,9681,14939,20033,15781,19776,9343,15511,22242,23124,7884,6838,11139,12004,29682,31423,10967,7972,4836,11335,25215,20984,23209,13299,37129,1767
,,,,,,,168.0,8,12071,9688,14952,22367,15469,20304,9583,15872,22992,23373,7886,6838,11463,12325,29946,32137,11024,8256,5028,11650,25826,21420,23894,13571,38614,1852
,,,,,,,168.0,9,12366,9858,15216,24494,14945,20785,9742,16315,23834,24125,7892,6816,11763,12471,30585,32864,11168,8324,5209,11928,25010,21992,24445,14115,39052,1864
,,,,,,,168.0,10,12650,10281,15884,25987,15215,21245,10045,16863,24587,25956,7999,6917,12004,12318,31008,33516,11280,8373,5316,12153,23662,22217,24511,14119,40124,1916
,,,,,,,168.0,11,12612,9998,15434,27052,15732,21676,10456,17536,25609,26627,8306,7178,12382,11982,31463,33914,11511,8530,5460,12402,22683,22381,24452,14296,41224,1963
,,,,,,,168.0,12,12664,10268,15851,27885,15935,21856,10754,17826,26430,28047,8472,7363,12498,11924,31563,34345,11672,8657,5551,12440,22335,22542,24722,14303,41795,1990
,,,,,,,168.0,13,12813,10586,16340,28432,16143,22111,11111,18096,27100,28760,8699,7565,12746,11967,31962,35001,11792,8684,5608,12553,21990,22710,24920,14299,41627,1967
,,,,,,,168.0,14,12837,10964,16924,28570,16134,22230,11250,18306,27815,29220,8793,7659,13120,11807,31797,35120,11857,8743,5705,12663,21443,22612,24679,14259,41673,1966
,,,,,,,168.0,15,12841,11084,17109,28084,16087,22063,11296,18082,27734,28319,8848,7737,13215,11867,31757,35002,12242,8664,5721,12471,21281,22468,24351,14196,41059,1936
,,,,,,,168.0,16,12846,11289,17429,27720,15988,22011,11441,17980,27831,28132,8864,7742,13255,11949,32198,35327,12178,8613,5733,12451,21735,22706,24430,14065,40343,1893
,,,,,,,168.0,17,12665,11307,17455,28557,16145,22558,11702,18156,28328,27739,8914,7760,13627,12596,34358,36579,12332,8719,5788,12530,23589,23895,25439,14021,40122,1880
,,,,,,,168.0,18,12628,11299,17442,30361,17394,24032,12704,18652,30348,26839,9347,8083,14565,13392,36834,38623,12462,9181,6043,12875,24409,25746,27452,13962,40508,1901
,,,,,,,168.0,19,12878,11441,17665,29609,19118,25324,13108,19408,31783,26985,10117,8775,15700,13817,37183,39932,13029,9880,6419,13627,24520,26273,27817,14345,42813,2011
,,,,,,,168.0,20,13825,11953,18462,28522,19258,25606,12943,20634,32054,29010,10161,8808,15718,13544,36675,39783,13821,10286,6608,14783,24095,26413,27761,15449,46854,2192
,,,,,,,168.0,21,14575,13388,20683,26952,18796,25416,12644,20790,31388,30884,9950,8660,15439,13159,35837,39293,14287,10255,6538,14866,23152,26127,27048,16466,47514,2224
,,,,,,,168.0,22,14645,13871,21427,24738,18402,24908,12254,20531,30311,30746,9781,8538,15150,12566,34574,38186,13839,10045,6352,14701,22088,25701,26097,16448,47210,2209
,,,,,,,168.0,23,14461,13655,21095,22397,17904,24225,11714,20102,29167,30525,9512,8351,14850,11885,32984,36656,13428,9804,6148,14395,20695,24866,24887,16159,46642,2183
,,,,,,,168.0,24,14121,13157,20317,20236,17008,23320,11018,19421,27596,29209,9098,8038,14291,11088,31008,34946,12924,9394,5836,13828,19643,24037,23618,15551,45228,2122
,,,,,,,168.0,25,13533,12539,19356,18652,15055,22521,10412,18599,26123,27764,8344,7547,13595,10433,29136,33791,12129,8949,5537,13161,18889,23408,22658,14700,43327,2038
,,,,,,,168.0,26,12918,11627,17941,17678,14148,21785,9959,17802,24281,25808,7895,7129,12952,10168,28412,33159,11392,8520,5233,12496,19011,23411,22301,13820,41431,1944
,,,,,,,168.0,27,12159,10602,16361,17429,13619,21622,9796,17706,23652,23897,7562,6841,12729,10179,28120,32966,10531,8439,5150,12294,19513,23828,22646,13115,41066,1936
,,,,,,,168.0,28,11471,9604,14852,17587,13472,21678,9764,17796,23419,22188,7414,6683,12620,10449,28545,33239,10519,8458,5148,12290,20585,24409,23401,12634,41243,1950
,,,,,,,168.0,29,11389,9271,14339,18540,13442,22100,9871,18107,23636,21964,7356,6604,12715,10841,29495,34041,10792,8632,5200,12410,22227,25438,24731,12604,41958,1993
,,,,,,,168.0,30,11400,9089,14060,20338,13852,22824,10166,18699,24047,21856,7434,6660,12940,11606,31240,35601,10825,8866,5297,12690,24715,27063,26630,12752,43342,2065
,,,,,,,168.0,31,11567,9122,14112,22162,14538,24055,10742,19817,25212,22437,7697,6838,13494,12473,33591,37798,10877,9298,5500,13331,26657,28553,28530,13152,46049,2199
,,,,,,,168.0,32,11865,9320,14418,24690,15052,25370,11543,21040,26713,23444,8083,7185,14208,13166,34868,39886,11128,9862,5820,14189,27647,29412,29849,13803,50119,2417
,,,,,,,168.0,33,12425,9808,15175,26893,15253,26038,11960,21923,28474,25227,8422,7521,14867,13617,35654,40785,11580,10123,6161,14838,27784,29952,30793,14696,51792,2482
,,,,,,,168.0,34,13006,10647,16487,27878,15794,26285,12301,22284,29344,28296,8674,7816,15107,14050,36448,41779,11587,10171,6260,15009,27460,30334,31273,15125,51906,2473
,,,,,,,168.0,35,13163,10873,16832,28340,16541,26693,12730,22300,30002,29517,9163,8223,15520,14190,37522,42943,11807,10272,6276,15141,26889,30507,31165,15299,51581,2438
,,,,,,,168.0,36,13189,11217,17358,28672,17045,26979,12868,22007,30250,29788,9516,8545,15816,14236,37845,43425,11742,10420,6327,15003,26223,30477,30735,15199,51206,2423
,,,,,,,168.0,37,13250,11475,17742,28497,17299,26896,13056,21617,30389,29281,9740,8754,15783,14252,38100,43651,11664,10328,6282,14812,25779,30276,30154,15033,49785,2341
,,,,,,,168.0,38,13246,11912,18416,28197,17247,26787,13076,21152,30520,30383,9789,8818,15799,14126,38020,43520,11564,10221,6136,14590,25336,30101,29632,14885,48504,2275
,,,,,,,168.0,39,13080,12001,18551,28173,17300,26589,13060,20554,30182,29832,9832,8839,15729,14154,38264,43470,11644,10046,6005,14234,25512,30168,29416,14746,46840,2189
,,,,,,,168.0,40,12937,12035,18604,28901,17708,26830,13260,20251,30171,29030,10031,8957,15776,14713,39407,44351,11564,9949,5940,14014,27229,31193,30450,14572,45651,2131
,,,,,,,168.0,41,12790,12011,18566,31851,18522,27854,13746,20638,31223,28309,10325,9128,16202,15748,42378,46584,11740,10156,6138,14209,31214,33716,33661,14501,45616,2132
,,,,,,,168.0,42,12832,12129,18751,35181,20559,29736,15046,21912,33873,28110,11056,9656,17352,17400,47050,50316,12337,10739,6592,14870,34100,36398,37927,14746,46703,2187
,,,,,,,168.0,43,13372,12535,19383,34711,21675,31012,15331,23874,36726,29152,11870,10370,18338,17246,46161,50270,13355,11633,7190,16313,33821,36665,38315,15439,50603,2378
,,,,,,,168.0,44,14548,13262,20518,32838,21058,30194,14676,24836,35475,31660,11688,10266,17815,16668,44276,48632,14790,11726,7162,17036,32720,35582,37047,16900,54074,2527
,,,,,,,168.0,45,15420,15006,23225,30650,20693,29261,14184,24364,33249,33642,11493,10103,17381,16298,43109,47576,13991,11246,6783,16612,31826,34670,35733,17641,53569,2493
,,,,,,,168.0,46,14653,14703,22756,28292,20239,28716,13795,24022,32114,32142,11286,9912,17103,15708,41426,46257,12821,10949,6592,16393,30447,33683,34335,16990,53380,2484
,,,,,,,168.0,47,13887,13744,21269,25848,19502,27738,13115,23436,30656,29745,10926,9592,16574,14794,38844,44328,12417,10588,6352,16011,29286,32638,32785,16288,52479,2443
,,,,,,,168.0,48,13403,13171,20385,24228,18524,26735,12411,22398,28731,28178,10396,9107,15781,14018,36610,42554,11895,10087,5966,15334,28834,31874,31814,15621,50338,2354
,,,,,,,168.0,49,12766,12372,19149,23274,19024,25949,11809,21596,27444,26303,9866,8601,15054,13532,35368,41348,11139,9714,5656,14695,29231,31612,31658,14635,48334,2273
,,,,,,,168.0,50,11979,11338,17544,22839,18246,25556,11446,21080,26494,24146,9390,8173,14630,13376,34648,40651,10556,9576,5458,14252,29767,31795,31867,13722,47406,2251
,,,,,,,168.0,51,11507,10351,16011,23176,17952,25460,11259,21041,25962,22207,9070,7905,14404,13462,34522,40458,10251,9541,5389,14119,30620,32115,32378,13261,47395,2265
