period,value,model,zone,resource_name,tech_type,case,timestep,unit,planning_year
2027,238404.47322310926,SWITCH,BASN,BASN_batteries_1,Battery,base_52_week_retire,all,MWh,2027
2027,5.9217995353753945e-09,SWITCH,BASN,BASN_battery_moderate_0,Battery,base_52_week_retire,all,MWh,2027
2027,70667.25119999546,SWITCH,BASN,BASN_biomass_1,Other,base_52_week_retire,all,MWh,2027
2027,179472.38399999726,SWITCH,BASN,BASN_biomass_2,Other,base_52_week_retire,all,MWh,2027
2027,8584024.761410398,SWITCH,BASN,BASN_conventional_hydroelectric_1,Hydro,base_52_week_retire,all,MWh,2027
2027,10201288.82359489,SWITCH,BASN,BASN_conventional_steam_coal_1,Coal,base_52_week_retire,all,MWh,2027
2027,15838224.891105903,SWITCH,BASN,BASN_conventional_steam_coal_2,Coal,base_52_week_retire,all,MWh,2027
2027,2824218.7249999996,SWITCH,BASN,BASN_distributed_generation_1,Distributed Solar,base_52_week_retire,all,MWh,2027
2027,4344884.543999999,SWITCH,BASN,BASN_geothermal_1,Geothermal,base_52_week_retire,all,MWh,2027
2027,1.987006079475091e-10,SWITCH,BASN,BASN_hydrogen_fframe_ct_moderate_0,Hydro,base_52_week_retire,all,MWh,2027
2027,3.5082123943601877e-10,SWITCH,BASN,BASN_hydrogen_hframe_cc_moderate_0,Hydro,base_52_week_retire,all,MWh,2027
2027,5.544175809625006e-08,SWITCH,BASN,BASN_landbasedwind_class3_moderate_0_anyQual_0,Wind,base_52_week_retire,all,MWh,2027
2027,3.0831784537405298e-09,SWITCH,BASN,BASN_landbasedwind_class3_moderate_10_anyQual_0,Wind,base_52_week_retire,all,MWh,2027
2027,2.9927827809617493e-09,SWITCH,BASN,BASN_landbasedwind_class3_moderate_11_anyQual_1,Wind,base_52_week_retire,all,MWh,2027
2027,5.4863092633266365e-08,SWITCH,BASN,BASN_landbasedwind_class3_moderate_1_anyQual_1,Wind,base_52_week_retire,all,MWh,2027
2027,8.000989442394919e-09,SWITCH,BASN,BASN_landbasedwind_class3_moderate_2_anyQual_0,Wind,base_52_week_retire,all,MWh,2027
2027,8.536287308242502e-09,SWITCH,BASN,BASN_landbasedwind_class3_moderate_3_anyQual_1,Wind,base_52_week_retire,all,MWh,2027
2027,5.229538303545916e-09,SWITCH,BASN,BASN_landbasedwind_class3_moderate_4_anyQual_0,Wind,base_52_week_retire,all,MWh,2027
2027,5.400410676634792e-09,SWITCH,BASN,BASN_landbasedwind_class3_moderate_5_anyQual_1,Wind,base_52_week_retire,all,MWh,2027
2027,4.369676451621499e-09,SWITCH,BASN,BASN_landbasedwind_class3_moderate_6_anyQual_0,Wind,base_52_week_retire,all,MWh,2027
2027,4.059839267206652e-09,SWITCH,BASN,BASN_landbasedwind_class3_moderate_7_anyQual_1,Wind,base_52_week_retire,all,MWh,2027
2027,3.4851152493367664e-09,SWITCH,BASN,BASN_landbasedwind_class3_moderate_8_anyQual_0,Wind,base_52_week_retire,all,MWh,2027
2027,3.6136461415724116e-09,SWITCH,BASN,BASN_landbasedwind_class3_moderate_9_anyQual_1,Wind,base_52_week_retire,all,MWh,2027
2027,726650.4586883538,SWITCH,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,base_52_week_retire,all,MWh,2027
2027,42507597.94370657,SWITCH,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas,base_52_week_retire,all,MWh,2027
2027,4.439482140297136e-09,SWITCH,BASN,BASN_natural_gas_fired_combustion_turbine_1,Natural Gas,base_52_week_retire,all,MWh,2027
2027,4.9311201874185025e-09,SWITCH,BASN,BASN_natural_gas_fired_combustion_turbine_2,Natural Gas,base_52_week_retire,all,MWh,2027
2027,5.724744153148849e-09,SWITCH,BASN,BASN_natural_gas_internal_combustion_engine_1,Natural Gas,base_52_week_retire,all,MWh,2027
2027,1.4935771820752282e-09,SWITCH,BASN,BASN_natural_gas_steam_turbine_1,Natural Gas,base_52_week_retire,all,MWh,2027
2027,1.4475994874043276e-09,SWITCH,BASN,BASN_naturalgas_fframe_ct_moderate_0,Natural Gas,base_52_week_retire,all,MWh,2027
2027,1.4835396235965643e-08,SWITCH,BASN,BASN_naturalgas_hframe_cc_moderate_0,Natural Gas,base_52_week_retire,all,MWh,2027
2027,5.583066982992022e-10,SWITCH,BASN,BASN_nuclear_nuclear_moderate_0,Nuclear,base_52_week_retire,all,MWh,2027
2027,3989983.1655899887,SWITCH,BASN,BASN_onshore_wind_turbine_1,Wind,base_52_week_retire,all,MWh,2027
2027,2.8403771999148015e-10,SWITCH,BASN,BASN_petroleum_liquids_1,Other,base_52_week_retire,all,MWh,2027
2027,2004457.7280000001,SWITCH,BASN,BASN_small_hydroelectric_1,Hydro,base_52_week_retire,all,MWh,2027
2027,19972171.848528165,SWITCH,BASN,BASN_solar_photovoltaic_1,Solar,base_52_week_retire,all,MWh,2027
2027,8.041243461309241e-09,SWITCH,BASN,BASN_utilitypv_class1_moderate_0_anyQual_0,Solar,base_52_week_retire,all,MWh,2027
