region,technology,cluster,spur_miles,max_capacity
MISC,hydrogen_ccavgcf_moderate,,10,-1
MISE,hydrogen_ccavgcf_moderate,,10,-1
MISS,hydrogen_ccavgcf_moderate,,10,-1
MISW,hydrogen_ccavgcf_moderate,,10,-1
NWPP,hydrogen_ccavgcf_moderate,,10,-1
NYCW,hydrogen_ccavgcf_moderate,,10,-1
NYUP,hydrogen_ccavgcf_moderate,,10,-1
PJMC,hydrogen_ccavgcf_moderate,,10,-1
PJMD,hydrogen_ccavgcf_moderate,,10,-1
PJME,hydrogen_ccavgcf_moderate,,10,-1
PJMW,hydrogen_ccavgcf_moderate,,10,-1
RMRG,hydrogen_ccavgcf_moderate,,10,-1
SPPC,hydrogen_ccavgcf_moderate,,10,-1
SPPN,hydrogen_ccavgcf_moderate,,10,-1
SPPS,hydrogen_ccavgcf_moderate,,10,-1
SRCA,hydrogen_ccavgcf_moderate,,10,-1
SRCE,hydrogen_ccavgcf_moderate,,10,-1
SRSE,hydrogen_ccavgcf_moderate,,10,-1
SRSG,hydrogen_ccavgcf_moderate,,10,-1
TRE,hydrogen_ccavgcf_moderate,,10,-1
BASN,hydrogen_ccavgcf_retrofitngcc,,0,-1
CANO,hydrogen_ccavgcf_retrofitngcc,,0,-1
CASO,hydrogen_ccavgcf_retrofitngcc,,0,-1
FRCC,hydrogen_ccavgcf_retrofitngcc,,0,-1
ISNE,hydrogen_ccavgcf_retrofitngcc,,0,-1
MISC,hydrogen_ccavgcf_retrofitngcc,,0,-1
MISE,hydrogen_ccavgcf_retrofitngcc,,0,-1
MISS,hydrogen_ccavgcf_retrofitngcc,,0,-1
MISW,hydrogen_ccavgcf_retrofitngcc,,0,-1
NWPP,hydrogen_ccavgcf_retrofitngcc,,0,-1
NYCW,hydrogen_ccavgcf_retrofitngcc,,0,-1
NYUP,hydrogen_ccavgcf_retrofitngcc,,0,-1
PJMC,hydrogen_ccavgcf_retrofitngcc,,0,-1
PJMD,hydrogen_ccavgcf_retrofitngcc,,0,-1
PJME,hydrogen_ccavgcf_retrofitngcc,,0,-1
PJMW,hydrogen_ccavgcf_retrofitngcc,,0,-1
RMRG,hydrogen_ccavgcf_retrofitngcc,,0,-1
SPPC,hydrogen_ccavgcf_retrofitngcc,,0,-1
SPPN,hydrogen_ccavgcf_retrofitngcc,,0,-1
SPPS,hydrogen_ccavgcf_retrofitngcc,,0,-1
SRCA,hydrogen_ccavgcf_retrofitngcc,,0,-1
SRCE,hydrogen_ccavgcf_retrofitngcc,,0,-1
SRSE,hydrogen_ccavgcf_retrofitngcc,,0,-1
SRSG,hydrogen_ccavgcf_retrofitngcc,,0,-1
TRE,hydrogen_ccavgcf_retrofitngcc,,0,-1
BASN,hydrogen_ctavgcf_moderate,,10,-1
CANO,hydrogen_ctavgcf_moderate,,10,-1
CASO,hydrogen_ctavgcf_moderate,,10,-1
FRCC,hydrogen_ctavgcf_moderate,,10,-1
ISNE,hydrogen_ctavgcf_moderate,,10,-1
MISC,hydrogen_ctavgcf_moderate,,10,-1
MISE,hydrogen_ctavgcf_moderate,,10,-1
MISS,hydrogen_ctavgcf_moderate,,10,-1
MISW,hydrogen_ctavgcf_moderate,,10,-1
NWPP,hydrogen_ctavgcf_moderate,,10,-1
NYCW,hydrogen_ctavgcf_moderate,,10,-1
NYUP,hydrogen_ctavgcf_moderate,,10,-1
PJMC,hydrogen_ctavgcf_moderate,,10,-1
PJMD,hydrogen_ctavgcf_moderate,,10,-1
PJME,hydrogen_ctavgcf_moderate,,10,-1
PJMW,hydrogen_ctavgcf_moderate,,10,-1
RMRG,hydrogen_ctavgcf_moderate,,10,-1
SPPC,hydrogen_ctavgcf_moderate,,10,-1
SPPN,hydrogen_ctavgcf_moderate,,10,-1
SPPS,hydrogen_ctavgcf_moderate,,10,-1
SRCA,hydrogen_ctavgcf_moderate,,10,-1
SRCE,hydrogen_ctavgcf_moderate,,10,-1
SRSE,hydrogen_ctavgcf_moderate,,10,-1
SRSG,hydrogen_ctavgcf_moderate,,10,-1
TRE,hydrogen_ctavgcf_moderate,,10,-1
BASN,hydrogen_ctavgcf_retrofitngct,,0,-1
CANO,hydrogen_ctavgcf_retrofitngct,,0,-1
CASO,hydrogen_ctavgcf_retrofitngct,,0,-1
FRCC,hydrogen_ctavgcf_retrofitngct,,0,-1
ISNE,hydrogen_ctavgcf_retrofitngct,,0,-1
MISC,hydrogen_ctavgcf_retrofitngct,,0,-1
MISE,hydrogen_ctavgcf_retrofitngct,,0,-1
MISS,hydrogen_ctavgcf_retrofitngct,,0,-1
MISW,hydrogen_ctavgcf_retrofitngct,,0,-1
NWPP,hydrogen_ctavgcf_retrofitngct,,0,-1
NYCW,hydrogen_ctavgcf_retrofitngct,,0,-1
NYUP,hydrogen_ctavgcf_retrofitngct,,0,-1
PJMC,hydrogen_ctavgcf_retrofitngct,,0,-1
PJMD,hydrogen_ctavgcf_retrofitngct,,0,-1
PJME,hydrogen_ctavgcf_retrofitngct,,0,-1
PJMW,hydrogen_ctavgcf_retrofitngct,,0,-1
RMRG,hydrogen_ctavgcf_retrofitngct,,0,-1
SPPC,hydrogen_ctavgcf_retrofitngct,,0,-1
SPPN,hydrogen_ctavgcf_retrofitngct,,0,-1
SPPS,hydrogen_ctavgcf_retrofitngct,,0,-1
SRCA,hydrogen_ctavgcf_retrofitngct,,0,-1
SRCE,hydrogen_ctavgcf_retrofitngct,,0,-1
SRSE,hydrogen_ctavgcf_retrofitngct,,0,-1
SRSG,hydrogen_ctavgcf_retrofitngct,,0,-1
TRE,hydrogen_ctavgcf_retrofitngct,,0,-1
BASN,naturalgas_ccavgcf,,10,-1
CANO,naturalgas_ccavgcf,,10,-1
CASO,naturalgas_ccavgcf,,10,-1
FRCC,naturalgas_ccavgcf,,10,-1
ISNE,naturalgas_ccavgcf,,10,-1
MISC,naturalgas_ccavgcf,,10,-1
MISE,naturalgas_ccavgcf,,10,-1
MISS,naturalgas_ccavgcf,,10,-1
MISW,naturalgas_ccavgcf,,10,-1
NWPP,naturalgas_ccavgcf,,10,-1
