case_id,year,region,ESR_1,ESR_2,ESR_3,ESR_4,ESR_5,ESR_6,ESR_7,ESR_8,ESR_9,ESR_10,ESR_11,ESR_12,ESR_13,ESR_14,ESR_15,ESR_16,CO_2_Cap_Zone_1,CO_2_Max_Mtons_1,copy_case_id
all,2027,SPPS,0,0,0,0,0,0.0148,0,0,0,0,0,0,0,0,0,0,0,0,
all,2027,SRCA,0,0,0,0,0,0,0.0757,0,0,0,0,0,0,0,0,0,0,0,
all,2027,SRCE,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,
all,2027,SRSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2027,SRSG,0.1827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2027,TRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2027,TREW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2030,BASN,0.2027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2030,CANO,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2030,CASO,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2030,FRCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2030,ISNE,0,0.4636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17.12,
all,2030,MISC,0,0,0.1109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2030,MISE,0,0,0.1421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2030,MISS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2030,MISW,0,0,0.1255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2030,NWPP,0.186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2030,NYCW,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,1,11.12,
all,2030,NYUP,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,1,8.05,
all,2030,PJMC,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2030,PJMD,0,0,0,0,0.3821,0,0,0,0,0,0,0,0,0,0,0,1,14.51,
all,2030,PJME,0,0,0,0,0.3827,0,0,0,0,0,0,0,0,0,0,0,1,65.58,
all,2030,PJMW,0,0,0,0,0.0575,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2030,RMRG,0.1802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2030,SPPC,0,0,0,0,0,0.0679,0,0,0,0,0,0,0,0,0,0,0,0,
all,2030,SPPN,0,0,0,0,0,0.0051,0,0,0,0,0,0,0,0,0,0,0,0,
all,2030,SPPS,0,0,0,0,0,0.0196,0,0,0,0,0,0,0,0,0,0,0,0,
all,2030,SRCA,0,0,0,0,0,0,0.0754,0,0,0,0,0,0,0,0,0,0,0,
all,2030,SRCE,0,0,0,0,0,0,0.0038,0,0,0,0,0,0,0,0,0,0,0,
all,2030,SRSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2030,SRSG,0.2104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2030,TRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2030,TREW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2035,BASN,0.1889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2035,CANO,0.6,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,
all,2035,CASO,0.6,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,
all,2035,FRCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2035,ISNE,0,0.497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17.12,
all,2035,MISC,0,0,0.1153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2035,MISE,0,0,0.1384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2035,MISS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2035,MISW,0,0,0.1242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2035,NWPP,0.2077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2035,NYCW,0,0,0,0.7,0,0,0,0,0,0,0,0.85,0,0,0,0,1,11.12,
all,2035,NYUP,0,0,0,0.7,0,0,0,0,0,0,0,0.85,0,0,0,0,1,8.05,
all,2035,PJMC,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2035,PJMD,0,0,0,0,0.5509,0,0,0,0,0,0,0,0,0,0,0,1,14.51,
all,2035,PJME,0,0,0,0,0.3796,0,0,0,0,0,0,0,0,0,0,0,1,65.58,
all,2035,PJMW,0,0,0,0,0.0696,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2035,RMRG,0.1752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2035,SPPC,0,0,0,0,0,0.0685,0,0,0,0,0,0,0,0,0,0,0,0,
all,2035,SPPN,0,0,0,0,0,0.0049,0,0,0,0,0,0,0,0,0,0,0,0,
all,2035,SPPS,0,0,0,0,0,0.0218,0,0,0,0,0,0,0,0,0,0,0,0,
all,2035,SRCA,0,0,0,0,0,0,0.0745,0,0,0,0,0,0,0,0,0,0,0,
all,2035,SRCE,0,0,0,0,0,0,0.0046,0,0,0,0,0,0,0,0,0,0,0,
all,2035,SRSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2035,SRSG,0.2204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2035,TRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2035,TREW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2040,BASN,0.1829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2040,CANO,0.6,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,
all,2040,CASO,0.6,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,
all,2040,FRCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2040,ISNE,0,0.5213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17.12,
all,2040,MISC,0,0,0.1215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2040,MISE,0,0,0.1342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2040,MISS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2040,MISW,0,0,0.1247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2040,NWPP,0.2181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2040,NYCW,0,0,0,0.7,0,0,0,0,0,0,0,1,0,0,0,0,1,11.12,
all,2040,NYUP,0,0,0,0.7,0,0,0,0,0,0,0,1,0,0,0,0,1,8.05,
all,2040,PJMC,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
all,2040,PJMD,0,0,0,0,0.7434,0,0,0,0,0,0,0,0,0,0,0,1,14.51,
all,2040,PJME,0,0,0,0,0.3797,0,0,0,0,0,0,0,0,0,0,0,1,65.58,
