Line,New_Trans_Capacity,Cost_Trans_Capacity
1,0.0,0.0
2,799.9999995373531,1.3363999992271483e7
3,204.86804849919042,4.875449818183734e6
4,0.00014624832933986064,3.6146737079639957
5,1.3566353125336789e-5,0.06982601953610845
6,499.99998574235985,1.205999965610572e7
7,1299.9999554812764,1.1657099600800605e7
8,11.655297789712394,149211.12230389807
9,3.8342809136293435e-5,0.3690878807459606
10,2149.9999881060858,2.5610799858319696e7
11,438.8128918436021,1.5531343493912451e7
12,3474.9999864472315,3.704349985552748e7
13,2432.733542046551,1.5141333565697733e7
14,1216.500374164018,9.356104377695462e6
15,174.9999781870877,803599.8998351066
16,360.9870766929581,5.045877358014168e6
17,299.99984772461806,9.31169527352442e6
