Region,Resource,Zone,Cluster,AnnualSum
PJM_Rest,PJM_Rest_landbasedwind_class1_advanced_6,11,6,0.018862187253892593
PJM_Rest,PJM_Rest_utilitypv_class1_advanced_1,11,1,0.5676787391863046
PJM_Rest,PJM_Rest_utilitypv_class1_advanced_2,11,2,8.513252326512694e6
PJM_Rest,PJM_Rest_utilitypv_class1_advanced_3,11,3,0.0023447150213296037
PJM_Rest,PJM_Rest_utilitypv_class1_advanced_4,11,4,0.0030880081328750176
PJM_Rest,PJM_Rest_utilitypv_class1_advanced_5,11,5,0.002083097394757841
PJM_Rest,PJM_Rest_utilitypv_class1_advanced_6,11,6,0.018726391245268235
NENG_Rest,NENG_Rest_hydroelectric_pumped_storage_1,1,1,566964.1816259222
NY_Z_A,NY_Z_A_hydroelectric_pumped_storage_1,2,1,82734.31079486826
NY_Z_F,NY_Z_F_hydroelectric_pumped_storage_1,6,1,480868.56748663343
PJM_EMAC,PJM_EMAC_hydroelectric_pumped_storage_1,10,1,463040.0364272849
PJM_Rest,PJM_Rest_hydroelectric_pumped_storage_1,11,1,851207.2838751182
NENG_Rest,NENG_Rest_battery_advanced_0,1,0,0.17392961357531625
NY_Z_A,NY_Z_A_battery_advanced_0,2,0,3.7730806070048217
NY_Z_B,NY_Z_B_battery_advanced_0,3,0,612327.1402221347
NY_Z_C&E,NY_Z_C&E_battery_advanced_0,4,0,14.471635891251983
NY_Z_D,NY_Z_D_battery_advanced_0,5,0,112849.994578667
NY_Z_F,NY_Z_F_battery_advanced_0,6,0,306870.53475792485
NY_Z_G-I,NY_Z_G-I_battery_advanced_0,7,0,5.263420956332691
NY_Z_J,NY_Z_J_battery_advanced_0,8,0,12204.05685758445
NY_Z_K,NY_Z_K_battery_advanced_0,9,0,5136.94842351225
PJM_EMAC,PJM_EMAC_battery_advanced_0,10,0,505283.97159158543
PJM_Rest,PJM_Rest_battery_advanced_0,11,0,384352.1346128299
NY_Z_A,NY_Z_A_res_water_heat_1,2,1,3895.8296272059633
NY_Z_B,NY_Z_B_res_water_heat_1,3,1,3017.565287765991
NY_Z_C&E,NY_Z_C&E_res_water_heat_1,4,1,7039.023199131685
NY_Z_D,NY_Z_D_res_water_heat_1,5,1,752.6811597642948
NY_Z_F,NY_Z_F_res_water_heat_1,6,1,4338.712476008678
NY_Z_G-I,NY_Z_G-I_res_water_heat_1,7,1,8243.569357293898
NY_Z_J,NY_Z_J_res_water_heat_1,8,1,29980.33402866225
NY_Z_K,NY_Z_K_res_water_heat_1,9,1,10562.64690523119
PJM_EMAC,PJM_EMAC_res_water_heat_1,10,1,80625.09028195497
PJM_Rest,PJM_Rest_res_water_heat_1,11,1,347565.5899879072
NENG_Rest,NENG_Rest_res_water_heat_1,1,1,71007.74773740122
NY_Z_A,NY_Z_A_trans_light_duty_1,2,1,13606.201836210608
NY_Z_B,NY_Z_B_trans_light_duty_1,3,1,10379.740619777782
NY_Z_C&E,NY_Z_C&E_trans_light_duty_1,4,1,24280.602346944008
NY_Z_D,NY_Z_D_trans_light_duty_1,5,1,2648.5885135210037
NY_Z_F,NY_Z_F_trans_light_duty_1,6,1,14931.21342657916
NY_Z_G-I,NY_Z_G-I_trans_light_duty_1,7,1,30106.653628323253
NY_Z_J,NY_Z_J_trans_light_duty_1,8,1,114199.11344473173
NY_Z_K,NY_Z_K_trans_light_duty_1,9,1,42552.74363697534
PJM_EMAC,PJM_EMAC_trans_light_duty_1,10,1,349878.42282158445
PJM_Rest,PJM_Rest_trans_light_duty_1,11,1,1.0630899233637939e6
NENG_Rest,NENG_Rest_trans_light_duty_1,1,1,302930.9329734929
NENG_Rest,NENG_Rest_biomass_1,1,1,55358.326220091076
NENG_Rest,NENG_Rest_biomass_2,1,2,105090.06846371385
NENG_Rest,NENG_Rest_biomass_3,1,3,196930.43917638954
NENG_Rest,NENG_Rest_small_hydroelectric_1,1,1,357572.694088982
NY_Z_A,NY_Z_A_biomass_1,2,1,34471.344050325264
NY_Z_A,NY_Z_A_small_hydroelectric_1,2,1,901.8810104830017
NY_Z_B,NY_Z_B_biomass_1,3,1,15941.18328321535
NY_Z_B,NY_Z_B_small_hydroelectric_1,3,1,43835.808069348146
NY_Z_C&E,NY_Z_C&E_biomass_1,4,1,122274.52541882804
NY_Z_C&E,NY_Z_C&E_small_hydroelectric_1,4,1,179543.93181667823
NY_Z_D,NY_Z_D_small_hydroelectric_1,5,1,37662.409751426916
NY_Z_F,NY_Z_F_small_hydroelectric_1,6,1,81166.81319432506
NY_Z_G-I,NY_Z_G-I_small_hydroelectric_1,7,1,16468.208919209057
PJM_EMAC,PJM_EMAC_biomass_1,10,1,273707.28965631966
PJM_EMAC,PJM_EMAC_small_hydroelectric_1,10,1,4881.534754877009
PJM_Rest,PJM_Rest_biomass_1,11,1,224942.0049011372
PJM_Rest,PJM_Rest_biomass_2,11,2,129903.16974544068
PJM_Rest,PJM_Rest_small_hydroelectric_1,11,1,148852.4360912439
NENG_Rest,NENG_Rest_distributed_generation_1,1,1,0.016527132920948956
NY_Z_A,NY_Z_A_distributed_generation_1,2,1,1.5333433807438146e-6
NY_Z_B,NY_Z_B_distributed_generation_1,3,1,18493.910520005407
NY_Z_C&E,NY_Z_C&E_distributed_generation_1,4,1,6.225548786017187e-6
NY_Z_D,NY_Z_D_distributed_generation_1,5,1,1.3466266051830431e-5
NY_Z_F,NY_Z_F_distributed_generation_1,6,1,6.816752543332386e-6
NY_Z_G-I,NY_Z_G-I_distributed_generation_1,7,1,2.497701051651741e-5
NY_Z_J,NY_Z_J_distributed_generation_1,8,1,0.00048825518681804524
NY_Z_K,NY_Z_K_distributed_generation_1,9,1,7.966205711770568e-5
PJM_EMAC,PJM_EMAC_distributed_generation_1,10,1,0.01773682758667428
PJM_Rest,PJM_Rest_distributed_generation_1,11,1,0.014580261912621776
