MinCapReqConstraint,Constraint_Description,Min_MW
1,NY_offshorewind,4360.0
2,PJME_offshorewind,5522.5
3,PJMD_offshorewind,2640.0
4,ISNE_offshorewind,8945.0
5,SRCA_offshorewind,2800.0
