model,line,line_name,planning_year,case,unit,start_value,end_value
TEMOA,21,MISC_to_SRCE,2030,current_policies_52_week_retire,MW,3746.32,3760.69
TEMOA,22,MISE_to_MISW,2030,current_policies_52_week_retire,MW,0,22.1751
TEMOA,23,MISE_to_PJMW,2030,current_policies_52_week_retire,MW,2663.74,2678.86
TEMOA,24,MISS_to_SPPC,2030,current_policies_52_week_retire,MW,254.804,802.078
TEMOA,25,MISS_to_SPPS,2030,current_policies_52_week_retire,MW,4706.84,7744.66
TEMOA,26,MISS_to_SRCE,2030,current_policies_52_week_retire,MW,4093.67,4108.8
TEMOA,27,MISS_to_SRSE,2030,current_policies_52_week_retire,MW,895.122,950.707
TEMOA,28,MISW_to_NWPP,2030,current_policies_52_week_retire,MW,200.849,209.664
TEMOA,29,MISW_to_PJMC,2030,current_policies_52_week_retire,MW,3202.99,3284.71
TEMOA,30,MISW_to_SPPC,2030,current_policies_52_week_retire,MW,0,13.0372
TEMOA,31,MISW_to_SPPN,2030,current_policies_52_week_retire,MW,5513.49,5531.98
TEMOA,32,NWPP_to_RMRG,2030,current_policies_52_week_retire,MW,403.211,429.588
TEMOA,33,NYCW_to_NYUP,2030,current_policies_52_week_retire,MW,6128.84,6214.01
TEMOA,34,NYCW_to_PJME,2030,current_policies_52_week_retire,MW,812.225,1698.04
TEMOA,35,NYUP_to_PJME,2030,current_policies_52_week_retire,MW,3705.42,6898.66
TEMOA,36,PJMC_to_PJMW,2030,current_policies_52_week_retire,MW,982.496,997.069
TEMOA,37,PJMD_to_PJME,2030,current_policies_52_week_retire,MW,2128.12,4309.68
TEMOA,38,PJMD_to_PJMW,2030,current_policies_52_week_retire,MW,6931.11,6940.79
TEMOA,39,PJMD_to_SRCA,2030,current_policies_52_week_retire,MW,1004.21,1015.98
TEMOA,40,PJME_to_PJMW,2030,current_policies_52_week_retire,MW,3886.61,3907.03
TEMOA,41,PJMW_to_SRCA,2030,current_policies_52_week_retire,MW,1220.89,1231.63
TEMOA,42,PJMW_to_SRCE,2030,current_policies_52_week_retire,MW,3334.29,3353.11
TEMOA,43,RMRG_to_SPPC,2030,current_policies_52_week_retire,MW,1060.36,1285.59
TEMOA,44,RMRG_to_SPPN,2030,current_policies_52_week_retire,MW,2727.78,2934.92
TEMOA,45,RMRG_to_SRSG,2030,current_policies_52_week_retire,MW,622.368,682.552
TEMOA,46,SPPC_to_SPPN,2030,current_policies_52_week_retire,MW,2305.56,2547.98
TEMOA,47,SPPC_to_SPPS,2030,current_policies_52_week_retire,MW,3379,3436.6
TEMOA,48,SPPN_to_SPPS,2030,current_policies_52_week_retire,MW,1533.92,2251.39
TEMOA,49,SPPS_to_SRSG,2030,current_policies_52_week_retire,MW,3712.48,5068.44
TEMOA,50,SPPS_to_TRE,2030,current_policies_52_week_retire,MW,2082.13,2765.72
TEMOA,52,SRCA_to_SRCE,2030,current_policies_52_week_retire,MW,217.547,227.897
TEMOA,53,SRCA_to_SRSE,2030,current_policies_52_week_retire,MW,1401.07,1410.01
TEMOA,54,SRCE_to_SRSE,2030,current_policies_52_week_retire,MW,3198.92,3247.53
TEMOA,56,NWPP_to_SPPN,2030,current_policies_52_week_retire,MW,0,51.7719
TEMOA,57,SRSG_to_TRE,2030,current_policies_52_week_retire,MW,0,263.761
TEMOA,1,BASN_to_CANO,2035,current_policies_52_week_retire,MW,107.735,103.03
TEMOA,2,BASN_to_CASO,2035,current_policies_52_week_retire,MW,5930.87,5933.88
TEMOA,3,BASN_to_NWPP,2035,current_policies_52_week_retire,MW,3355.86,3351.61
TEMOA,4,BASN_to_RMRG,2035,current_policies_52_week_retire,MW,3788.51,3823.39
TEMOA,5,BASN_to_SRSG,2035,current_policies_52_week_retire,MW,5394.34,5386.67
TEMOA,6,CANO_to_CASO,2035,current_policies_52_week_retire,MW,3687.72,3691.21
TEMOA,7,CANO_to_NWPP,2035,current_policies_52_week_retire,MW,3684.27,3677.08
TEMOA,8,CASO_to_NWPP,2035,current_policies_52_week_retire,MW,2866.22,2860.21
TEMOA,9,CASO_to_SRSG,2035,current_policies_52_week_retire,MW,4388.65,4404.08
TEMOA,10,FRCC_to_SRSE,2035,current_policies_52_week_retire,MW,3608.85,3604.38
TEMOA,11,ISNE_to_NYCW,2035,current_policies_52_week_retire,MW,772.296,777.205
TEMOA,12,ISNE_to_NYUP,2035,current_policies_52_week_retire,MW,5117.03,6019.91
TEMOA,13,MISC_to_MISE,2035,current_policies_52_week_retire,MW,14.0002,878.083
TEMOA,14,MISC_to_MISS,2035,current_policies_52_week_retire,MW,1051.87,1058.02
TEMOA,15,MISC_to_MISW,2035,current_policies_52_week_retire,MW,1667.91,1671.2
TEMOA,16,MISC_to_PJMC,2035,current_policies_52_week_retire,MW,5266.12,5274.37
TEMOA,17,MISC_to_PJMW,2035,current_policies_52_week_retire,MW,5461.1,5493.38
TEMOA,18,MISC_to_SPPC,2035,current_policies_52_week_retire,MW,3290.37,6875.45
TEMOA,19,MISC_to_SPPN,2035,current_policies_52_week_retire,MW,288.118,490.255
TEMOA,20,MISC_to_SPPS,2035,current_policies_52_week_retire,MW,1730.17,2247.78
TEMOA,21,MISC_to_SRCE,2035,current_policies_52_week_retire,MW,3760.69,3765.85
TEMOA,22,MISE_to_MISW,2035,current_policies_52_week_retire,MW,22.1751,51.4818
TEMOA,23,MISE_to_PJMW,2035,current_policies_52_week_retire,MW,2678.86,2682.65
TEMOA,24,MISS_to_SPPC,2035,current_policies_52_week_retire,MW,802.078,1887.29
TEMOA,25,MISS_to_SPPS,2035,current_policies_52_week_retire,MW,7744.66,11757
TEMOA,26,MISS_to_SRCE,2035,current_policies_52_week_retire,MW,4108.8,4115.05
TEMOA,27,MISS_to_SRSE,2035,current_policies_52_week_retire,MW,950.707,6691.33
TEMOA,28,MISW_to_NWPP,2035,current_policies_52_week_retire,MW,209.664,205.209
TEMOA,29,MISW_to_PJMC,2035,current_policies_52_week_retire,MW,3284.71,3319.38
TEMOA,30,MISW_to_SPPC,2035,current_policies_52_week_retire,MW,13.0372,19.9181
TEMOA,31,MISW_to_SPPN,2035,current_policies_52_week_retire,MW,5531.98,5537.45
TEMOA,32,NWPP_to_RMRG,2035,current_policies_52_week_retire,MW,429.588,1548.42
TEMOA,33,NYCW_to_NYUP,2035,current_policies_52_week_retire,MW,6214.01,6237.94
TEMOA,34,NYCW_to_PJME,2035,current_policies_52_week_retire,MW,1698.04,3552.98
TEMOA,35,NYUP_to_PJME,2035,current_policies_52_week_retire,MW,6898.66,6928.82
TEMOA,36,PJMC_to_PJMW,2035,current_policies_52_week_retire,MW,997.069,4372.27
TEMOA,37,PJMD_to_PJME,2035,current_policies_52_week_retire,MW,4309.68,6748.58
TEMOA,38,PJMD_to_PJMW,2035,current_policies_52_week_retire,MW,6940.79,6946
TEMOA,39,PJMD_to_SRCA,2035,current_policies_52_week_retire,MW,1015.98,2544.19
TEMOA,40,PJME_to_PJMW,2035,current_policies_52_week_retire,MW,3907.03,4173.96
TEMOA,41,PJMW_to_SRCA,2035,current_policies_52_week_retire,MW,1231.63,1249.46
TEMOA,42,PJMW_to_SRCE,2035,current_policies_52_week_retire,MW,3353.11,3396.22
TEMOA,43,RMRG_to_SPPC,2035,current_policies_52_week_retire,MW,1285.59,3922.46
TEMOA,44,RMRG_to_SPPN,2035,current_policies_52_week_retire,MW,2934.92,3831.32
TEMOA,45,RMRG_to_SRSG,2035,current_policies_52_week_retire,MW,682.552,2268.76
TEMOA,46,SPPC_to_SPPN,2035,current_policies_52_week_retire,MW,2547.98,2610.24
TEMOA,47,SPPC_to_SPPS,2035,current_policies_52_week_retire,MW,3436.6,3472.29
TEMOA,48,SPPN_to_SPPS,2035,current_policies_52_week_retire,MW,2251.39,2496.19
TEMOA,49,SPPS_to_SRSG,2035,current_policies_52_week_retire,MW,5068.44,9167.39
TEMOA,50,SPPS_to_TRE,2035,current_policies_52_week_retire,MW,2765.72,3069.54
TEMOA,52,SRCA_to_SRCE,2035,current_policies_52_week_retire,MW,227.897,408.278
TEMOA,53,SRCA_to_SRSE,2035,current_policies_52_week_retire,MW,1410.01,1421.57
TEMOA,54,SRCE_to_SRSE,2035,current_policies_52_week_retire,MW,3247.53,4103.59
TEMOA,56,NWPP_to_SPPN,2035,current_policies_52_week_retire,MW,51.7719,1275.96
TEMOA,57,SRSG_to_TRE,2035,current_policies_52_week_retire,MW,263.761,1264
TEMOA,1,BASN_to_CANO,2040,current_policies_52_week_retire,MW,103.03,102.521
TEMOA,2,BASN_to_CASO,2040,current_policies_52_week_retire,MW,5933.88,5934.25
TEMOA,3,BASN_to_NWPP,2040,current_policies_52_week_retire,MW,3351.61,3351.95
TEMOA,4,BASN_to_RMRG,2040,current_policies_52_week_retire,MW,3823.39,3835.38
TEMOA,5,BASN_to_SRSG,2040,current_policies_52_week_retire,MW,5386.67,5387.72
TEMOA,6,CANO_to_CASO,2040,current_policies_52_week_retire,MW,3691.21,3691.22
TEMOA,7,CANO_to_NWPP,2040,current_policies_52_week_retire,MW,3677.08,3678.64
TEMOA,8,CASO_to_NWPP,2040,current_policies_52_week_retire,MW,2860.21,2860.88
TEMOA,9,CASO_to_SRSG,2040,current_policies_52_week_retire,MW,4404.08,4414.87
TEMOA,10,FRCC_to_SRSE,2040,current_policies_52_week_retire,MW,3604.38,3752.06
TEMOA,11,ISNE_to_NYCW,2040,current_policies_52_week_retire,MW,777.205,776.728
TEMOA,12,ISNE_to_NYUP,2040,current_policies_52_week_retire,MW,6019.91,7720.99
TEMOA,13,MISC_to_MISE,2040,current_policies_52_week_retire,MW,878.083,1019.35
TEMOA,14,MISC_to_MISS,2040,current_policies_52_week_retire,MW,1058.02,1061.09
TEMOA,15,MISC_to_MISW,2040,current_policies_52_week_retire,MW,1671.2,1671.5
TEMOA,16,MISC_to_PJMC,2040,current_policies_52_week_retire,MW,5274.37,5273.41
TEMOA,17,MISC_to_PJMW,2040,current_policies_52_week_retire,MW,5493.38,5678.16
TEMOA,18,MISC_to_SPPC,2040,current_policies_52_week_retire,MW,6875.45,9281.6
TEMOA,19,MISC_to_SPPN,2040,current_policies_52_week_retire,MW,490.255,697.922
TEMOA,20,MISC_to_SPPS,2040,current_policies_52_week_retire,MW,2247.78,2401.76
TEMOA,21,MISC_to_SRCE,2040,current_policies_52_week_retire,MW,3765.85,3765.58
TEMOA,22,MISE_to_MISW,2040,current_policies_52_week_retire,MW,51.4818,237.868
TEMOA,23,MISE_to_PJMW,2040,current_policies_52_week_retire,MW,2682.65,2683.13
TEMOA,24,MISS_to_SPPC,2040,current_policies_52_week_retire,MW,1887.29,1966.11
TEMOA,25,MISS_to_SPPS,2040,current_policies_52_week_retire,MW,11757,13973.9
TEMOA,26,MISS_to_SRCE,2040,current_policies_52_week_retire,MW,4115.05,4118.68
TEMOA,27,MISS_to_SRSE,2040,current_policies_52_week_retire,MW,6691.33,6727.14
TEMOA,28,MISW_to_NWPP,2040,current_policies_52_week_retire,MW,205.209,204.299
TEMOA,29,MISW_to_PJMC,2040,current_policies_52_week_retire,MW,3319.38,3436.9
TEMOA,30,MISW_to_SPPC,2040,current_policies_52_week_retire,MW,19.9181,25.9025
TEMOA,31,MISW_to_SPPN,2040,current_policies_52_week_retire,MW,5537.45,5540.52
TEMOA,32,NWPP_to_RMRG,2040,current_policies_52_week_retire,MW,1548.42,1562.05
TEMOA,33,NYCW_to_NYUP,2040,current_policies_52_week_retire,MW,6237.94,6909.48
TEMOA,34,NYCW_to_PJME,2040,current_policies_52_week_retire,MW,3552.98,3793.5
TEMOA,35,NYUP_to_PJME,2040,current_policies_52_week_retire,MW,6928.82,6993.2
TEMOA,36,PJMC_to_PJMW,2040,current_policies_52_week_retire,MW,4372.27,5867.56
TEMOA,37,PJMD_to_PJME,2040,current_policies_52_week_retire,MW,6748.58,7329.99
TEMOA,38,PJMD_to_PJMW,2040,current_policies_52_week_retire,MW,6946,6952.85
TEMOA,39,PJMD_to_SRCA,2040,current_policies_52_week_retire,MW,2544.19,2561.09
TEMOA,40,PJME_to_PJMW,2040,current_policies_52_week_retire,MW,4173.96,5956.51
TEMOA,41,PJMW_to_SRCA,2040,current_policies_52_week_retire,MW,1249.46,1259.4
TEMOA,42,PJMW_to_SRCE,2040,current_policies_52_week_retire,MW,3396.22,3419.48
TEMOA,43,RMRG_to_SPPC,2040,current_policies_52_week_retire,MW,3922.46,5420.94
TEMOA,44,RMRG_to_SPPN,2040,current_policies_52_week_retire,MW,3831.32,4904.85
TEMOA,45,RMRG_to_SRSG,2040,current_policies_52_week_retire,MW,2268.76,2292.37
TEMOA,46,SPPC_to_SPPN,2040,current_policies_52_week_retire,MW,2610.24,2690.28
TEMOA,47,SPPC_to_SPPS,2040,current_policies_52_week_retire,MW,3472.29,3519.65
TEMOA,48,SPPN_to_SPPS,2040,current_policies_52_week_retire,MW,2496.19,2605.3
TEMOA,49,SPPS_to_SRSG,2040,current_policies_52_week_retire,MW,9167.39,9271.46
TEMOA,50,SPPS_to_TRE,2040,current_policies_52_week_retire,MW,3069.54,3251.94
TEMOA,52,SRCA_to_SRCE,2040,current_policies_52_week_retire,MW,408.278,986.896
TEMOA,53,SRCA_to_SRSE,2040,current_policies_52_week_retire,MW,1421.57,1636.4
TEMOA,54,SRCE_to_SRSE,2040,current_policies_52_week_retire,MW,4103.59,4110.28
TEMOA,56,NWPP_to_SPPN,2040,current_policies_52_week_retire,MW,1275.96,1289.29
TEMOA,57,SRSG_to_TRE,2040,current_policies_52_week_retire,MW,1264,1293.5
TEMOA,1,BASN_to_CANO,2045,current_policies_52_week_retire,MW,102.521,105.509
TEMOA,2,BASN_to_CASO,2045,current_policies_52_week_retire,MW,5934.25,5934.11
TEMOA,3,BASN_to_NWPP,2045,current_policies_52_week_retire,MW,3351.95,3352
TEMOA,4,BASN_to_RMRG,2045,current_policies_52_week_retire,MW,3835.38,3901.14
TEMOA,5,BASN_to_SRSG,2045,current_policies_52_week_retire,MW,5387.72,5386.94
TEMOA,6,CANO_to_CASO,2045,current_policies_52_week_retire,MW,3691.22,3692.62
TEMOA,7,CANO_to_NWPP,2045,current_policies_52_week_retire,MW,3678.64,3679.7
TEMOA,8,CASO_to_NWPP,2045,current_policies_52_week_retire,MW,2860.88,2861.62
TEMOA,9,CASO_to_SRSG,2045,current_policies_52_week_retire,MW,4414.87,4437.22
TEMOA,10,FRCC_to_SRSE,2045,current_policies_52_week_retire,MW,3752.06,3779.42
TEMOA,11,ISNE_to_NYCW,2045,current_policies_52_week_retire,MW,776.728,785.968
TEMOA,12,ISNE_to_NYUP,2045,current_policies_52_week_retire,MW,7720.99,7801.95
TEMOA,13,MISC_to_MISE,2045,current_policies_52_week_retire,MW,1019.35,1140.01
TEMOA,14,MISC_to_MISS,2045,current_policies_52_week_retire,MW,1061.09,1071.07
TEMOA,15,MISC_to_MISW,2045,current_policies_52_week_retire,MW,1671.5,1674.2
TEMOA,16,MISC_to_PJMC,2045,current_policies_52_week_retire,MW,5273.41,5282.06
TEMOA,17,MISC_to_PJMW,2045,current_policies_52_week_retire,MW,5678.16,5744.06
TEMOA,18,MISC_to_SPPC,2045,current_policies_52_week_retire,MW,9281.6,9398.38
TEMOA,19,MISC_to_SPPN,2045,current_policies_52_week_retire,MW,697.922,742.62
TEMOA,20,MISC_to_SPPS,2045,current_policies_52_week_retire,MW,2401.76,2491.52
TEMOA,21,MISC_to_SRCE,2045,current_policies_52_week_retire,MW,3765.58,3770.54
TEMOA,22,MISE_to_MISW,2045,current_policies_52_week_retire,MW,237.868,260.516
TEMOA,23,MISE_to_PJMW,2045,current_policies_52_week_retire,MW,2683.13,2686.5
TEMOA,24,MISS_to_SPPC,2045,current_policies_52_week_retire,MW,1966.11,2001.14
TEMOA,25,MISS_to_SPPS,2045,current_policies_52_week_retire,MW,13973.9,13998.8
TEMOA,26,MISS_to_SRCE,2045,current_policies_52_week_retire,MW,4118.68,4123
TEMOA,27,MISS_to_SRSE,2045,current_policies_52_week_retire,MW,6727.14,6782.48
TEMOA,28,MISW_to_NWPP,2045,current_policies_52_week_retire,MW,204.299,210.894
TEMOA,29,MISW_to_PJMC,2045,current_policies_52_week_retire,MW,3436.9,3465.5
TEMOA,30,MISW_to_SPPC,2045,current_policies_52_week_retire,MW,25.9025,43.7788
TEMOA,31,MISW_to_SPPN,2045,current_policies_52_week_retire,MW,5540.52,5539.95
TEMOA,32,NWPP_to_RMRG,2045,current_policies_52_week_retire,MW,1562.05,1613.97
TEMOA,33,NYCW_to_NYUP,2045,current_policies_52_week_retire,MW,6909.48,7315.79
TEMOA,34,NYCW_to_PJME,2045,current_policies_52_week_retire,MW,3793.5,3876.13
TEMOA,35,NYUP_to_PJME,2045,current_policies_52_week_retire,MW,6993.2,11341.4
TEMOA,36,PJMC_to_PJMW,2045,current_policies_52_week_retire,MW,5867.56,6617.47
TEMOA,37,PJMD_to_PJME,2045,current_policies_52_week_retire,MW,7329.99,7396.06
TEMOA,38,PJMD_to_PJMW,2045,current_policies_52_week_retire,MW,6952.85,6963.29
TEMOA,39,PJMD_to_SRCA,2045,current_policies_52_week_retire,MW,2561.09,2587.93
TEMOA,40,PJME_to_PJMW,2045,current_policies_52_week_retire,MW,5956.51,6479.77
TEMOA,41,PJMW_to_SRCA,2045,current_policies_52_week_retire,MW,1259.4,1261.8
TEMOA,42,PJMW_to_SRCE,2045,current_policies_52_week_retire,MW,3419.48,3567.66
TEMOA,43,RMRG_to_SPPC,2045,current_policies_52_week_retire,MW,5420.94,5495.41
TEMOA,44,RMRG_to_SPPN,2045,current_policies_52_week_retire,MW,4904.85,5031.47
TEMOA,45,RMRG_to_SRSG,2045,current_policies_52_week_retire,MW,2292.37,2352.42
TEMOA,46,SPPC_to_SPPN,2045,current_policies_52_week_retire,MW,2690.28,2746.85
TEMOA,47,SPPC_to_SPPS,2045,current_policies_52_week_retire,MW,3519.65,3663.47
TEMOA,48,SPPN_to_SPPS,2045,current_policies_52_week_retire,MW,2605.3,2707.87
TEMOA,49,SPPS_to_SRSG,2045,current_policies_52_week_retire,MW,9271.46,11943.3
TEMOA,50,SPPS_to_TRE,2045,current_policies_52_week_retire,MW,3251.94,3324.96
TEMOA,52,SRCA_to_SRCE,2045,current_policies_52_week_retire,MW,986.896,1020.04
TEMOA,53,SRCA_to_SRSE,2045,current_policies_52_week_retire,MW,1636.4,1663.59
TEMOA,54,SRCE_to_SRSE,2045,current_policies_52_week_retire,MW,4110.28,4113.3
TEMOA,56,NWPP_to_SPPN,2045,current_policies_52_week_retire,MW,1289.29,1428.55
TEMOA,57,SRSG_to_TRE,2045,current_policies_52_week_retire,MW,1293.5,1350.12
TEMOA,1,BASN_to_CANO,2050,current_policies_52_week_retire,MW,105.509,100.836
TEMOA,2,BASN_to_CASO,2050,current_policies_52_week_retire,MW,5934.11,5931.58
TEMOA,3,BASN_to_NWPP,2050,current_policies_52_week_retire,MW,3352,3350.4
TEMOA,4,BASN_to_RMRG,2050,current_policies_52_week_retire,MW,3901.14,3906.11
TEMOA,5,BASN_to_SRSG,2050,current_policies_52_week_retire,MW,5386.94,5385.42
