model,line,line_name,planning_year,case,unit,value
TEMOA,26,MISS_to_SRCE,2035,base_52_retire,MW,17.3239
TEMOA,27,MISS_to_SRSE,2035,base_52_retire,MW,1149.52
TEMOA,29,MISW_to_PJMC,2035,base_52_retire,MW,124.271
TEMOA,30,MISW_to_SPPC,2035,base_52_retire,MW,18.028
TEMOA,31,MISW_to_SPPN,2035,base_52_retire,MW,28.7678
TEMOA,32,NWPP_to_RMRG,2035,base_52_retire,MW,925.715
TEMOA,33,NYCW_to_NYUP,2035,base_52_retire,MW,18.4249
TEMOA,34,NYCW_to_PJME,2035,base_52_retire,MW,4300.84
TEMOA,35,NYUP_to_PJME,2035,base_52_retire,MW,2268.7
TEMOA,36,PJMC_to_PJMW,2035,base_52_retire,MW,688.915
TEMOA,37,PJMD_to_PJME,2035,base_52_retire,MW,140.183
TEMOA,38,PJMD_to_PJMW,2035,base_52_retire,MW,36.1084
TEMOA,39,PJMD_to_SRCA,2035,base_52_retire,MW,1669.07
TEMOA,40,PJME_to_PJMW,2035,base_52_retire,MW,20297
TEMOA,42,PJMW_to_SRCE,2035,base_52_retire,MW,63.7301
TEMOA,43,RMRG_to_SPPC,2035,base_52_retire,MW,1954.74
TEMOA,44,RMRG_to_SPPN,2035,base_52_retire,MW,859.383
TEMOA,45,RMRG_to_SRSG,2035,base_52_retire,MW,537.549
TEMOA,46,SPPC_to_SPPN,2035,base_52_retire,MW,192.239
TEMOA,47,SPPC_to_SPPS,2035,base_52_retire,MW,106.406
TEMOA,48,SPPN_to_SPPS,2035,base_52_retire,MW,296.105
TEMOA,49,SPPS_to_SRSG,2035,base_52_retire,MW,2783.64
TEMOA,50,SPPS_to_TRE,2035,base_52_retire,MW,183.653
TEMOA,52,SRCA_to_SRCE,2035,base_52_retire,MW,60.467
TEMOA,53,SRCA_to_SRSE,2035,base_52_retire,MW,12.5915
TEMOA,54,SRCE_to_SRSE,2035,base_52_retire,MW,33.6043
TEMOA,56,NWPP_to_SPPN,2035,base_52_retire,MW,696.587
TEMOA,57,SRSG_to_TRE,2035,base_52_retire,MW,921.824
TEMOA,1,BASN_to_CANO,2040,base_52_retire,MW,10.2838
TEMOA,2,BASN_to_CASO,2040,base_52_retire,MW,19.0051
TEMOA,4,BASN_to_RMRG,2040,base_52_retire,MW,525.253
TEMOA,5,BASN_to_SRSG,2040,base_52_retire,MW,10.1874
TEMOA,6,CANO_to_CASO,2040,base_52_retire,MW,10.0565
TEMOA,7,CANO_to_NWPP,2040,base_52_retire,MW,12.0119
TEMOA,9,CASO_to_SRSG,2040,base_52_retire,MW,433.845
TEMOA,10,FRCC_to_SRSE,2040,base_52_retire,MW,834.653
TEMOA,11,ISNE_to_NYCW,2040,base_52_retire,MW,16.6469
TEMOA,12,ISNE_to_NYUP,2040,base_52_retire,MW,707.083
TEMOA,13,MISC_to_MISE,2040,base_52_retire,MW,120.11
TEMOA,14,MISC_to_MISS,2040,base_52_retire,MW,10.1225
TEMOA,16,MISC_to_PJMC,2040,base_52_retire,MW,27.9955
TEMOA,17,MISC_to_PJMW,2040,base_52_retire,MW,3748.71
TEMOA,18,MISC_to_SPPC,2040,base_52_retire,MW,2975.34
TEMOA,19,MISC_to_SPPN,2040,base_52_retire,MW,445.124
TEMOA,20,MISC_to_SPPS,2040,base_52_retire,MW,996.728
TEMOA,21,MISC_to_SRCE,2040,base_52_retire,MW,12.7271
TEMOA,22,MISE_to_MISW,2040,base_52_retire,MW,69.0855
TEMOA,24,MISS_to_SPPC,2040,base_52_retire,MW,115.515
TEMOA,25,MISS_to_SPPS,2040,base_52_retire,MW,196.657
TEMOA,26,MISS_to_SRCE,2040,base_52_retire,MW,18.1836
TEMOA,27,MISS_to_SRSE,2040,base_52_retire,MW,496.312
TEMOA,28,MISW_to_NWPP,2040,base_52_retire,MW,16.0079
TEMOA,29,MISW_to_PJMC,2040,base_52_retire,MW,96.5284
TEMOA,30,MISW_to_SPPC,2040,base_52_retire,MW,27.4918
TEMOA,31,MISW_to_SPPN,2040,base_52_retire,MW,30.1399
TEMOA,32,NWPP_to_RMRG,2040,base_52_retire,MW,1119.71
TEMOA,33,NYCW_to_NYUP,2040,base_52_retire,MW,11.1257
TEMOA,34,NYCW_to_PJME,2040,base_52_retire,MW,1902.09
TEMOA,35,NYUP_to_PJME,2040,base_52_retire,MW,917.83
TEMOA,36,PJMC_to_PJMW,2040,base_52_retire,MW,90.0829
TEMOA,37,PJMD_to_PJME,2040,base_52_retire,MW,273.365
TEMOA,38,PJMD_to_PJMW,2040,base_52_retire,MW,42.4518
TEMOA,39,PJMD_to_SRCA,2040,base_52_retire,MW,264.744
TEMOA,40,PJME_to_PJMW,2040,base_52_retire,MW,9355.69
TEMOA,41,PJMW_to_SRCA,2040,base_52_retire,MW,14.5441
TEMOA,42,PJMW_to_SRCE,2040,base_52_retire,MW,65.518
TEMOA,43,RMRG_to_SPPC,2040,base_52_retire,MW,2440.28
TEMOA,44,RMRG_to_SPPN,2040,base_52_retire,MW,784.254
TEMOA,45,RMRG_to_SRSG,2040,base_52_retire,MW,353.332
TEMOA,46,SPPC_to_SPPN,2040,base_52_retire,MW,81.9361
TEMOA,47,SPPC_to_SPPS,2040,base_52_retire,MW,261.487
TEMOA,48,SPPN_to_SPPS,2040,base_52_retire,MW,479.686
TEMOA,49,SPPS_to_SRSG,2040,base_52_retire,MW,1858.33
TEMOA,50,SPPS_to_TRE,2040,base_52_retire,MW,65.3761
TEMOA,52,SRCA_to_SRCE,2040,base_52_retire,MW,244.211
TEMOA,53,SRCA_to_SRSE,2040,base_52_retire,MW,49.4414
TEMOA,54,SRCE_to_SRSE,2040,base_52_retire,MW,25.7167
TEMOA,56,NWPP_to_SPPN,2040,base_52_retire,MW,855.67
TEMOA,57,SRSG_to_TRE,2040,base_52_retire,MW,790.912
TEMOA,1,BASN_to_CANO,2045,base_52_retire,MW,10.1024
TEMOA,2,BASN_to_CASO,2045,base_52_retire,MW,14.2287
TEMOA,4,BASN_to_RMRG,2045,base_52_retire,MW,734.25
TEMOA,6,CANO_to_CASO,2045,base_52_retire,MW,13.514
TEMOA,7,CANO_to_NWPP,2045,base_52_retire,MW,15.9526
TEMOA,9,CASO_to_SRSG,2045,base_52_retire,MW,674.588
TEMOA,10,FRCC_to_SRSE,2045,base_52_retire,MW,348.669
TEMOA,11,ISNE_to_NYCW,2045,base_52_retire,MW,17.7922
TEMOA,12,ISNE_to_NYUP,2045,base_52_retire,MW,87.3301
TEMOA,13,MISC_to_MISE,2045,base_52_retire,MW,139.198
TEMOA,14,MISC_to_MISS,2045,base_52_retire,MW,11.2376
TEMOA,15,MISC_to_MISW,2045,base_52_retire,MW,10.0362
TEMOA,16,MISC_to_PJMC,2045,base_52_retire,MW,35.0997
TEMOA,17,MISC_to_PJMW,2045,base_52_retire,MW,557.824
TEMOA,18,MISC_to_SPPC,2045,base_52_retire,MW,795.657
TEMOA,19,MISC_to_SPPN,2045,base_52_retire,MW,581.167
TEMOA,20,MISC_to_SPPS,2045,base_52_retire,MW,319.2
TEMOA,21,MISC_to_SRCE,2045,base_52_retire,MW,12.9012
TEMOA,22,MISE_to_MISW,2045,base_52_retire,MW,20.6016
TEMOA,23,MISE_to_PJMW,2045,base_52_retire,MW,10.8957
TEMOA,24,MISS_to_SPPC,2045,base_52_retire,MW,63.5
TEMOA,25,MISS_to_SPPS,2045,base_52_retire,MW,629.488
TEMOA,26,MISS_to_SRCE,2045,base_52_retire,MW,24.2538
TEMOA,27,MISS_to_SRSE,2045,base_52_retire,MW,384.755
TEMOA,28,MISW_to_NWPP,2045,base_52_retire,MW,19.6208
TEMOA,29,MISW_to_PJMC,2045,base_52_retire,MW,64.529
TEMOA,30,MISW_to_SPPC,2045,base_52_retire,MW,45.2013
TEMOA,31,MISW_to_SPPN,2045,base_52_retire,MW,43.222
TEMOA,32,NWPP_to_RMRG,2045,base_52_retire,MW,1346.61
TEMOA,33,NYCW_to_NYUP,2045,base_52_retire,MW,13.2183
TEMOA,34,NYCW_to_PJME,2045,base_52_retire,MW,1263.02
TEMOA,35,NYUP_to_PJME,2045,base_52_retire,MW,230.606
TEMOA,36,PJMC_to_PJMW,2045,base_52_retire,MW,48.8263
TEMOA,37,PJMD_to_PJME,2045,base_52_retire,MW,1601.34
TEMOA,38,PJMD_to_PJMW,2045,base_52_retire,MW,27.4904
TEMOA,39,PJMD_to_SRCA,2045,base_52_retire,MW,363.963
TEMOA,40,PJME_to_PJMW,2045,base_52_retire,MW,7044.78
TEMOA,41,PJMW_to_SRCA,2045,base_52_retire,MW,12.7383
TEMOA,42,PJMW_to_SRCE,2045,base_52_retire,MW,657.92
TEMOA,43,RMRG_to_SPPC,2045,base_52_retire,MW,734.896
TEMOA,44,RMRG_to_SPPN,2045,base_52_retire,MW,808.188
TEMOA,45,RMRG_to_SRSG,2045,base_52_retire,MW,151.888
TEMOA,46,SPPC_to_SPPN,2045,base_52_retire,MW,83.8245
TEMOA,47,SPPC_to_SPPS,2045,base_52_retire,MW,187.81
TEMOA,48,SPPN_to_SPPS,2045,base_52_retire,MW,235.168
TEMOA,49,SPPS_to_SRSG,2045,base_52_retire,MW,1993.69
TEMOA,50,SPPS_to_TRE,2045,base_52_retire,MW,95.9124
TEMOA,52,SRCA_to_SRCE,2045,base_52_retire,MW,85.2713
TEMOA,53,SRCA_to_SRSE,2045,base_52_retire,MW,34.372
TEMOA,54,SRCE_to_SRSE,2045,base_52_retire,MW,35.8268
TEMOA,56,NWPP_to_SPPN,2045,base_52_retire,MW,217.93
TEMOA,57,SRSG_to_TRE,2045,base_52_retire,MW,413.03
TEMOA,1,BASN_to_CANO,2050,base_52_retire,MW,11.1799
TEMOA,2,BASN_to_CASO,2050,base_52_retire,MW,15.2277
TEMOA,4,BASN_to_RMRG,2050,base_52_retire,MW,460.042
TEMOA,6,CANO_to_CASO,2050,base_52_retire,MW,10.8551
TEMOA,7,CANO_to_NWPP,2050,base_52_retire,MW,31.5339
TEMOA,9,CASO_to_SRSG,2050,base_52_retire,MW,777.164
TEMOA,10,FRCC_to_SRSE,2050,base_52_retire,MW,72.2814
TEMOA,11,ISNE_to_NYCW,2050,base_52_retire,MW,12.5149
TEMOA,12,ISNE_to_NYUP,2050,base_52_retire,MW,41.2252
TEMOA,13,MISC_to_MISE,2050,base_52_retire,MW,33.4091
TEMOA,14,MISC_to_MISS,2050,base_52_retire,MW,10.4309
TEMOA,16,MISC_to_PJMC,2050,base_52_retire,MW,28.8271
TEMOA,17,MISC_to_PJMW,2050,base_52_retire,MW,112.706
TEMOA,18,MISC_to_SPPC,2050,base_52_retire,MW,299.727
TEMOA,19,MISC_to_SPPN,2050,base_52_retire,MW,284.834
TEMOA,20,MISC_to_SPPS,2050,base_52_retire,MW,92.419
TEMOA,22,MISE_to_MISW,2050,base_52_retire,MW,12.4851
TEMOA,23,MISE_to_PJMW,2050,base_52_retire,MW,10.3644
TEMOA,24,MISS_to_SPPC,2050,base_52_retire,MW,39.3635
TEMOA,25,MISS_to_SPPS,2050,base_52_retire,MW,203.637
TEMOA,26,MISS_to_SRCE,2050,base_52_retire,MW,16.2951
TEMOA,27,MISS_to_SRSE,2050,base_52_retire,MW,89.5156
TEMOA,28,MISW_to_NWPP,2050,base_52_retire,MW,14.8197
TEMOA,29,MISW_to_PJMC,2050,base_52_retire,MW,46.4048
TEMOA,30,MISW_to_SPPC,2050,base_52_retire,MW,43.0575
TEMOA,31,MISW_to_SPPN,2050,base_52_retire,MW,45.299
TEMOA,32,NWPP_to_RMRG,2050,base_52_retire,MW,713.976
TEMOA,34,NYCW_to_PJME,2050,base_52_retire,MW,256.531
TEMOA,35,NYUP_to_PJME,2050,base_52_retire,MW,49.4788
TEMOA,36,PJMC_to_PJMW,2050,base_52_retire,MW,43.1251
TEMOA,37,PJMD_to_PJME,2050,base_52_retire,MW,382.118
