Fuel,AnnualSum
No_fuel,0.0
new_england_coal,4.7335850447133645e7
new_england_naturalgas,4.2075154204101366e8
new_england_uranium,2.156803177400624e7
middle_atlantic_naturalgas,7.920484597539102e8
middle_atlantic_uranium,8.945111236039037e8
middle_atlantic_coal,0.0
east_north_central_coal,2.2618698055703354e9
east_north_central_naturalgas,3.2615318144204664e8
east_north_central_uranium,2.0381704320528371e9
new_england_naturalgas_ccs100,1.718190002976644
middle_atlantic_naturalgas_ccs100,15.52349618757242
east_north_central_naturalgas_ccs90,2.0258059387565845
east_north_central_naturalgas_ccs100,2.347772368397348
None,0.0
