zone,annual_demand,planning_year
z1,8535167.0,2030
z2,652645.0,2030
z3,494126.0,2030
z4,978952.0,2030
z5,112000.0,2030
z6,603594.0,2030
z7,1082564.0,2030
z8,4087670.0,2030
z9,1293056.0,2030
z10,9844902.0,2030
z11,38086661.0,2030
z1,12386722.0,2040
z2,825755.0,2040
z3,625275.0,2040
z4,1238457.0,2040
z5,141932.0,2040
z6,762313.0,2040
z7,1375563.0,2040
z8,5141202.0,2040
z9,1650239.0,2040
z10,12400665.0,2040
z11,46210094.0,2040
z1,13257701.0,2050
z2,890588.0,2050
z3,674379.0,2050
z4,1335680.0,2050
z5,153170.0,2050
z6,821736.0,2050
z7,1485480.0,2050
z8,5534902.0,2050
z9,1784445.0,2050
z10,13522912.0,2050
z11,50165715.0,2050
