Constraint,CapRes_1,CapRes_2,CapRes_3
t1,6.069451599561782e-12,4.090651045983897e-12,9.64130812228068e-13
t2,5.4589434149862e-12,3.4029507079956653e-12,9.042317883562213e-13
t3,5.44608741295125e-12,3.3777562203994995e-12,8.877827422999872e-13
t4,3.844443376993248e-12,3.4105619995860832e-12,9.118665097351357e-13
t5,4.782774796679938e-12,3.673598361512193e-12,9.869312249463821e-13
t6,6.6130883510854414e-12,3.8572449228809824e-12,1.2097659807549485e-12
t7,8.03161807693037e-12,4.0842138225814885e-12,1.4552372414369952e-12
t8,1.0037678303530456e-11,4.47009576087152e-12,1.7509786675083227e-12
t9,1.3188167987699697e-11,4.954226241260442e-12,1.89530650932278e-12
t10,1.0480358205344717e-11,6.1160803968319844e-12,1.2120461835718559e-12
t11,9.797654112931155e-12,4.644859913163784e-12,1.0644487464677222e-12
t12,1.1532904095371515e-11,5.0937286285096255e-12,9.833818887061478e-13
t13,6.983027101727552e-12,5.104815929217861e-12,9.171344635510956e-13
t14,5.730934058617471e-12,4.577031757032661e-12,8.796979420115645e-13
t15,6.311743216442232e-12,3.765789121186426e-12,8.455904760850892e-13
t16,5.058887364618185e-12,3.3222101837640706e-12,9.136682254350502e-13
t17,7.228702565944248e-12,5.807636196126074e-12,1.2587340567884117e-12
t18,3.186986110561998e-11,6.310062555095797e-12,4.640586104496268e-12
t19,4.5736823561899806e-11,6.527267315759618e-12,3.58112684602191e-12
t20,2.2493835457051376e-11,5.479793315894795e-12,1.9969034677166534e-12
t21,1.6008659643884355e-11,3.342596434549059e-12,1.6787866358452767e-12
t22,1.1481702420869705e-11,2.8139148145011725e-12,4.505059584682095e-12
t23,9.48789683103132e-12,4.498811874770844e-12,9.429336583324167e-13
t24,6.256552744412771e-12,4.113964212672265e-12,1.2559438727192478e-12
t25,7.2100216670221925e-12,3.5077304144579126e-12,-7.270419793229245e-13
t26,5.282787208443085e-12,3.3580123948685115e-12,7.988606972163117e-13
t27,5.76357678425361e-12,3.3815513096127885e-12,7.690461450953958e-13
t28,5.31861542197637e-12,3.54932617094762e-12,3.3231754489869425e-13
t29,6.091745652248393e-12,3.5450243091144057e-12,8.428649115333084e-13
t30,7.6057423849891e-12,3.725441624289233e-12,9.678135084284824e-13
t31,8.41650067889219e-12,4.019465550988551e-12,1.38421809776662e-12
t32,9.002640935557127e-12,4.937759586162627e-12,1.7045571667904242e-12
t33,9.558860304299381e-12,5.322410132162045e-12,1.1960156319274533e-12
t34,6.931332385619099e-12,3.9942215938070406e-12,7.731950606219788e-13
t35,5.464744503321095e-12,3.803660837581253e-12,6.680775688255684e-13
t36,5.0993752365934905e-12,3.837291719762236e-12,6.10106599817957e-13
t37,4.7439897259930955e-12,3.63803691030998e-12,5.765895989919708e-13
t38,4.28804512725434e-12,3.6151049134688113e-12,5.583546617121721e-13
t39,4.437060254993342e-12,3.879314592392467e-12,5.677252220108896e-13
t40,4.042260939417608e-12,3.5659815393059217e-12,6.091494456900762e-13
t41,7.280325942517459e-12,3.912990593227291e-12,8.092187875461307e-13
t42,1.6657996428337363e-11,5.994395842334742e-12,1.5356346808764781e-12
t43,1.7353056945198303e-11,5.657421115476052e-12,1.4751012823931095e-12
t44,8.433718044269786e-12,4.640648743590929e-12,1.032908256281077e-12
t45,7.446914425202838e-12,4.260043919171359e-12,9.13986829699763e-13
t46,5.871868599529251e-12,3.907846641621224e-12,8.118580561631468e-13
t47,4.1184792753737116e-12,3.6825127706906364e-12,7.084810776050522e-13
t48,3.7114978565458466e-12,3.566704469749421e-12,6.340249289033143e-13
t49,3.551385327414803e-12,3.5590747824262652e-12,6.449713616198635e-13
t50,3.422237791993035e-12,2.759188108627987e-12,5.91313124260954e-13
t51,3.350023859131785e-12,2.612154544476865e-12,5.723032309202079e-13
t52,3.372371624366418e-12,2.6770313501946245e-12,5.651470288167637e-13
t53,3.436929631438277e-12,2.68959465893381e-12,5.762251931354655e-13
t54,3.585823490578129e-12,2.8204338978509365e-12,6.158461637065928e-13
t55,3.7181457564298625e-12,2.9718906359229973e-12,6.70645044492819e-13
t56,3.986895606756068e-12,3.4900509956811247e-12,7.313493035824979e-13
t57,3.796777760977685e-12,2.956920780727901e-12,6.90445197737484e-13
t58,3.8868131365316816e-12,3.237305388588679e-12,6.171136247919424e-13
t59,4.110871799117937e-12,3.472707719788061e-12,5.994363820563827e-13
t60,4.243551500604606e-12,3.678810511583308e-12,5.645938909079594e-13
t61,4.1026429133362554e-12,3.855365867906853e-12,5.601403660148401e-13
t62,3.918999010645377e-12,3.771536960800498e-12,5.585126819455978e-13
t63,3.852471734877387e-12,3.601071281967283e-12,5.47968980989763e-13
t64,3.769754587190433e-12,3.4031369890789544e-12,5.633701056419408e-13
t65,4.999892900655757e-12,3.2208040009228424e-12,6.421173015173932e-13
t66,5.43452366307831e-12,4.748768793520053e-12,9.021478307037761e-13
