Fuel,AnnualSum
No_fuel,0.0
new_england_coal,4.582590426244455e7
new_england_naturalgas,2.902780017809434e8
new_england_uranium,356.6369101441528
middle_atlantic_naturalgas,6.215351581936479e8
middle_atlantic_uranium,8.417660788345573e8
middle_atlantic_coal,0.0
east_north_central_coal,2.1428021692581816e9
east_north_central_naturalgas,6.745429296771913e8
east_north_central_uranium,2.3005815645073223e8
new_england_naturalgas_ccs100,7.732906371040354
middle_atlantic_naturalgas_ccs100,60.49789470847792
east_north_central_naturalgas_ccs90,6.772401691223661
east_north_central_naturalgas_ccs100,8.584489522051078
None,0.0
