region,marginal_price,total_demand
BASN,40.89884882923386,104415840.0
CASO,43.26732444742251,106247405.0
CANO,44.58838551146855,164112380.0
FRCC,41.723643771642024,254835658.0
ISNE,48.471927547783324,132079030.0
MISC,41.63101942156423,186790489.0
MISE,44.6616652959582,102056388.0
MISS,40.06699899450028,175440371.0
MISW,39.383189195396355,225553160.0
NWPP,41.36069636231613,195981047.0
NYCW,48.21773225320056,76993625.0
NYUP,35.12910953797442,70257166.0
PJMC,40.608810375017256,118765758.0
PJMD,43.866240344792004,110841999.0
PJME,39.25954731763651,289082184.0
PJMW,42.267268990329335,310165370.0
RMRG,37.83943547306865,88883482.0
SPPC,38.95909924880392,78239307.0
SPPN,37.1947334861031,49626459.0
SPPS,36.7698202624058,122178131.0
SRCA,45.34085942109655,218636717.0
SRCE,41.43182911307193,214888614.0
SRSE,42.626616156992036,242597067.0
SRSG,40.98715377846304,137828950.0
TRE,36.49183117363623,426645124.0
TREW,32.74257106925743,19988250.0
