Resource,Zone,New_Build,Can_Retire,Existing_Cap_MW,region,technology,cluster,Var_OM_Cost_per_MWh_In,Max_Flexible_Demand_Delay,Max_Flexible_Demand_Advance,Flexible_Demand_Energy_Eff,variable_CF,MGA,Resource_Type
NY_Z_A_res_water_heat_1,2,0,1,9.5,NY_Z_A,res_water_heat,1,0.0,2.0,0.0,1.0,0.34603245983042,0,res_water_heat
NY_Z_B_res_water_heat_1,3,0,1,7.2,NY_Z_B,res_water_heat,1,0.0,2.0,0.0,1.0,0.34603245983042,0,res_water_heat
NY_Z_C&E_res_water_heat_1,4,0,1,14.3,NY_Z_C&E,res_water_heat,1,0.0,2.0,0.0,1.0,0.34603245983042,0,res_water_heat
NY_Z_D_res_water_heat_1,5,0,1,1.6,NY_Z_D,res_water_heat,1,0.0,2.0,0.0,1.0,0.34603245983042,0,res_water_heat
NY_Z_F_res_water_heat_1,6,0,1,8.7,NY_Z_F,res_water_heat,1,0.0,2.0,0.0,1.0,0.3460324598304199,0,res_water_heat
NY_Z_G-I_res_water_heat_1,7,0,1,16.2,NY_Z_G-I,res_water_heat,1,0.0,2.0,0.0,1.0,0.3460324598304199,0,res_water_heat
NY_Z_J_res_water_heat_1,8,0,1,57.9,NY_Z_J,res_water_heat,1,0.0,2.0,0.0,1.0,0.34603245983042,0,res_water_heat
NY_Z_K_res_water_heat_1,9,0,1,19.7,NY_Z_K,res_water_heat,1,0.0,2.0,0.0,1.0,0.3460324598304199,0,res_water_heat
PJM_EMAC_res_water_heat_1,10,0,1,161.5,PJM_EMAC,res_water_heat,1,0.0,2.0,0.0,1.0,0.3338053166793323,0,res_water_heat
PJM_Rest_res_water_heat_1,11,0,1,671.0,PJM_Rest,res_water_heat,1,0.0,2.0,0.0,1.0,0.3505360127603232,0,res_water_heat
NENG_Rest_res_water_heat_1,1,0,1,122.2,NENG_Rest,res_water_heat,1,0.0,2.0,0.0,1.0,0.3630959906764217,0,res_water_heat
NY_Z_A_trans_light_duty_1,2,0,1,43.6,NY_Z_A,trans_light_duty,1,0.0,5.0,0.0,1.0,0.2764395443245174,0,trans_light_duty
NY_Z_B_trans_light_duty_1,3,0,1,33.1,NY_Z_B,trans_light_duty,1,0.0,5.0,0.0,1.0,0.2764395443245174,0,trans_light_duty
NY_Z_C&E_trans_light_duty_1,4,0,1,65.4,NY_Z_C&E,trans_light_duty,1,0.0,5.0,0.0,1.0,0.2764395443245174,0,trans_light_duty
NY_Z_D_trans_light_duty_1,5,0,1,7.6,NY_Z_D,trans_light_duty,1,0.0,5.0,0.0,1.0,0.2764395443245174,0,trans_light_duty
NY_Z_F_trans_light_duty_1,6,0,1,40.0,NY_Z_F,trans_light_duty,1,0.0,5.0,0.0,1.0,0.2764395443245174,0,trans_light_duty
NY_Z_G-I_trans_light_duty_1,7,0,1,74.0,NY_Z_G-I,trans_light_duty,1,0.0,5.0,0.0,1.0,0.2764395443245174,0,trans_light_duty
NY_Z_J_trans_light_duty_1,8,0,1,265.0,NY_Z_J,trans_light_duty,1,0.0,5.0,0.0,1.0,0.2764395443245174,0,trans_light_duty
NY_Z_K_trans_light_duty_1,9,0,1,90.3,NY_Z_K,trans_light_duty,1,0.0,5.0,0.0,1.0,0.2764395443245174,0,trans_light_duty
PJM_EMAC_trans_light_duty_1,10,0,1,844.8,PJM_EMAC,trans_light_duty,1,0.0,5.0,0.0,1.0,0.2654232395245889,0,trans_light_duty
PJM_Rest_trans_light_duty_1,11,0,1,2488.0,PJM_Rest,trans_light_duty,1,0.0,5.0,0.0,1.0,0.2738397837618604,0,trans_light_duty
NENG_Rest_trans_light_duty_1,1,0,1,708.7,NENG_Rest,trans_light_duty,1,0.0,5.0,0.0,1.0,0.2603692113397229,0,trans_light_duty
