model,zone,resource_name,tech_type,planning_year,case,timestep,new_build,existing,unit,value
p1_High_Elect_Mid_RE,1,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,2030,Results_p1,all,0,1,MWh,4405041.651407428
p1_High_Elect_Mid_RE,2,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,2030,Results_p1,all,0,1,MWh,13573484.063474076
p1_High_Elect_Mid_RE,3,NY_Z_B_conventional_hydroelectric_1,Conventional Hydroelectric,2030,Results_p1,all,0,1,MWh,0.0
p1_High_Elect_Mid_RE,4,NY_Z_C&E_conventional_hydroelectric_1,Conventional Hydroelectric,2030,Results_p1,all,0,1,MWh,219985.1519818968
p1_High_Elect_Mid_RE,5,NY_Z_D_conventional_hydroelectric_1,Conventional Hydroelectric,2030,Results_p1,all,0,1,MWh,5751177.275319065
p1_High_Elect_Mid_RE,6,NY_Z_F_conventional_hydroelectric_1,Conventional Hydroelectric,2030,Results_p1,all,0,1,MWh,1063664.7987962803
p1_High_Elect_Mid_RE,10,PJM_EMAC_conventional_hydroelectric_1,Conventional Hydroelectric,2030,Results_p1,all,0,1,MWh,2774447.029945522
p1_High_Elect_Mid_RE,11,PJM_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,2030,Results_p1,all,0,1,MWh,3906379.7475754377
p1_High_Elect_Mid_RE,1,NENG_Rest_conventional_steam_coal_1,Conventional Steam Coal,2030,Results_p1,all,0,1,MWh,3730399.6223698314
p1_High_Elect_Mid_RE,1,NENG_Rest_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,8.04331976665109
p1_High_Elect_Mid_RE,1,NENG_Rest_natural_gas_fired_combined_cycle_2,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,22950032.892871834
p1_High_Elect_Mid_RE,1,NENG_Rest_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,2030,Results_p1,all,0,1,MWh,5.230457014480611
p1_High_Elect_Mid_RE,1,NENG_Rest_natural_gas_fired_combustion_turbine_2,Natural Gas Fired Combustion Turbine,2030,Results_p1,all,0,1,MWh,2.9697399093074965
p1_High_Elect_Mid_RE,1,NENG_Rest_nuclear_1,Nuclear,2030,Results_p1,all,1,0,MWh,28628175.675192945
p1_High_Elect_Mid_RE,2,NY_Z_A_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,5.597892004112508
p1_High_Elect_Mid_RE,2,NY_Z_A_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,2030,Results_p1,all,0,1,MWh,3.021772679563269
p1_High_Elect_Mid_RE,2,NY_Z_A_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,2030,Results_p1,all,0,1,MWh,263923.24428971787
p1_High_Elect_Mid_RE,3,NY_Z_B_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,5.162598242484069
p1_High_Elect_Mid_RE,3,NY_Z_B_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,2030,Results_p1,all,0,1,MWh,0.0
p1_High_Elect_Mid_RE,3,NY_Z_B_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,2030,Results_p1,all,0,1,MWh,0.85409225078766
p1_High_Elect_Mid_RE,3,NY_Z_B_nuclear_1,Nuclear,2030,Results_p1,all,1,0,MWh,4.6081169690494015
p1_High_Elect_Mid_RE,4,NY_Z_C&E_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,19.99808507221893
p1_High_Elect_Mid_RE,4,NY_Z_C&E_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,2030,Results_p1,all,0,1,MWh,3.0870120070522344
p1_High_Elect_Mid_RE,4,NY_Z_C&E_nuclear_1,Nuclear,2030,Results_p1,all,1,0,MWh,21938142.99795244
p1_High_Elect_Mid_RE,5,NY_Z_D_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,5.356998117622319
p1_High_Elect_Mid_RE,5,NY_Z_D_natural_gas_fired_combined_cycle_2,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,5.836267855505395
p1_High_Elect_Mid_RE,6,NY_Z_F_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,10584008.575364534
p1_High_Elect_Mid_RE,6,NY_Z_F_natural_gas_fired_combined_cycle_2,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,7.301122525992745
p1_High_Elect_Mid_RE,6,NY_Z_F_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,2030,Results_p1,all,0,1,MWh,0.0
p1_High_Elect_Mid_RE,7,NY_Z_G-I_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,4788867.302997856
p1_High_Elect_Mid_RE,7,NY_Z_G-I_natural_gas_fired_combined_cycle_2,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,1.5634379256361537
p1_High_Elect_Mid_RE,7,NY_Z_G-I_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,2030,Results_p1,all,0,1,MWh,0.859904318566937
p1_High_Elect_Mid_RE,7,NY_Z_G-I_natural_gas_fired_combustion_turbine_2,Natural Gas Fired Combustion Turbine,2030,Results_p1,all,0,1,MWh,3.196426654051577
p1_High_Elect_Mid_RE,8,NY_Z_J_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,3347166.3568598176
p1_High_Elect_Mid_RE,8,NY_Z_J_natural_gas_fired_combined_cycle_2,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,7641285.640688996
p1_High_Elect_Mid_RE,8,NY_Z_J_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,2030,Results_p1,all,0,1,MWh,1.963766459622411
p1_High_Elect_Mid_RE,8,NY_Z_J_natural_gas_fired_combustion_turbine_2,Natural Gas Fired Combustion Turbine,2030,Results_p1,all,0,1,MWh,6.706552351107439
p1_High_Elect_Mid_RE,9,NY_Z_K_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,114796.89154345093
p1_High_Elect_Mid_RE,9,NY_Z_K_natural_gas_fired_combined_cycle_2,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,3183719.2862298363
p1_High_Elect_Mid_RE,9,NY_Z_K_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,2030,Results_p1,all,0,1,MWh,2.3015469271522275
p1_High_Elect_Mid_RE,9,NY_Z_K_natural_gas_fired_combustion_turbine_2,Natural Gas Fired Combustion Turbine,2030,Results_p1,all,0,1,MWh,26581.506748280604
p1_High_Elect_Mid_RE,10,PJM_EMAC_conventional_steam_coal_1,Conventional Steam Coal,2030,Results_p1,all,0,1,MWh,0.0
p1_High_Elect_Mid_RE,10,PJM_EMAC_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,9.067387481469932
p1_High_Elect_Mid_RE,10,PJM_EMAC_natural_gas_fired_combined_cycle_2,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,27938586.36417077
