hour,resource_name,tech_type,value,zone,planning_year,model,case
289,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,375,1,2030,p1_High_Elect_Mid_RE,Results_p1
290,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,331,1,2030,p1_High_Elect_Mid_RE,Results_p1
291,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,338,1,2030,p1_High_Elect_Mid_RE,Results_p1
292,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,415,1,2030,p1_High_Elect_Mid_RE,Results_p1
293,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,498,1,2030,p1_High_Elect_Mid_RE,Results_p1
294,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,583,1,2030,p1_High_Elect_Mid_RE,Results_p1
295,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,671,1,2030,p1_High_Elect_Mid_RE,Results_p1
296,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,583,1,2030,p1_High_Elect_Mid_RE,Results_p1
297,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,494,1,2030,p1_High_Elect_Mid_RE,Results_p1
298,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,454,1,2030,p1_High_Elect_Mid_RE,Results_p1
299,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,542,1,2030,p1_High_Elect_Mid_RE,Results_p1
300,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,588,1,2030,p1_High_Elect_Mid_RE,Results_p1
301,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,524,1,2030,p1_High_Elect_Mid_RE,Results_p1
302,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,552,1,2030,p1_High_Elect_Mid_RE,Results_p1
303,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,638,1,2030,p1_High_Elect_Mid_RE,Results_p1
304,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,727,1,2030,p1_High_Elect_Mid_RE,Results_p1
305,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,727,1,2030,p1_High_Elect_Mid_RE,Results_p1
306,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,638,1,2030,p1_High_Elect_Mid_RE,Results_p1
307,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,552,1,2030,p1_High_Elect_Mid_RE,Results_p1
308,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,556,1,2030,p1_High_Elect_Mid_RE,Results_p1
309,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,554,1,2030,p1_High_Elect_Mid_RE,Results_p1
310,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,554,1,2030,p1_High_Elect_Mid_RE,Results_p1
311,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,554,1,2030,p1_High_Elect_Mid_RE,Results_p1
312,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,554,1,2030,p1_High_Elect_Mid_RE,Results_p1
313,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,554,1,2030,p1_High_Elect_Mid_RE,Results_p1
314,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,554,1,2030,p1_High_Elect_Mid_RE,Results_p1
315,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,554,1,2030,p1_High_Elect_Mid_RE,Results_p1
316,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,506,1,2030,p1_High_Elect_Mid_RE,Results_p1
317,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,485,1,2030,p1_High_Elect_Mid_RE,Results_p1
318,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,531,1,2030,p1_High_Elect_Mid_RE,Results_p1
319,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,593,1,2030,p1_High_Elect_Mid_RE,Results_p1
320,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,647,1,2030,p1_High_Elect_Mid_RE,Results_p1
321,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,558,1,2030,p1_High_Elect_Mid_RE,Results_p1
322,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,480,1,2030,p1_High_Elect_Mid_RE,Results_p1
323,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,410,1,2030,p1_High_Elect_Mid_RE,Results_p1
324,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,360,1,2030,p1_High_Elect_Mid_RE,Results_p1
325,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,360,1,2030,p1_High_Elect_Mid_RE,Results_p1
326,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,408,1,2030,p1_High_Elect_Mid_RE,Results_p1
327,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,476,1,2030,p1_High_Elect_Mid_RE,Results_p1
328,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,553,1,2030,p1_High_Elect_Mid_RE,Results_p1
329,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,553,1,2030,p1_High_Elect_Mid_RE,Results_p1
330,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,594,1,2030,p1_High_Elect_Mid_RE,Results_p1
331,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,639,1,2030,p1_High_Elect_Mid_RE,Results_p1
332,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,700,1,2030,p1_High_Elect_Mid_RE,Results_p1
333,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,669,1,2030,p1_High_Elect_Mid_RE,Results_p1
334,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,610,1,2030,p1_High_Elect_Mid_RE,Results_p1
335,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,586,1,2030,p1_High_Elect_Mid_RE,Results_p1
336,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,585,1,2030,p1_High_Elect_Mid_RE,Results_p1
337,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,552,1,2030,p1_High_Elect_Mid_RE,Results_p1
338,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,552,1,2030,p1_High_Elect_Mid_RE,Results_p1
339,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,552,1,2030,p1_High_Elect_Mid_RE,Results_p1
340,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,479,1,2030,p1_High_Elect_Mid_RE,Results_p1
341,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,425,1,2030,p1_High_Elect_Mid_RE,Results_p1
342,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,514,1,2030,p1_High_Elect_Mid_RE,Results_p1
343,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,602,1,2030,p1_High_Elect_Mid_RE,Results_p1
344,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,691,1,2030,p1_High_Elect_Mid_RE,Results_p1
345,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,602,1,2030,p1_High_Elect_Mid_RE,Results_p1
346,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,552,1,2030,p1_High_Elect_Mid_RE,Results_p1
347,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,480,1,2030,p1_High_Elect_Mid_RE,Results_p1
348,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,428,1,2030,p1_High_Elect_Mid_RE,Results_p1
349,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,406,1,2030,p1_High_Elect_Mid_RE,Results_p1
350,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,427,1,2030,p1_High_Elect_Mid_RE,Results_p1
351,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,481,1,2030,p1_High_Elect_Mid_RE,Results_p1
352,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,552,1,2030,p1_High_Elect_Mid_RE,Results_p1
353,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,584,1,2030,p1_High_Elect_Mid_RE,Results_p1
354,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,672,1,2030,p1_High_Elect_Mid_RE,Results_p1
355,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,761,1,2030,p1_High_Elect_Mid_RE,Results_p1
356,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,672,1,2030,p1_High_Elect_Mid_RE,Results_p1
357,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,584,1,2030,p1_High_Elect_Mid_RE,Results_p1
358,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,521,1,2030,p1_High_Elect_Mid_RE,Results_p1
359,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,550,1,2030,p1_High_Elect_Mid_RE,Results_p1
360,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,583,1,2030,p1_High_Elect_Mid_RE,Results_p1
361,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,551,1,2030,p1_High_Elect_Mid_RE,Results_p1
362,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,496,1,2030,p1_High_Elect_Mid_RE,Results_p1
363,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,429,1,2030,p1_High_Elect_Mid_RE,Results_p1
364,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,390,1,2030,p1_High_Elect_Mid_RE,Results_p1
365,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,428,1,2030,p1_High_Elect_Mid_RE,Results_p1
366,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,495,1,2030,p1_High_Elect_Mid_RE,Results_p1
367,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,573,1,2030,p1_High_Elect_Mid_RE,Results_p1
368,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,661,1,2030,p1_High_Elect_Mid_RE,Results_p1
369,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,573,1,2030,p1_High_Elect_Mid_RE,Results_p1
370,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,484,1,2030,p1_High_Elect_Mid_RE,Results_p1
371,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,462,1,2030,p1_High_Elect_Mid_RE,Results_p1
372,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,550,1,2030,p1_High_Elect_Mid_RE,Results_p1
373,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,559,1,2030,p1_High_Elect_Mid_RE,Results_p1
374,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,541,1,2030,p1_High_Elect_Mid_RE,Results_p1
375,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,574,1,2030,p1_High_Elect_Mid_RE,Results_p1
376,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,526,1,2030,p1_High_Elect_Mid_RE,Results_p1
377,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,550,1,2030,p1_High_Elect_Mid_RE,Results_p1
378,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,639,1,2030,p1_High_Elect_Mid_RE,Results_p1
379,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,727,1,2030,p1_High_Elect_Mid_RE,Results_p1
380,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,713,1,2030,p1_High_Elect_Mid_RE,Results_p1
381,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,639,1,2030,p1_High_Elect_Mid_RE,Results_p1
382,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,550,1,2030,p1_High_Elect_Mid_RE,Results_p1
383,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,550,1,2030,p1_High_Elect_Mid_RE,Results_p1
384,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,464,1,2030,p1_High_Elect_Mid_RE,Results_p1
289,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1984,2,2030,p1_High_Elect_Mid_RE,Results_p1
290,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1782,2,2030,p1_High_Elect_Mid_RE,Results_p1
291,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1686,2,2030,p1_High_Elect_Mid_RE,Results_p1
292,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1743,2,2030,p1_High_Elect_Mid_RE,Results_p1
293,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1766,2,2030,p1_High_Elect_Mid_RE,Results_p1
294,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1801,2,2030,p1_High_Elect_Mid_RE,Results_p1
295,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1808,2,2030,p1_High_Elect_Mid_RE,Results_p1
296,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1765,2,2030,p1_High_Elect_Mid_RE,Results_p1
297,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1766,2,2030,p1_High_Elect_Mid_RE,Results_p1
298,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1766,2,2030,p1_High_Elect_Mid_RE,Results_p1
299,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1604,2,2030,p1_High_Elect_Mid_RE,Results_p1
300,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1482,2,2030,p1_High_Elect_Mid_RE,Results_p1
301,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1446,2,2030,p1_High_Elect_Mid_RE,Results_p1
302,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1494,2,2030,p1_High_Elect_Mid_RE,Results_p1
303,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1600,2,2030,p1_High_Elect_Mid_RE,Results_p1
304,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1741,2,2030,p1_High_Elect_Mid_RE,Results_p1
305,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1872,2,2030,p1_High_Elect_Mid_RE,Results_p1
306,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1982,2,2030,p1_High_Elect_Mid_RE,Results_p1
307,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,2040,2,2030,p1_High_Elect_Mid_RE,Results_p1
308,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,2044,2,2030,p1_High_Elect_Mid_RE,Results_p1
309,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,2018,2,2030,p1_High_Elect_Mid_RE,Results_p1
310,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1955,2,2030,p1_High_Elect_Mid_RE,Results_p1
311,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1829,2,2030,p1_High_Elect_Mid_RE,Results_p1
312,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1791,2,2030,p1_High_Elect_Mid_RE,Results_p1
313,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1789,2,2030,p1_High_Elect_Mid_RE,Results_p1
314,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1772,2,2030,p1_High_Elect_Mid_RE,Results_p1
315,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1809,2,2030,p1_High_Elect_Mid_RE,Results_p1
316,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1789,2,2030,p1_High_Elect_Mid_RE,Results_p1
317,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1727,2,2030,p1_High_Elect_Mid_RE,Results_p1
318,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1749,2,2030,p1_High_Elect_Mid_RE,Results_p1
319,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1846,2,2030,p1_High_Elect_Mid_RE,Results_p1
320,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1868,2,2030,p1_High_Elect_Mid_RE,Results_p1
321,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1800,2,2030,p1_High_Elect_Mid_RE,Results_p1
322,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1665,2,2030,p1_High_Elect_Mid_RE,Results_p1
323,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1592,2,2030,p1_High_Elect_Mid_RE,Results_p1
324,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1554,2,2030,p1_High_Elect_Mid_RE,Results_p1
325,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1538,2,2030,p1_High_Elect_Mid_RE,Results_p1
326,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1575,2,2030,p1_High_Elect_Mid_RE,Results_p1
327,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1668,2,2030,p1_High_Elect_Mid_RE,Results_p1
328,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1811,2,2030,p1_High_Elect_Mid_RE,Results_p1
329,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1813,2,2030,p1_High_Elect_Mid_RE,Results_p1
330,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1960,2,2030,p1_High_Elect_Mid_RE,Results_p1
331,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,2077,2,2030,p1_High_Elect_Mid_RE,Results_p1
332,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,2066,2,2030,p1_High_Elect_Mid_RE,Results_p1
333,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,2020,2,2030,p1_High_Elect_Mid_RE,Results_p1
334,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1982,2,2030,p1_High_Elect_Mid_RE,Results_p1
335,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1949,2,2030,p1_High_Elect_Mid_RE,Results_p1
336,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1900,2,2030,p1_High_Elect_Mid_RE,Results_p1
337,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1823,2,2030,p1_High_Elect_Mid_RE,Results_p1
338,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1810,2,2030,p1_High_Elect_Mid_RE,Results_p1
339,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1608,2,2030,p1_High_Elect_Mid_RE,Results_p1
340,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1431,2,2030,p1_High_Elect_Mid_RE,Results_p1
341,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1633,2,2030,p1_High_Elect_Mid_RE,Results_p1
342,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1835,2,2030,p1_High_Elect_Mid_RE,Results_p1
343,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,2037,2,2030,p1_High_Elect_Mid_RE,Results_p1
344,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,2239,2,2030,p1_High_Elect_Mid_RE,Results_p1
345,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,2037,2,2030,p1_High_Elect_Mid_RE,Results_p1
346,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1835,2,2030,p1_High_Elect_Mid_RE,Results_p1
