model,zone,resource_name,tech_type,planning_year,case,unit,start_value,end_value,new_build,existing
p1_High_Elect_Mid_RE,NENG_Rest,NENG_Rest_battery_moderate_0,Battery_*_Moderate,2030,Results_p1,MW,1067.6,1067.6,1,0
p1_High_Elect_Mid_RE,NENG_Rest,NENG_Rest_biomass_1,Biomass,2030,Results_p1,MW,2434.9,2434.9,0,1
p1_High_Elect_Mid_RE,NENG_Rest,NENG_Rest_biomass_2,Biomass,2030,Results_p1,MW,0.0,0.0,0,1
p1_High_Elect_Mid_RE,NENG_Rest,NENG_Rest_biomass_3,Biomass,2030,Results_p1,MW,63.3,63.3,0,1
p1_High_Elect_Mid_RE,NENG_Rest,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,2030,Results_p1,MW,809.6,809.6,0,1
p1_High_Elect_Mid_RE,NENG_Rest,NENG_Rest_conventional_steam_coal_1,Conventional Steam Coal,2030,Results_p1,MW,274.6,274.6,0,1
p1_High_Elect_Mid_RE,NENG_Rest,NENG_Rest_distributed_generation_1,distributed_generation,2030,Results_p1,MW,572.0,572.0,0,1
p1_High_Elect_Mid_RE,NENG_Rest,NENG_Rest_hydroelectric_pumped_storage_1,Hydroelectric Pumped Storage,2030,Results_p1,MW,1507.8,1507.8,0,1
p1_High_Elect_Mid_RE,NENG_Rest,NENG_Rest_landbasedwind_class1_moderate_1,LandbasedWind_Class1_Moderate_,2030,Results_p1,MW,438.0,437.9999998284624,1,0
p1_High_Elect_Mid_RE,NENG_Rest,NENG_Rest_landbasedwind_class1_moderate_2,LandbasedWind_Class1_Moderate_,2030,Results_p1,MW,3721.9,3721.899999155548,1,0
p1_High_Elect_Mid_RE,NENG_Rest,NENG_Rest_landbasedwind_class1_moderate_3,LandbasedWind_Class1_Moderate_,2030,Results_p1,MW,10513.3,10513.299998776058,1,0
p1_High_Elect_Mid_RE,NENG_Rest,NENG_Rest_landbasedwind_class1_moderate_4,LandbasedWind_Class1_Moderate_,2030,Results_p1,MW,933.2,933.1999668017472,1,0
p1_High_Elect_Mid_RE,NENG_Rest,NENG_Rest_landbasedwind_class1_moderate_5,LandbasedWind_Class1_Moderate_,2030,Results_p1,MW,602.4,602.3999610515416,1,0
p1_High_Elect_Mid_RE,NENG_Rest,NENG_Rest_landbasedwind_class1_moderate_6,LandbasedWind_Class1_Moderate_,2030,Results_p1,MW,3355.5,3355.49943892034,1,0
p1_High_Elect_Mid_RE,NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,2030,Results_p1,MW,444.8,444.79999933924944,0,1
p1_High_Elect_Mid_RE,NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_2,Natural Gas Fired Combined Cycle,2030,Results_p1,MW,47.0,46.999986626206216,0,1
p1_High_Elect_Mid_RE,NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,2030,Results_p1,MW,45.0,44.99999835909051,0,1
p1_High_Elect_Mid_RE,NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_2,Natural Gas Fired Combustion Turbine,2030,Results_p1,MW,119.1,119.09999872555676,0,1
p1_High_Elect_Mid_RE,NENG_Rest,NENG_Rest_naturalgas_ccavgcf_moderate_0,NaturalGas_CCAvgCF_Moderate,2030,Results_p1,MW,0.0,0.0,1,0
p1_High_Elect_Mid_RE,NENG_Rest,NENG_Rest_naturalgas_ccs100_moderate_0,NaturalGas_CCS100_Moderate,2030,Results_p1,MW,119.6,119.5999982136735,1,0
p1_High_Elect_Mid_RE,NENG_Rest,NENG_Rest_naturalgas_ctavgcf_moderate_0,NaturalGas_CTAvgCF_Moderate,2030,Results_p1,MW,581.3,0.0007484298426563,1,0
p1_High_Elect_Mid_RE,NENG_Rest,NENG_Rest_nuclear_1,Nuclear,2030,Results_p1,MW,1768.2,1768.1999992496703,1,0
p1_High_Elect_Mid_RE,NENG_Rest,NENG_Rest_nuclear_nuclear_moderate_0,Nuclear_Nuclear_Moderate,2030,Results_p1,MW,106.3,106.29999836646132,1,0
p1_High_Elect_Mid_RE,NENG_Rest,NENG_Rest_offshore_wind_turbine_1,Offshore Wind Turbine,2030,Results_p1,MW,2777.0,2699.9980817119654,0,1
p1_High_Elect_Mid_RE,NENG_Rest,NENG_Rest_offshorewind_class12_moderate_floating_0_0,OffShoreWind_Class12_Moderate_floating_0,2030,Results_p1,MW,280.0,279.9999994747791,1,0
