Fuel,AnnualSum
No_fuel,0.0
new_england_coal,4.6059051609356426e7
new_england_naturalgas,1.707697984606397e8
new_england_uranium,2.481339127664189e8
middle_atlantic_naturalgas,7.746006067337106e8
middle_atlantic_uranium,8.478433323104455e8
middle_atlantic_coal,0.0
east_north_central_coal,2.1382876505396338e9
east_north_central_naturalgas,7.229641210383095e8
east_north_central_uranium,2.3117893446801525e8
new_england_naturalgas_ccs100,8.975251865322985
middle_atlantic_naturalgas_ccs100,71.3589918760801
east_north_central_naturalgas_ccs90,7.781021564014555
east_north_central_naturalgas_ccs100,9.038573139295988
None,0.0
