Region,Resource,Zone,Cluster,CapRes_1,CapRes_2,CapRes_3,AnnualSum
PJM_EMAC,PJM_EMAC_natural_gas_fired_combined_cycle_3,10,3,0.0,0.0,474232.1448373283,474232.1448373283
PJM_EMAC,PJM_EMAC_natural_gas_fired_combustion_turbine_1,10,1,0.0,0.0,0.7882220169874271,0.7882220169874271
PJM_EMAC,PJM_EMAC_natural_gas_fired_combustion_turbine_2,10,2,0.0,0.0,1.3828729895702964e6,1.3828729895702964e6
PJM_EMAC,PJM_EMAC_natural_gas_steam_turbine_1,10,1,0.0,0.0,937532.7559899325,937532.7559899325
PJM_EMAC,PJM_EMAC_nuclear_1,10,1,0.0,0.0,4.512452130296993e6,4.512452130296993e6
PJM_EMAC,PJM_EMAC_nuclear_2,10,2,0.0,0.0,0.09801433467626633,0.09801433467626633
PJM_Rest,PJM_Rest_conventional_steam_coal_1,11,1,0.0,0.0,1.067173362586839e7,1.067173362586839e7
PJM_Rest,PJM_Rest_natural_gas_fired_combined_cycle_1,11,1,0.0,0.0,1.3104946601190402e6,1.3104946601190402e6
PJM_Rest,PJM_Rest_natural_gas_fired_combined_cycle_2,11,2,0.0,0.0,1.4890717430321133e7,1.4890717430321133e7
PJM_Rest,PJM_Rest_natural_gas_fired_combustion_turbine_1,11,1,0.0,0.0,377567.88751929207,377567.88751929207
PJM_Rest,PJM_Rest_natural_gas_fired_combustion_turbine_2,11,2,0.0,0.0,1.4940462060957965e7,1.4940462060957965e7
PJM_Rest,PJM_Rest_natural_gas_fired_combustion_turbine_3,11,3,0.0,0.0,512492.5224618428,512492.5224618428
PJM_Rest,PJM_Rest_natural_gas_fired_combustion_turbine_4,11,4,0.0,0.0,222254.09660103475,222254.09660103475
PJM_Rest,PJM_Rest_nuclear_1,11,1,0.0,0.0,1.3970134695994085e7,1.3970134695994085e7
NENG_Rest,NENG_Rest_naturalgas_ccavgcf_moderate_0,1,0,3.3524945081179743e6,0.0,0.0,3.3524945081179743e6
NENG_Rest,NENG_Rest_naturalgas_ctavgcf_moderate_0,1,0,0.04301962907596735,0.0,0.0,0.04301962907596735
NENG_Rest,NENG_Rest_nuclear_nuclear_moderate_0,1,0,0.018328498390350594,0.0,0.0,0.018328498390350594
NENG_Rest,NENG_Rest_naturalgas_ccs100_moderate_0,1,0,0.028201326231033545,0.0,0.0,0.028201326231033545
NY_Z_A,NY_Z_A_naturalgas_ccavgcf_moderate_0,2,0,0.0,0.25231837598657747,0.0,0.25231837598657747
