model,line,line_name,planning_year,case,unit,value
GenX,37,PJMD_to_PJME,2030,Results_p2,MW,5.02224
GenX,38,PJMD_to_PJMW,2030,Results_p2,MW,0.903072
GenX,39,PJMD_to_SRCA,2030,Results_p2,MW,0.782325
GenX,40,PJME_to_PJMW,2030,Results_p2,MW,0.361158
GenX,41,PJMW_to_SRCA,2030,Results_p2,MW,0.141742
GenX,42,PJMW_to_SRCE,2030,Results_p2,MW,0.133551
GenX,43,RMRG_to_SPPC,2030,Results_p2,MW,13.5726
GenX,44,RMRG_to_SPPN,2030,Results_p2,MW,184.838
GenX,45,RMRG_to_SRSG,2030,Results_p2,MW,1.13274
GenX,46,SPPC_to_SPPN,2030,Results_p2,MW,14.1358
GenX,47,SPPC_to_SPPS,2030,Results_p2,MW,1.78153
GenX,48,SPPN_to_SPPS,2030,Results_p2,MW,20.6026
GenX,49,SPPS_to_SRSG,2030,Results_p2,MW,2383.38
GenX,50,SPPS_to_TRE,2030,Results_p2,MW,192.758
GenX,51,SPPS_to_TREW,2030,Results_p2,MW,686.764
GenX,52,SRCA_to_SRCE,2030,Results_p2,MW,0.129444
GenX,53,SRCA_to_SRSE,2030,Results_p2,MW,0.0538987
GenX,54,SRCE_to_SRSE,2030,Results_p2,MW,1.45911
GenX,55,TRE_to_TREW,2030,Results_p2,MW,0.406037
GenX,56,NWPP_to_SPPN,2030,Results_p2,MW,0.157825
GenX,57,SRSG_to_TRE,2030,Results_p2,MW,1.68488
GenX,1,BASN_to_CANO,2035,Results_p3,MW,0.0815043
GenX,2,BASN_to_CASO,2035,Results_p3,MW,0.13516
GenX,3,BASN_to_NWPP,2035,Results_p3,MW,0.028024
GenX,4,BASN_to_RMRG,2035,Results_p3,MW,0.134745
GenX,5,BASN_to_SRSG,2035,Results_p3,MW,0.555064
GenX,6,CANO_to_CASO,2035,Results_p3,MW,1.76095
GenX,7,CANO_to_NWPP,2035,Results_p3,MW,0.230888
GenX,8,CASO_to_NWPP,2035,Results_p3,MW,0.442104
GenX,9,CASO_to_SRSG,2035,Results_p3,MW,1.39096
GenX,10,FRCC_to_SRSE,2035,Results_p3,MW,0.972328
GenX,11,ISNE_to_NYCW,2035,Results_p3,MW,0.516114
GenX,12,ISNE_to_NYUP,2035,Results_p3,MW,35.2072
GenX,13,MISC_to_MISE,2035,Results_p3,MW,1.82442
GenX,14,MISC_to_MISS,2035,Results_p3,MW,0.0527448
GenX,15,MISC_to_MISW,2035,Results_p3,MW,0.283068
GenX,16,MISC_to_PJMC,2035,Results_p3,MW,1.37827
GenX,17,MISC_to_PJMW,2035,Results_p3,MW,0.382472
GenX,18,MISC_to_SPPC,2035,Results_p3,MW,0.301322
GenX,19,MISC_to_SPPN,2035,Results_p3,MW,6.3175
GenX,20,MISC_to_SPPS,2035,Results_p3,MW,2.15604
GenX,21,MISC_to_SRCE,2035,Results_p3,MW,0.251689
GenX,22,MISE_to_MISW,2035,Results_p3,MW,6.82548
GenX,23,MISE_to_PJMW,2035,Results_p3,MW,1.09146
GenX,24,MISS_to_SPPC,2035,Results_p3,MW,0.669247
