Region,Resource,Zone,Cluster,CapRes_1,CapRes_2,CapRes_3,AnnualSum
PJM_EMAC,PJM_EMAC_natural_gas_fired_combined_cycle_3,10,3,0.0,0.0,774155.6529419754,774155.6529419754
PJM_EMAC,PJM_EMAC_natural_gas_fired_combustion_turbine_1,10,1,0.0,0.0,551292.6616510829,551292.6616510829
PJM_EMAC,PJM_EMAC_natural_gas_fired_combustion_turbine_2,10,2,0.0,0.0,2.9395257576174573e6,2.9395257576174573e6
PJM_EMAC,PJM_EMAC_natural_gas_steam_turbine_1,10,1,0.0,0.0,1.5304662261092388e6,1.5304662261092388e6
PJM_EMAC,PJM_EMAC_nuclear_1,10,1,0.0,0.0,7.366308580721442e6,7.366308580721442e6
PJM_EMAC,PJM_EMAC_nuclear_2,10,2,0.0,0.0,0.15972225750892072,0.15972225750892072
PJM_Rest,PJM_Rest_conventional_steam_coal_1,11,1,0.0,0.0,2.967857312137923e7,2.967857312137923e7
PJM_Rest,PJM_Rest_natural_gas_fired_combined_cycle_1,11,1,0.0,0.0,2.1393042571497206e6,2.1393042571497206e6
PJM_Rest,PJM_Rest_natural_gas_fired_combined_cycle_2,11,2,0.0,0.0,2.4308206784352347e7,2.4308206784352347e7
PJM_Rest,PJM_Rest_natural_gas_fired_combustion_turbine_1,11,1,0.0,0.0,1.643152801890215,1.643152801890215
PJM_Rest,PJM_Rest_natural_gas_fired_combustion_turbine_2,11,2,0.0,0.0,3.8405129499132764e6,3.8405129499132764e6
PJM_Rest,PJM_Rest_natural_gas_fired_combustion_turbine_3,11,3,0.0,0.0,5.64942755499428,5.64942755499428
PJM_Rest,PJM_Rest_natural_gas_fired_combustion_turbine_4,11,4,0.0,0.0,1.4371424852573158,1.4371424852573158
PJM_Rest,PJM_Rest_nuclear_1,11,1,0.0,0.0,2.2259703458674345e7,2.2259703458674345e7
NENG_Rest,NENG_Rest_naturalgas_ccavgcf_moderate_0,1,0,0.10538509340414173,0.0,0.0,0.10538509340414173
NENG_Rest,NENG_Rest_naturalgas_ctavgcf_moderate_0,1,0,0.05604647855574101,0.0,0.0,0.05604647855574101
