Constraint,CapRes_1,CapRes_2,CapRes_3
t1,1.9641761739332016e-10,2.48108749081823e-10,4.986110779890781e-11
t2,1.5973785518817128e-10,2.3691824220597506e-10,4.775067120219701e-11
t3,1.5669984457339873e-10,2.524344569494349e-10,4.690188931447401e-11
t4,1.490873137887213e-10,2.3817952417137896e-10,4.730672498206673e-11
t5,1.7109726265152203e-10,2.549686194564859e-10,5.165700456073965e-11
t6,1.747680535155248e-10,2.850769819412565e-10,6.388833139141903e-11
t7,2.3836934367191603e-10,2.981269660708124e-10,8.227346429761615e-11
t8,3.019215859297638e-10,3.2978556310033226e-10,1.0106109039848079e-10
t9,5.236701087889969e-10,1.6079585808190426e-9,1.2457339307837338e-10
t10,3.3760239848895675e-10,4.0800216867000957e-10,5.3463602911875306e-11
t11,3.0261147507213067e-10,2.3682168050786486e-10,4.014042855235836e-11
t12,2.724047024177337e-10,2.343939810890665e-10,3.2666071394057634e-11
t13,2.0312281973424963e-10,2.2310533109250696e-10,2.972243756601875e-11
t14,1.9199282994313978e-10,2.1215995259048936e-10,2.9012067597048235e-11
t15,2.1333090759948919e-10,1.8568845672736258e-10,2.8539422959615158e-11
t16,2.2503344117907885e-10,1.983108996381025e-10,3.1411886536056924e-11
t17,2.392619427461712e-10,3.067941396278788e-10,4.213183633546696e-11
t18,4.729410277764932e-10,4.029748837560028e-10,1.2414079640811346e-10
t19,5.505357493834148e-10,4.83025394549166e-10,2.317159268739563e-10
t20,3.718866417416568e-10,5.426214058736592e-10,1.299134965448166e-10
t21,3.2413046683604007e-10,1.5341516026970245e-9,9.946995690947328e-11
t22,2.9575456736100886e-10,1.915187443424344e-9,1.5106785926524165e-10
t23,2.508308165468516e-10,3.1872454114643125e-10,5.602570917043808e-11
t24,2.1495906979705348e-10,2.9945129886796827e-10,6.321847611731908e-11
t25,2.676393896986222e-10,2.413688777191248e-10,5.647181168191314e-11
t26,1.68509348802824e-10,2.3893954349960355e-10,3.852070798993388e-11
t27,1.9241883010125366e-10,2.412279766831839e-10,4.33088693264942e-11
t28,2.0246997547340636e-10,2.529436518996213e-10,4.571542018044341e-11
t29,2.3434219601170734e-10,2.5071735663156996e-10,4.134815384305281e-11
t30,2.6521269692823857e-10,2.481602649059742e-10,4.352608957307389e-11
t31,2.854313688465257e-10,2.857847497603692e-10,4.89368319387789e-11
t32,2.9628716398300894e-10,3.76778496594061e-10,5.467015913224234e-11
t33,3.214710284278756e-10,3.673539858812858e-10,5.3894864719007235e-11
t34,2.5531980168536803e-10,2.1779500140485666e-10,3.119886342643661e-11
t35,2.3248040504027806e-10,2.079269225742245e-10,2.449506303042072e-11
t36,2.0753387349027167e-10,1.5741747945693492e-10,2.1750086394250717e-11
t37,1.7749904780440293e-10,1.4930200646058474e-10,2.0675291025655704e-11
t38,1.7744608881457136e-10,1.5973644838852345e-10,2.0137194873455284e-11
t39,1.789190837231846e-10,1.8843242693698443e-10,2.0742669019621057e-11
t40,1.8024574523140452e-10,1.844017794586389e-10,2.2587503192871115e-11
t41,2.677676640455075e-10,2.6235212559199883e-10,2.849162869738369e-11
t42,2.775426858244542e-10,3.003196206894892e-10,5.31755933965831e-11
t43,2.622044667797852e-10,3.0398030172254186e-10,5.6846647333862515e-11
t44,2.129147100701085e-10,2.696300301318831e-10,4.548980352033401e-11
t45,2.0034109342716577e-10,2.5168073620818064e-10,4.2861398584833366e-11
t46,1.7610869789052472e-10,2.3483126176406216e-10,3.9438810841634385e-11
t47,1.5003115360359585e-10,2.2532543221339726e-10,3.4669043162277874e-11
t48,1.4415863885217235e-10,2.1231569317219187e-10,3.195160931441677e-11
t49,1.511998388454439e-10,2.022039618738435e-10,3.15332303304579e-11
