model,line_name,planning_year,case,unit,value
USENSYS,PJME_to_PJMW,2030,20-week-myopic-current-policy,MW,0
USENSYS,PJMW_to_SRCA,2030,20-week-myopic-current-policy,MW,0
USENSYS,PJMW_to_SRCE,2030,20-week-myopic-current-policy,MW,0
USENSYS,RMRG_to_SPPC,2030,20-week-myopic-current-policy,MW,4
USENSYS,RMRG_to_SPPN,2030,20-week-myopic-current-policy,MW,1649
USENSYS,RMRG_to_SRSG,2030,20-week-myopic-current-policy,MW,0
USENSYS,SPPC_to_SPPN,2030,20-week-myopic-current-policy,MW,443
USENSYS,SPPC_to_SPPS,2030,20-week-myopic-current-policy,MW,0
USENSYS,SPPS_to_SRSG,2030,20-week-myopic-current-policy,MW,0
USENSYS,SPPS_to_TRE,2030,20-week-myopic-current-policy,MW,0
USENSYS,SPPS_to_TREW,2030,20-week-myopic-current-policy,MW,2372
USENSYS,SRCA_to_SRCE,2030,20-week-myopic-current-policy,MW,0
USENSYS,SRCA_to_SRSE,2030,20-week-myopic-current-policy,MW,0
USENSYS,SRCE_to_SRSE,2030,20-week-myopic-current-policy,MW,0
USENSYS,TRE_to_TREW,2030,20-week-myopic-current-policy,MW,0
USENSYS,BASN_to_CANO,2035,20-week-myopic-current-policy,MW,0
USENSYS,BASN_to_CASO,2035,20-week-myopic-current-policy,MW,0
USENSYS,BASN_to_NWPP,2035,20-week-myopic-current-policy,MW,0
USENSYS,BASN_to_RMRG,2035,20-week-myopic-current-policy,MW,0
USENSYS,BASN_to_SRSG,2035,20-week-myopic-current-policy,MW,0
USENSYS,CANO_to_CASO,2035,20-week-myopic-current-policy,MW,0
USENSYS,CANO_to_NWPP,2035,20-week-myopic-current-policy,MW,0
USENSYS,CASO_to_NWPP,2035,20-week-myopic-current-policy,MW,0
USENSYS,CASO_to_SRSG,2035,20-week-myopic-current-policy,MW,0
USENSYS,FRCC_to_SRSE,2035,20-week-myopic-current-policy,MW,0
USENSYS,ISNE_to_NYCW,2035,20-week-myopic-current-policy,MW,0
USENSYS,ISNE_to_NYUP,2035,20-week-myopic-current-policy,MW,0
USENSYS,MISC_to_MISS,2035,20-week-myopic-current-policy,MW,0
USENSYS,MISC_to_MISW,2035,20-week-myopic-current-policy,MW,0
USENSYS,MISC_to_PJMC,2035,20-week-myopic-current-policy,MW,0
USENSYS,MISC_to_PJMW,2035,20-week-myopic-current-policy,MW,0
USENSYS,MISC_to_SPPC,2035,20-week-myopic-current-policy,MW,0
USENSYS,MISC_to_SPPS,2035,20-week-myopic-current-policy,MW,0
USENSYS,MISC_to_SRCE,2035,20-week-myopic-current-policy,MW,0
USENSYS,MISE_to_MISW,2035,20-week-myopic-current-policy,MW,22
USENSYS,MISE_to_PJMW,2035,20-week-myopic-current-policy,MW,0
USENSYS,MISS_to_SPPS,2035,20-week-myopic-current-policy,MW,1602
USENSYS,MISS_to_SRCE,2035,20-week-myopic-current-policy,MW,0
USENSYS,MISS_to_SRSE,2035,20-week-myopic-current-policy,MW,0
USENSYS,MISW_to_NWPP,2035,20-week-myopic-current-policy,MW,0
USENSYS,MISW_to_PJMC,2035,20-week-myopic-current-policy,MW,2894
USENSYS,MISW_to_SPPN,2035,20-week-myopic-current-policy,MW,0
USENSYS,NWPP_to_RMRG,2035,20-week-myopic-current-policy,MW,0
USENSYS,NYCW_to_NYUP,2035,20-week-myopic-current-policy,MW,5427
USENSYS,NYCW_to_PJME,2035,20-week-myopic-current-policy,MW,122
USENSYS,NYUP_to_PJME,2035,20-week-myopic-current-policy,MW,2090
USENSYS,PJMC_to_PJMW,2035,20-week-myopic-current-policy,MW,0
USENSYS,PJMD_to_PJME,2035,20-week-myopic-current-policy,MW,6222
USENSYS,PJMD_to_PJMW,2035,20-week-myopic-current-policy,MW,0
USENSYS,PJMD_to_SRCA,2035,20-week-myopic-current-policy,MW,0
USENSYS,PJME_to_PJMW,2035,20-week-myopic-current-policy,MW,0
USENSYS,PJMW_to_SRCA,2035,20-week-myopic-current-policy,MW,0
USENSYS,PJMW_to_SRCE,2035,20-week-myopic-current-policy,MW,0
USENSYS,RMRG_to_SPPC,2035,20-week-myopic-current-policy,MW,778
USENSYS,RMRG_to_SPPN,2035,20-week-myopic-current-policy,MW,107
USENSYS,RMRG_to_SRSG,2035,20-week-myopic-current-policy,MW,0
USENSYS,SPPC_to_SPPN,2035,20-week-myopic-current-policy,MW,1630
USENSYS,SPPC_to_SPPS,2035,20-week-myopic-current-policy,MW,0
USENSYS,SPPN_to_SPPS,2035,20-week-myopic-current-policy,MW,883
USENSYS,SPPS_to_SRSG,2035,20-week-myopic-current-policy,MW,2530
USENSYS,SPPS_to_TRE,2035,20-week-myopic-current-policy,MW,879
USENSYS,SPPS_to_TREW,2035,20-week-myopic-current-policy,MW,0
USENSYS,SRCA_to_SRCE,2035,20-week-myopic-current-policy,MW,0
USENSYS,SRCA_to_SRSE,2035,20-week-myopic-current-policy,MW,0
USENSYS,SRCE_to_SRSE,2035,20-week-myopic-current-policy,MW,0
USENSYS,TRE_to_TREW,2035,20-week-myopic-current-policy,MW,0
USENSYS,BASN_to_CANO,2040,20-week-myopic-current-policy,MW,0
USENSYS,BASN_to_CASO,2040,20-week-myopic-current-policy,MW,0
USENSYS,BASN_to_NWPP,2040,20-week-myopic-current-policy,MW,0
USENSYS,BASN_to_RMRG,2040,20-week-myopic-current-policy,MW,0
USENSYS,BASN_to_SRSG,2040,20-week-myopic-current-policy,MW,0
USENSYS,CANO_to_CASO,2040,20-week-myopic-current-policy,MW,0
USENSYS,CANO_to_NWPP,2040,20-week-myopic-current-policy,MW,0
USENSYS,CASO_to_NWPP,2040,20-week-myopic-current-policy,MW,0
USENSYS,CASO_to_SRSG,2040,20-week-myopic-current-policy,MW,0
USENSYS,FRCC_to_SRSE,2040,20-week-myopic-current-policy,MW,0
USENSYS,ISNE_to_NYCW,2040,20-week-myopic-current-policy,MW,0
USENSYS,ISNE_to_NYUP,2040,20-week-myopic-current-policy,MW,0
USENSYS,MISC_to_MISE,2040,20-week-myopic-current-policy,MW,542
USENSYS,MISC_to_MISS,2040,20-week-myopic-current-policy,MW,0
USENSYS,MISC_to_MISW,2040,20-week-myopic-current-policy,MW,0
USENSYS,MISC_to_PJMC,2040,20-week-myopic-current-policy,MW,0
USENSYS,MISC_to_PJMW,2040,20-week-myopic-current-policy,MW,0
USENSYS,MISC_to_SPPC,2040,20-week-myopic-current-policy,MW,1406
USENSYS,MISC_to_SPPS,2040,20-week-myopic-current-policy,MW,0
USENSYS,MISC_to_SRCE,2040,20-week-myopic-current-policy,MW,0
USENSYS,MISE_to_MISW,2040,20-week-myopic-current-policy,MW,0
USENSYS,MISE_to_PJMW,2040,20-week-myopic-current-policy,MW,0
USENSYS,MISS_to_SPPC,2040,20-week-myopic-current-policy,MW,1047
USENSYS,MISS_to_SPPS,2040,20-week-myopic-current-policy,MW,11117
USENSYS,MISS_to_SRCE,2040,20-week-myopic-current-policy,MW,0
USENSYS,MISS_to_SRSE,2040,20-week-myopic-current-policy,MW,5954
USENSYS,MISW_to_NWPP,2040,20-week-myopic-current-policy,MW,0
USENSYS,MISW_to_PJMC,2040,20-week-myopic-current-policy,MW,0
