Resource,Fuel,Zone,AnnualSumCosts
NY_Z_C&E_naturalgas_ccs100_moderate_0,middle_atlantic_naturalgas_ccs100,4,4.098084626388402
NY_Z_D_naturalgas_ccavgcf_moderate_0,middle_atlantic_naturalgas,5,4.196682907721618
NY_Z_D_naturalgas_ctavgcf_moderate_0,middle_atlantic_naturalgas,5,5.232464712872317
NY_Z_D_nuclear_nuclear_moderate_0,middle_atlantic_uranium,5,0.9124435763292736
NY_Z_D_naturalgas_ccs100_moderate_0,middle_atlantic_naturalgas_ccs100,5,3.06323176418924
NY_Z_F_naturalgas_ccavgcf_moderate_0,middle_atlantic_naturalgas,6,8.387291683536839
NY_Z_F_naturalgas_ctavgcf_moderate_0,middle_atlantic_naturalgas,6,7.7124779166946835
NY_Z_F_nuclear_nuclear_moderate_0,middle_atlantic_uranium,6,1.8777793643789191
NY_Z_F_naturalgas_ccs100_moderate_0,middle_atlantic_naturalgas_ccs100,6,4.0937078965163725
NY_Z_G-I_naturalgas_ccavgcf_moderate_0,middle_atlantic_naturalgas,7,8.294302438525294e8
NY_Z_G-I_naturalgas_ctavgcf_moderate_0,middle_atlantic_naturalgas,7,7.282042572307982
NY_Z_G-I_nuclear_nuclear_moderate_0,middle_atlantic_uranium,7,1.4128777682915579
NY_Z_G-I_naturalgas_ccs100_moderate_0,middle_atlantic_naturalgas_ccs100,7,3.437624969386311
NY_Z_J_naturalgas_ccavgcf_moderate_0,middle_atlantic_naturalgas,8,19.724600962862315
NY_Z_J_naturalgas_ctavgcf_moderate_0,middle_atlantic_naturalgas,8,15.525346991609798
NY_Z_J_nuclear_nuclear_moderate_0,middle_atlantic_uranium,8,1.509984414966961
NY_Z_J_naturalgas_ccs100_moderate_0,middle_atlantic_naturalgas_ccs100,8,2.7260001862019934
NY_Z_K_naturalgas_ccavgcf_moderate_0,middle_atlantic_naturalgas,9,1.244319113980693e8
NY_Z_K_naturalgas_ctavgcf_moderate_0,middle_atlantic_naturalgas,9,9.675070570112307
NY_Z_K_nuclear_nuclear_moderate_0,middle_atlantic_uranium,9,1.4028401495234202
